Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-20.88,-20.88,-2.08,-0.07
2016-11-03,16.9,-66.67,-66.67,-0.02
2016-11-04,0.0,0.0,0.0,-0.34
2016-11-07,-48.78,-48.78,-48.78,0.77
2016-11-08,5.3,5.3,5.3,0.42
2016-11-09,-0.96,-0.96,28.57,-0.61
2016-11-10,-26.99,42.86,42.86,-1.33
2016-11-11,-100.0,-100.0,-100.0,0.09
2016-11-14,72.73,72.73,72.73,0.14
2016-11-15,-19.79,-19.79,-19.79,0.27
2016-11-16,10.7,10.7,0.17,-0.18
2016-11-17,-4.55,-2.81,-2.81,-0.14
2016-11-18,-6.45,-6.45,-6.45,-0.21
2016-11-21,8.18,8.18,5.71,0.45
2016-11-22,5.71,-12.17,3.67,0.01
2016-11-23,-3.72,-8.81,-8.81,-0.25
2016-11-25,37.14,37.14,37.14,0.41
2016-11-28,-30.0,-30.0,-30.0,0.22
2016-11-29,-0.85,-0.85,-0.85,-0.6
2016-11-30,11.96,11.96,-12.13,-0.8
2016-12-01,-0.53,9.61,9.61,-0.18
2016-12-02,0.08,0.08,0.08,0.19
2016-12-05,-1.24,-1.24,-1.24,0.26
2016-12-06,6.99,6.99,6.99,-0.05
2016-12-07,-0.64,-0.64,-30.49,0.72
2016-12-08,13.56,13.14,13.14,-0.31
2016-12-09,5.66,5.66,5.66,1.02
2016-12-12,-5.5,-5.5,-5.5,-0.1
2016-12-13,-9.62,-9.62,-9.62,-0.14
2016-12-14,6.58,6.58,0.07,-0.55
2016-12-15,3.18,1.15,1.15,0.34
2016-12-16,-1.89,-1.89,-1.89,0.19
2016-12-19,-0.91,-0.91,-0.91,-0.07
2016-12-20,-3.01,-3.01,-3.01,-0.01
2016-12-21,-1.03,-1.03,2.23,-0.09
2016-12-22,3.44,4.15,4.15,-0.02
2016-12-23,-18.64,-18.64,-18.64,0.05
2016-12-27,11.69,11.69,11.69,0.01
2016-12-28,15.81,15.81,-11.25,-0.22
2016-12-29,-13.04,13.67,13.67,0.21
2016-12-30,7.24,7.24,7.24,-0.14
2017-01-03,-8.43,-8.43,-8.43,0.34
2017-01-04,-11.5,-11.5,5.65,-0.15
2017-01-05,-0.74,6.51,6.51,0.1
2017-01-06,1.48,1.48,1.48,-0.01
2017-01-09,-7.47,-7.47,-7.47,-0.42
2017-01-10,1.2,1.2,1.2,-0.28
2017-01-11,4.78,4.78,-2.57,0.01
2017-01-12,-3.33,-3.87,-3.87,-0.1
2017-01-13,10.04,10.04,10.04,-0.07
2017-01-17,1.32,1.32,1.32,0.34
2017-01-18,-15.11,-15.11,5.72,0.07
2017-01-19,12.27,-2.88,-2.88,-0.15
2017-01-20,1.51,1.51,1.51,0.18
2017-01-23,-3.36,-3.36,-3.36,0.11
2017-01-24,-6.04,-6.04,-6.04,0.47
2017-01-25,5.88,5.88,3.72,0.22
2017-01-26,-3.18,-2.9,-2.9,-0.31
2017-01-27,-7.45,-7.45,-7.45,-0.36
2017-01-30,6.0,6.0,6.0,-0.07
2017-01-31,-3.7,-3.7,-3.7,0.19
2017-02-01,3.58,3.58,-9.88,-0.31
2017-02-02,1.05,4.33,4.33,0.14
2017-02-03,10.33,10.33,10.33,0.14
2017-02-06,0.86,0.86,0.86,0.02
2017-02-07,-5.07,-5.07,-5.07,0.34
2017-02-08,-1.92,-1.92,10.72,0.12
2017-02-09,-9.18,1.17,1.17,-0.77
2017-02-10,3.78,3.78,3.78,-0.67
2017-02-13,-8.47,-8.47,-8.47,0.04
2017-02-14,8.6,8.6,8.6,-0.09
2017-02-15,-7.18,-7.18,1.09,-0.09
2017-02-16,1.51,-2.19,-2.19,0.76
2017-02-17,4.19,4.19,4.19,0.03
2017-02-21,11.02,11.02,11.02,0.23
2017-02-22,-13.96,-13.96,-15.06,0.14
2017-02-23,5.18,-7.07,-7.07,0.06
2017-02-24,20.81,20.81,20.81,0.12
2017-02-27,-5.57,-5.57,-5.57,-0.11
2017-02-28,10.35,10.35,10.35,0.29
2017-03-01,-7.41,-7.41,-5.62,0.2
2017-03-02,-7.16,25.16,25.16,0.31
2017-03-03,-20.08,-20.08,-20.08,0.01
2017-03-06,8.61,8.61,8.61,-0.3
2017-03-07,-2.74,-2.74,-2.74,-0.19
2017-03-08,-0.99,-0.99,0.04,0.0
2017-03-09,2.93,-6.68,-6.68,0.04
2017-03-10,5.07,5.07,5.07,0.26
2017-03-13,9.35,9.35,9.35,-0.26
2017-03-14,-7.12,-7.12,-7.12,-0.06
2017-03-15,-3.97,-3.97,19.01,0.15
2017-03-16,0.23,-10.33,-10.33,0.13
2017-03-17,-0.48,-0.48,-0.48,-0.22
2017-03-20,3.89,3.89,3.89,0.15
2017-03-21,-7.58,-7.58,-7.58,0.32
2017-03-22,3.12,3.12,5.89,-0.12
2017-03-23,-6.91,-9.78,-9.78,-0.21
2017-03-24,4.23,4.23,4.23,-0.05
2017-03-27,-2.92,-2.92,-2.92,0.2
2017-03-28,3.11,3.11,3.11,0.11
2017-03-29,-1.14,-1.14,9.67,-0.01
2017-03-30,3.76,2.28,2.28,0.18
2017-03-31,10.64,10.64,10.64,-0.16
2017-04-03,-14.86,-14.86,-14.86,-0.03
2017-04-04,-16.32,-16.32,-16.32,0.27
2017-04-05,6.03,6.03,-9.49,-0.11
2017-04-06,6.52,11.97,11.97,0.1
2017-04-07,-14.33,-14.33,-14.33,-0.06
2017-04-10,10.8,10.8,10.8,0.08
2017-04-11,-4.02,-4.02,10.12,-0.03
2017-04-12,-1.49,-6.2,-6.2,0.28
2017-04-13,-2.22,-2.22,-2.22,-0.15
2017-04-17,-1.05,-1.05,-1.05,0.28
2017-04-18,0.78,0.78,0.78,0.41
2017-04-19,4.99,4.99,-2.3,-0.25
2017-04-20,-5.21,7.19,7.19,-0.14
2017-04-21,-10.51,-10.51,-10.51,-0.02
2017-04-24,0.26,0.26,0.26,0.21
2017-04-25,-2.83,-2.83,-2.83,-0.17
2017-04-26,3.79,3.79,3.79,0.13
2017-04-27,-20.07,-20.07,-20.07,-0.23
2017-04-28,13.57,13.57,13.57,0.14
