Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-30.15,-30.15,-30.15,-0.07
2016-11-03,6.94,6.94,6.94,-0.02
2016-11-04,-12.5,-12.5,-12.5,-0.34
2016-11-07,0.0,-50.0,0.33,0.77
2016-11-08,0.0,0.0,0.0,0.42
2016-11-09,-5.56,-5.56,-5.56,-0.61
2016-11-10,-11.11,-11.11,-11.11,-1.33
2016-11-11,12.82,12.82,12.82,0.09
2016-11-14,23.85,70.0,21.28,0.14
2016-11-15,-23.85,-23.85,-23.85,0.27
2016-11-16,18.14,18.14,18.14,-0.18
2016-11-17,-4.29,-4.29,-4.29,-0.14
2016-11-18,0.0,0.0,0.0,-0.21
2016-11-21,0.0,17.89,7.78,0.45
2016-11-22,13.08,13.08,13.08,0.01
2016-11-23,-23.08,-23.08,-23.08,-0.25
2016-11-25,2.63,1.28,1.96,0.41
2016-11-28,0.0,2.63,1.75,0.22
2016-11-29,-9.77,-9.77,-9.77,-0.6
2016-11-30,13.39,13.39,13.39,-0.8
2016-12-01,-2.01,-2.01,-2.01,-0.18
2016-12-02,-2.57,-2.57,-2.57,0.19
2016-12-05,2.18,-7.02,-2.71,0.26
2016-12-06,12.15,12.15,12.15,-0.05
2016-12-07,-5.13,-5.13,-5.13,0.72
2016-12-08,3.99,3.99,3.99,-0.31
2016-12-09,-16.29,-16.29,-16.29,1.02
2016-12-12,17.56,4.59,9.02,-0.1
2016-12-13,-14.64,-14.64,-14.64,-0.14
2016-12-14,9.29,9.29,9.29,-0.55
2016-12-15,-0.61,-0.61,-0.61,0.34
2016-12-16,-1.2,-1.2,-1.2,0.19
2016-12-19,5.97,6.01,8.97,-0.07
2016-12-20,-12.0,-12.0,-12.0,-0.01
2016-12-21,-0.19,-0.19,-0.19,-0.09
2016-12-22,11.29,11.29,11.29,-0.02
2016-12-23,-7.46,-7.46,-7.46,0.05
2016-12-27,4.71,23.45,6.14,0.01
2016-12-28,8.28,8.28,8.28,-0.22
2016-12-29,-7.18,-7.18,-7.18,0.21
2016-12-30,-10.57,-10.57,-10.57,-0.14
2017-01-03,-4.09,-14.77,-2.38,0.34
2017-01-04,-8.17,-8.17,-8.17,-0.15
2017-01-05,-2.86,-2.86,-2.86,0.1
2017-01-06,3.1,3.1,3.1,-0.01
2017-01-09,2.77,-11.86,-6.51,-0.42
2017-01-10,-1.39,-1.39,-1.39,-0.28
2017-01-11,11.71,11.71,11.71,0.01
2017-01-12,-3.24,-3.24,-3.24,-0.1
2017-01-13,5.32,5.32,5.32,-0.07
2017-01-17,1.79,3.77,4.28,0.34
2017-01-18,-16.39,-16.39,-16.39,0.07
2017-01-19,16.45,16.45,16.45,-0.15
2017-01-20,-2.36,-2.36,-2.36,0.18
2017-01-23,2.34,1.1,2.46,0.11
2017-01-24,-12.61,-12.61,-12.61,0.47
2017-01-25,11.13,11.13,11.13,0.22
2017-01-26,-7.28,-7.28,-7.28,-0.31
2017-01-27,4.76,4.76,4.76,-0.36
2017-01-30,-7.75,-1.72,-3.89,-0.07
2017-01-31,3.46,3.46,3.46,0.19
2017-02-01,-7.73,-7.73,-7.73,-0.31
2017-02-02,11.33,11.33,11.33,0.14
2017-02-03,-10.32,-10.32,-10.32,0.14
2017-02-06,17.18,6.51,14.14,0.02
2017-02-07,-1.83,-1.83,-1.83,0.34
2017-02-08,-9.99,-9.99,-9.99,0.12
2017-02-09,-6.7,-6.7,-6.7,-0.77
2017-02-10,10.61,10.61,10.61,-0.67
2017-02-13,-2.7,-5.09,-4.15,0.04
2017-02-14,14.97,14.97,14.97,-0.09
2017-02-15,-5.64,-5.64,-5.64,-0.09
2017-02-16,-5.31,-5.31,-5.31,0.76
2017-02-17,0.21,0.21,0.21,0.03
2017-02-21,24.33,23.07,22.06,0.23
2017-02-22,-18.82,-18.82,-18.82,0.14
2017-02-23,6.28,6.28,6.28,0.06
2017-02-24,-19.28,-19.28,-19.28,0.12
2017-02-27,6.15,-0.03,5.23,-0.11
2017-02-28,13.56,13.56,13.56,0.29
2017-03-01,-12.31,-12.31,-12.31,0.2
2017-03-02,-7.05,-7.05,-7.05,0.31
2017-03-03,4.55,4.55,4.55,0.01
2017-03-06,5.43,9.98,1.97,-0.3
2017-03-07,3.54,3.54,3.54,-0.19
2017-03-08,-5.05,-5.05,-5.05,0.0
2017-03-09,-0.98,-0.98,-0.98,0.04
2017-03-10,15.48,15.48,15.48,0.26
2017-03-13,-11.79,5.28,-0.29,-0.26
2017-03-14,-4.09,-4.09,-4.09,-0.06
2017-03-15,-2.54,-2.54,-2.54,0.15
2017-03-16,0.0,0.0,0.0,0.13
2017-03-17,18.75,18.75,18.75,-0.22
2017-03-20,-3.84,0.62,-3.25,0.15
2017-03-21,-13.09,-13.09,-13.09,0.32
2017-03-22,7.83,7.83,7.83,-0.12
2017-03-23,-5.48,-5.48,-5.48,-0.21
2017-03-24,4.76,4.76,4.76,-0.05
2017-03-27,-5.6,-6.67,-1.52,0.2
2017-03-28,1.27,1.27,1.27,0.11
2017-03-29,-0.19,-0.19,-0.19,-0.01
2017-03-30,1.32,1.32,1.32,0.18
2017-03-31,19.27,19.27,19.27,-0.16
2017-04-03,-7.31,-5.99,-7.45,-0.03
2017-04-04,-21.31,-21.31,-21.31,0.27
2017-04-05,5.09,5.09,5.09,-0.11
2017-04-06,7.21,7.21,7.21,0.1
2017-04-07,-8.68,-8.68,-8.68,-0.06
2017-04-10,8.67,12.37,6.06,0.08
2017-04-11,-4.62,-4.62,-4.62,-0.03
2017-04-12,-4.67,-4.67,-4.67,0.28
2017-04-13,9.88,9.88,9.88,-0.15
2017-04-17,-6.8,1.48,-6.5,0.28
2017-04-18,5.34,5.34,5.34,0.41
2017-04-19,8.45,8.45,8.45,-0.25
2017-04-20,-2.76,-2.76,-2.76,-0.14
2017-04-21,-5.43,-5.43,-5.43,-0.02
2017-04-24,-2.5,4.28,-2.22,0.21
2017-04-25,-14.1,-14.1,-14.1,-0.17
2017-04-26,7.29,7.29,7.29,0.13
2017-04-27,-27.7,-27.7,-27.7,-0.23
2017-04-28,17.41,17.41,17.41,0.14
