Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,26.67,26.67,26.67,0.14
2016-11-03,15.0,15.0,15.0,-0.67
2016-11-04,25.0,25.0,25.0,-0.68
2016-11-07,-60.0,-60.0,-26.67,1.78
2016-11-08,60.0,60.0,60.0,1.29
2016-11-09,-100.0,-100.0,-100.0,0.87
2016-11-10,0.0,0.0,0.0,-0.47
2016-11-11,100.0,100.0,100.0,-0.29
2016-11-14,-60.0,-60.0,-43.33,3.64
2016-11-15,-6.67,-6.67,-6.67,0.46
2016-11-16,0.0,0.0,0.0,0.89
2016-11-17,4.17,4.17,4.17,0.24
2016-11-18,-38.5,-38.5,-38.5,0.55
2016-11-21,0.0,-101.0,-34.0,-0.5
2016-11-22,34.33,34.33,34.33,0.19
2016-11-23,66.67,66.67,66.67,0.45
2016-11-25,-40.0,-30.0,-35.0,0.52
2016-11-28,-26.67,8.33,5.33,1.16
2016-11-29,-4.76,-4.76,-4.76,-1.14
2016-11-30,-28.57,-28.57,-28.57,-1.41
2016-12-01,60.0,60.0,60.0,-0.8
2016-12-02,-35.0,-35.0,-35.0,-0.23
2016-12-05,-5.0,-55.0,-30.0,1.05
2016-12-06,-8.89,-8.89,-8.89,-0.04
2016-12-07,48.89,48.89,48.89,0.67
2016-12-08,12.73,12.73,12.73,0.53
2016-12-09,15.51,15.51,15.51,0.81
2016-12-12,-31.1,-24.68,-23.36,0.48
2016-12-13,-17.14,-17.14,-17.14,0.94
2016-12-14,20.0,20.0,20.0,0.16
2016-12-15,40.0,40.0,40.0,-0.48
2016-12-16,-58.33,-58.33,-58.33,0.88
2016-12-19,-8.34,0.0,-2.78,-0.25
2016-12-20,26.67,26.67,26.67,0.34
2016-12-21,32.86,32.86,32.86,-0.15
2016-12-22,-67.86,-67.86,-67.86,0.54
2016-12-23,25.0,25.0,25.0,-0.58
2016-12-27,4.55,-16.88,7.94,-0.07
2016-12-28,20.45,20.45,20.45,-0.39
2016-12-29,-8.33,-8.33,-8.33,0.11
2016-12-30,-26.67,-26.67,-26.67,-1.07
2017-01-03,26.67,12.12,10.74,-2.1
2017-01-04,-16.67,-16.67,-16.67,-0.14
2017-01-05,-51.0,-51.0,-51.0,0.22
2017-01-06,37.36,37.36,37.36,1.06
2017-01-09,63.64,66.67,61.08,-0.33
2017-01-10,-16.67,-16.67,-16.67,-0.18
2017-01-11,-20.83,-20.83,-20.83,0.63
2017-01-12,37.5,37.5,37.5,1.22
2017-01-13,-44.44,-44.44,-44.44,-0.6
2017-01-17,2.77,0.0,-2.09,1.25
2017-01-18,-18.33,-18.33,-18.33,-0.04
2017-01-19,25.0,25.0,25.0,-0.53
2017-01-20,-2.5,-2.5,-2.5,0.08
2017-01-23,4.17,0.0,-2.31,-0.88
2017-01-24,33.33,33.33,33.33,-0.33
2017-01-25,-30.77,-30.77,-30.77,0.74
2017-01-26,7.69,7.69,7.69,0.09
2017-01-27,-3.59,-3.59,-3.59,0.98
2017-01-30,-9.04,-0.42,-3.15,0.16
2017-01-31,-64.29,-64.29,-64.29,-0.45
2017-02-01,64.66,64.66,64.66,-0.15
2017-02-02,-11.92,-11.92,-11.92,0.8
2017-02-03,5.38,5.38,5.38,1.02
2017-02-06,0.45,-2.76,-1.14,0.21
2017-02-07,6.87,6.87,6.87,0.14
2017-02-08,2.62,2.62,2.62,0.08
2017-02-09,-4.06,-4.06,-4.06,-0.19
2017-02-10,0.15,0.15,0.15,1.34
2017-02-13,-8.0,-0.61,-4.65,-0.28
2017-02-14,7.37,7.37,7.37,0.27
2017-02-15,-6.31,-6.31,-6.31,0.67
2017-02-16,0.3,0.3,0.3,0.22
2017-02-17,-1.72,-1.72,-1.72,1.1
2017-02-21,-4.27,-4.31,-4.75,0.24
2017-02-22,10.02,10.02,10.02,-0.19
2017-02-23,-0.14,-0.14,-0.14,0.42
2017-02-24,-15.69,-15.69,-15.69,0.38
2017-02-27,5.4,-5.48,-1.1,-1.66
2017-02-28,1.79,1.79,1.79,0.66
2017-03-01,10.37,10.37,10.37,1.4
2017-03-02,-6.18,-6.18,-6.18,-0.82
2017-03-03,0.42,0.42,0.42,-0.33
2017-03-06,-5.55,-1.28,-3.96,0.13
2017-03-07,-4.29,-4.29,-4.29,0.04
