Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,5.06,5.06,0.32,-0.37
2016-11-03,4.19,-14.67,-14.67,-0.22
2016-11-04,21.94,21.94,21.94,-0.5
2016-11-07,-6.21,-6.21,-6.21,1.71
2016-11-08,-4.56,-4.56,-4.56,0.05
2016-11-09,1.31,1.31,4.96,-0.3
2016-11-10,1.64,-11.57,-11.57,-1.47
2016-11-11,6.1,6.1,6.1,0.32
2016-11-14,5.4,5.4,5.4,-0.9
2016-11-15,-2.07,-2.07,-2.07,0.75
2016-11-16,-0.53,-0.53,17.09,0.78
2016-11-17,-11.97,1.74,1.74,0.99
2016-11-18,0.64,0.64,0.64,-0.29
2016-11-21,-6.83,-6.83,-6.25,0.51
2016-11-22,-6.25,2.94,-0.95,0.26
2016-11-23,6.43,4.74,4.74,-0.72
2016-11-25,-13.42,-13.42,-13.42,0.13
2016-11-28,0.94,0.94,0.94,0.08
2016-11-29,-2.37,-2.37,-2.37,0.48
2016-11-30,3.56,3.56,4.04,-0.83
2016-12-01,3.38,-2.64,-2.64,-1.06
2016-12-02,2.41,2.41,2.41,0.05
2016-12-05,1.36,1.36,1.36,0.97
2016-12-06,-3.17,-3.17,-3.17,-0.27
2016-12-07,1.52,1.52,-4.62,1.42
2016-12-08,3.79,0.72,0.72,-0.36
2016-12-09,-4.35,-4.35,-4.35,0.96
2016-12-12,-0.71,-0.71,-0.71,0.2
2016-12-13,-1.99,-1.99,-1.99,0.81
2016-12-14,2.7,2.7,-6.19,-0.3
2016-12-15,6.59,4.1,4.1,-0.1
2016-12-16,6.03,6.03,6.03,-0.28
2016-12-19,-10.6,-10.6,-10.6,1.32
2016-12-20,-0.01,-0.01,-0.01,-0.08
2016-12-21,5.78,5.78,-0.28,0.0
2016-12-22,-8.31,4.3,4.3,0.01
2016-12-23,-1.1,-1.1,-1.1,-0.31
2016-12-27,-15.53,-15.53,-15.53,0.04
2016-12-28,11.96,11.96,-3.84,-0.29
2016-12-29,-2.25,4.6,4.6,-0.09
2016-12-30,-2.73,-2.73,-2.73,-0.76
2017-01-03,-7.34,-7.34,-7.34,0.44
2017-01-04,5.66,5.66,-2.02,-0.28
2017-01-05,5.87,2.57,2.57,0.0
2017-01-06,-4.81,-4.81,-4.81,0.54
2017-01-09,-5.5,-5.5,-5.5,-0.2
2017-01-10,-0.56,-0.56,-0.56,-0.02
2017-01-11,1.78,1.78,-1.19,0.57
2017-01-12,-2.69,-6.15,-6.15,-0.58
2017-01-13,1.01,1.01,1.01,0.09
2017-01-17,3.33,3.33,3.33,-0.17
2017-01-18,1.3,1.3,2.71,-0.03
2017-01-19,-3.68,1.71,1.71,-0.2
2017-01-20,-1.41,-1.41,-1.41,0.44
2017-01-23,-5.51,-5.51,-5.51,0.22
2017-01-24,0.57,0.57,0.57,0.56
2017-01-25,6.54,6.54,-10.48,0.16
2017-01-26,-5.08,5.47,5.47,0.59
2017-01-27,5.67,5.67,5.67,1.51
2017-01-30,-2.34,-2.34,-2.34,-0.65
2017-01-31,7.34,7.34,7.34,-0.48
2017-02-01,0.56,0.56,4.62,-1.07
2017-02-02,1.25,-11.75,-11.75,-0.41
2017-02-03,3.61,3.61,3.61,0.51
2017-02-06,2.2,2.2,2.2,-0.04
2017-02-07,-1.16,-1.16,-1.16,-0.21
2017-02-08,2.0,2.0,4.9,-0.09
2017-02-09,-6.92,-6.79,-6.79,0.72
2017-02-10,5.15,5.15,5.15,-0.06
2017-02-13,0.58,0.58,0.58,0.72
2017-02-14,-1.85,-1.85,-1.85,-0.15
2017-02-15,-4.51,-4.51,3.66,-0.04
2017-02-16,-1.11,3.03,3.03,-0.01
2017-02-17,-2.01,-2.01,-2.01,0.1
2017-02-21,-0.83,-0.83,-0.83,-0.13
2017-02-22,0.36,0.36,-0.05,-0.13
2017-02-23,-0.94,-5.28,-5.28,0.26
2017-02-24,4.9,4.9,4.9,0.0
2017-02-27,2.84,2.84,2.84,-0.39
2017-02-28,-9.95,-9.95,-9.95,-0.25
2017-03-01,6.64,6.64,-6.09,0.96
2017-03-02,10.08,2.67,2.67,-0.93
2017-03-03,1.09,1.09,1.09,0.24
2017-03-06,-4.76,-4.76,-4.76,0.02
2017-03-07,-2.11,-2.11,-2.11,0.13
2017-03-08,1.02,1.02,4.02,0.59
2017-03-09,5.21,-4.34,-4.34,-0.26
2017-03-10,-2.69,-2.69,-2.69,0.2
2017-03-13,-3.6,-3.6,-3.6,-0.22
2017-03-14,-1.74,-1.74,-1.74,-0.3
2017-03-15,-5.6,-5.6,-5.3,0.34
2017-03-16,10.26,15.88,15.88,-0.11
2017-03-17,-12.03,-12.03,-12.03,0.23
2017-03-20,-6.68,-6.68,-6.68,0.06
2017-03-21,4.12,4.12,4.12,-0.72
2017-03-22,3.71,3.71,-0.47,0.82
2017-03-23,3.58,-1.23,-1.23,-0.16
2017-03-24,3.85,3.85,3.85,0.11
