Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,5.06,5.06,5.06,-0.37
2016-11-03,4.19,4.19,4.19,-0.22
2016-11-04,0.32,0.32,0.32,-0.5
2016-11-07,1.06,-6.21,3.53,1.71
2016-11-08,-4.56,-4.56,-4.56,0.05
2016-11-09,1.31,1.31,1.31,-0.3
2016-11-10,1.64,1.64,1.64,-1.47
2016-11-11,4.96,4.96,4.96,0.32
2016-11-14,-0.07,5.4,5.61,-0.9
2016-11-15,-2.07,-2.07,-2.07,0.75
2016-11-16,-0.53,-0.53,-0.53,0.78
2016-11-17,-11.97,-11.97,-11.97,0.99
2016-11-18,17.09,17.09,17.09,-0.29
2016-11-21,-4.45,-6.83,-5.82,0.51
2016-11-22,-6.25,-6.25,-6.25,0.26
2016-11-23,2.94,2.94,2.94,-0.72
2016-11-25,5.48,-0.95,2.27,0.13
2016-11-28,-7.74,0.94,-6.43,0.08
2016-11-29,-2.37,-2.37,-2.37,0.48
2016-11-30,3.56,3.56,3.56,-0.83
2016-12-01,3.38,3.38,3.38,-1.06
2016-12-02,4.04,4.04,4.04,0.05
2016-12-05,1.13,1.36,2.09,0.97
2016-12-06,-3.17,-3.17,-3.17,-0.27
2016-12-07,1.52,1.52,1.52,1.42
2016-12-08,3.79,3.79,3.79,-0.36
2016-12-09,-4.62,-4.62,-4.62,0.96
2016-12-12,-4.34,-0.71,-3.37,0.2
2016-12-13,-1.99,-1.99,-1.99,0.81
2016-12-14,2.7,2.7,2.7,-0.3
2016-12-15,6.59,6.59,6.59,-0.1
2016-12-16,-6.19,-6.19,-6.19,-0.28
2016-12-19,-0.47,-10.6,-5.21,1.32
2016-12-20,-0.01,-0.01,-0.01,-0.08
2016-12-21,5.78,5.78,5.78,0.0
2016-12-22,-8.31,-8.31,-8.31,0.01
2016-12-23,4.09,4.09,4.09,-0.31
2016-12-27,-12.61,-15.53,-14.27,0.04
2016-12-28,11.96,11.96,11.96,-0.29
2016-12-29,-2.25,-2.25,-2.25,-0.09
2016-12-30,5.55,5.55,5.55,-0.76
2017-01-03,-9.31,-7.34,-8.05,0.44
2017-01-04,5.66,5.66,5.66,-0.28
2017-01-05,5.87,5.87,5.87,0.0
2017-01-06,-2.02,-2.02,-2.02,0.54
2017-01-09,-7.74,-5.5,-7.85,-0.2
2017-01-10,-0.56,-0.56,-0.56,-0.02
2017-01-11,1.78,1.78,1.78,0.57
2017-01-12,-2.69,-2.69,-2.69,-0.58
2017-01-13,8.01,8.01,8.01,0.09
2017-01-17,-3.0,3.33,0.72,-0.17
2017-01-18,1.3,1.3,1.3,-0.03
2017-01-19,-3.68,-3.68,-3.68,-0.2
2017-01-20,2.71,2.71,2.71,0.44
2017-01-23,-5.21,-5.51,-5.88,0.22
2017-01-24,0.57,0.57,0.57,0.56
2017-01-25,6.54,6.54,6.54,0.16
2017-01-26,-5.08,-5.08,-5.08,0.59
2017-01-27,-10.48,-10.48,-10.48,1.51
2017-01-30,8.8,-2.34,3.26,-0.65
2017-01-31,7.34,7.34,7.34,-0.48
2017-02-01,0.56,0.56,0.56,-1.07
2017-02-02,1.25,1.25,1.25,-0.41
2017-02-03,4.62,4.62,4.62,0.51
2017-02-06,-5.94,2.2,0.69,-0.04
2017-02-07,-1.16,-1.16,-1.16,-0.21
2017-02-08,2.0,2.0,2.0,-0.09
2017-02-09,-6.92,-6.92,-6.92,0.72
2017-02-10,4.9,4.9,4.9,-0.06
2017-02-13,-1.06,0.58,1.75,0.72
2017-02-14,-1.85,-1.85,-1.85,-0.15
2017-02-15,-4.51,-4.51,-4.51,-0.04
2017-02-16,-1.11,-1.11,-1.11,-0.01
2017-02-17,-0.06,-0.06,-0.06,0.1
2017-02-21,3.85,-0.83,0.09,-0.13
2017-02-22,0.36,0.36,0.36,-0.13
2017-02-23,-0.94,-0.94,-0.94,0.26
2017-02-24,-0.05,-0.05,-0.05,0.0
2017-02-27,2.46,2.84,4.35,-0.39
2017-02-28,-9.95,-9.95,-9.95,-0.25
2017-03-01,6.64,6.64,6.64,0.96
2017-03-02,10.08,10.08,10.08,-0.93
2017-03-03,-6.09,-6.09,-6.09,0.24
2017-03-06,-1.0,-4.76,-3.14,0.02
2017-03-07,-2.11,-2.11,-2.11,0.13
2017-03-08,1.02,1.02,1.02,0.59
2017-03-09,5.21,5.21,5.21,-0.26
2017-03-10,4.02,4.02,4.02,0.2
2017-03-13,-10.63,-3.6,-6.84,-0.22
2017-03-14,-1.74,-1.74,-1.74,-0.3
2017-03-15,-5.6,-5.6,-5.6,0.34
2017-03-16,10.26,10.26,10.26,-0.11
2017-03-17,-5.3,-5.3,-5.3,0.23
2017-03-20,-2.83,-6.68,-9.41,0.06
2017-03-21,4.12,4.12,4.12,-0.72
2017-03-22,3.71,3.71,3.71,0.82
2017-03-23,3.58,3.58,3.58,-0.16
2017-03-24,-0.47,-0.47,-0.47,0.11
2017-03-27,-19.11,-21.73,-19.57,0.12
2017-03-28,19.26,19.26,19.26,0.19
2017-03-29,-0.79,-0.79,-0.79,0.18
2017-03-30,-2.33,-2.33,-2.33,0.24
2017-03-31,9.12,9.12,9.12,0.15
2017-04-03,0.02,26.63,6.21,-0.31
2017-04-04,-7.95,-7.95,-7.95,0.18
2017-04-05,-14.08,-14.08,-14.08,-0.17
2017-04-06,22.88,22.88,22.88,0.17
2017-04-07,-9.15,-9.15,-9.15,-0.05
2017-04-10,6.33,3.24,6.97,-0.15
2017-04-11,-10.02,-10.02,-10.02,-0.05
2017-04-12,-6.0,-6.0,-6.0,-0.25
2017-04-13,1.2,1.2,1.2,-0.28
2017-04-17,8.71,-0.74,3.98,0.53
2017-04-18,-1.91,-1.91,-1.91,-0.09
2017-04-19,4.1,4.1,4.1,-0.35
2017-04-20,-2.51,-2.51,-2.51,0.46
2017-04-21,1.6,1.6,1.6,0.9
2017-04-24,0.33,-0.77,2.04,1.13
2017-04-25,-0.8,-0.8,-0.8,0.39
2017-04-26,-8.36,-8.36,-8.36,-0.09
2017-04-27,-11.92,-11.92,-11.92,0.44
2017-04-28,14.67,14.67,14.67,0.19
