Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,8.15,8.15,8.15,-0.96
2016-11-03,-6.63,-6.63,-6.63,-0.2
2016-11-04,1.67,1.67,1.67,-0.11
2016-11-07,-7.63,-19.03,-14.6,2.55
2016-11-08,5.07,5.07,5.07,-0.24
2016-11-09,6.45,6.45,6.45,-2.15
2016-11-10,-6.06,-6.06,-6.06,-6.77
2016-11-11,5.49,5.49,5.49,-0.64
2016-11-14,-3.37,-12.27,-7.6,-1.4
2016-11-15,1.78,1.78,1.78,0.21
2016-11-16,9.78,9.78,9.78,1.6
2016-11-17,-6.76,-6.76,-6.76,-0.16
2016-11-18,-6.91,-6.91,-6.91,0.18
2016-11-21,14.61,4.02,10.86,2.75
2016-11-22,2.73,2.73,2.73,0.08
2016-11-23,-9.32,-9.32,-9.32,-0.35
2016-11-25,2.14,11.21,6.67,-0.28
2016-11-28,7.74,3.18,7.44,-0.48
2016-11-29,-10.9,-10.9,-10.9,0.58
2016-11-30,-5.0,-5.0,-5.0,-0.51
2016-12-01,5.05,5.05,5.05,0.22
2016-12-02,3.2,3.2,3.2,3.59
2016-12-05,2.86,-1.12,4.71,-1.65
2016-12-06,-7.86,-7.86,-7.86,5.41
2016-12-07,-1.12,-1.12,-1.12,0.82
2016-12-08,2.48,2.48,2.48,-2.15
2016-12-09,-1.07,-1.07,-1.07,-0.36
2016-12-12,-10.85,-4.84,-8.71,-0.05
2016-12-13,-3.04,-3.04,-3.04,0.95
2016-12-14,10.67,10.67,10.67,-0.34
2016-12-15,-0.67,-0.67,-0.67,1.56
2016-12-16,6.46,6.46,6.46,-0.78
2016-12-19,-2.61,-7.44,-3.87,1.23
2016-12-20,-2.44,-2.44,-2.44,-0.33
2016-12-21,-4.68,-4.68,-4.68,1.38
2016-12-22,6.1,6.1,6.1,-0.92
2016-12-23,-1.06,-1.06,-1.06,0.01
2016-12-27,4.01,10.72,6.48,2.76
2016-12-28,-8.17,-8.17,-8.17,-2.46
2016-12-29,6.85,6.85,6.85,-0.56
2016-12-30,4.06,4.06,4.06,-1.53
2017-01-03,-4.06,-7.02,-6.0,3.69
2017-01-04,9.38,9.38,9.38,1.92
2017-01-05,-11.14,-11.14,-11.14,2.4
2017-01-06,0.39,0.39,0.39,-0.74
2017-01-09,3.46,5.46,5.12,-0.12
2017-01-10,-2.65,-2.65,-2.65,-1.06
2017-01-11,-5.68,-5.68,-5.68,0.61
2017-01-12,-1.91,-1.91,-1.91,-1.32
2017-01-13,-2.13,-2.13,-2.13,4.52
2017-01-17,7.32,4.01,4.76,-0.81
2017-01-18,4.03,4.03,4.03,0.37
2017-01-19,-0.45,-0.45,-0.45,5.15
2017-01-20,-1.06,-1.06,-1.06,0.19
2017-01-23,-2.8,5.21,-1.08,-1.21
2017-01-24,-0.57,-0.57,-0.57,2.72
2017-01-25,0.36,0.36,0.36,-0.59
2017-01-26,1.53,1.53,1.53,-0.56
2017-01-27,7.61,7.61,7.61,3.49
2017-01-30,0.21,18.34,9.53,-1.23
2017-01-31,-7.3,-7.3,-7.3,-0.51
2017-02-01,0.54,0.54,0.54,0.07
2017-02-02,1.87,1.87,1.87,-1.58
2017-02-03,1.34,1.34,1.34,1.05
2017-02-06,-9.51,0.68,-5.6,0.72
2017-02-07,0.79,0.79,0.79,3.03
2017-02-08,5.25,5.25,5.25,0.74
2017-02-09,0.16,0.16,0.16,-0.6
2017-02-10,-10.22,-10.22,-10.22,0.68
2017-02-13,17.71,14.15,13.98,-1.62
2017-02-14,-11.2,-11.2,-11.2,-2.38
2017-02-15,-3.92,-3.92,-3.92,1.45
2017-02-16,5.92,5.92,5.92,-0.26
2017-02-17,4.8,4.8,4.8,0.21
2017-02-21,-8.84,7.8,-2.7,0.38
2017-02-22,6.77,6.77,6.77,1.26
2017-02-23,8.53,8.53,8.53,-1.08
2017-02-24,0.73,0.73,0.73,0.47
2017-02-27,-5.96,0.24,-3.66,0.16
2017-02-28,-6.85,-6.85,-6.85,-1.28
2017-03-01,8.33,8.33,8.33,0.52
2017-03-02,-7.08,-7.08,-7.08,-3.12
2017-03-03,2.3,2.3,2.3,-0.39
2017-03-06,10.96,8.5,10.51,2.8
2017-03-07,-14.2,-14.2,-14.2,-0.51
2017-03-08,1.85,1.85,1.85,-1.11
2017-03-09,0.67,0.67,0.67,0.21
2017-03-10,-8.12,-8.12,-8.12,0.36
2017-03-13,4.52,4.8,2.39,2.63
2017-03-14,2.67,2.67,2.67,-0.33
2017-03-15,-9.65,-9.65,-9.65,2.06
2017-03-16,7.0,7.0,7.0,-0.86
2017-03-17,2.89,2.89,2.89,0.72
2017-03-20,-1.02,0.31,1.09,0.72
2017-03-21,1.93,1.93,1.93,-3.41
2017-03-22,1.47,1.47,1.47,0.23
2017-03-23,-3.74,-3.74,-3.74,-0.81
2017-03-24,-4.73,-4.73,-4.73,0.18
2017-03-27,-0.17,6.51,2.81,2.04
2017-03-28,5.38,5.38,5.38,1.11
2017-03-29,5.62,5.62,5.62,1.3
2017-03-30,-10.36,-10.36,-10.36,1.59
2017-03-31,7.37,7.37,7.37,-0.25
2017-04-03,-1.68,2.34,2.42,-0.89
2017-04-04,-13.64,-13.64,-13.64,-1.42
2017-04-05,15.75,15.75,15.75,-1.88
2017-04-06,-6.96,-6.96,-6.96,0.12
2017-04-07,-1.57,-1.57,-1.57,-0.63
2017-04-10,4.35,-2.22,4.63,0.74
2017-04-11,3.49,3.49,3.49,0.5
2017-04-12,3.16,3.16,3.16,-0.52
2017-04-13,-5.29,-5.29,-5.29,-0.91
2017-04-17,12.6,15.47,15.98,4.33
2017-04-18,-18.21,-18.21,-18.21,-3.89
2017-04-19,3.2,3.2,3.2,-3.6
2017-04-20,-0.61,-0.61,-0.61,1.42
2017-04-21,-6.28,-6.28,-6.28,1.69
2017-04-24,-0.76,-3.88,-5.87,0.96
2017-04-25,1.49,1.49,1.49,8.33
2017-04-26,1.2,1.2,1.2,-1.99
2017-04-27,3.14,3.14,3.14,2.91
2017-04-28,-1.67,-1.67,-1.67,-0.88
