Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,8.79,8.79,4.74,0.1
2016-11-03,-10.78,6.82,6.82,0.01
2016-11-04,-0.42,-0.42,-0.42,0.23
2016-11-07,-7.1,-7.1,-7.1,0.95
2016-11-08,4.33,4.33,4.33,0.17
2016-11-09,-2.41,-2.41,-10.5,0.04
2016-11-10,4.78,6.08,6.08,-0.73
2016-11-11,16.05,16.05,16.05,0.38
2016-11-14,-22.34,-22.34,-22.34,-0.56
2016-11-15,9.16,9.16,9.16,-0.08
2016-11-16,6.62,6.62,2.55,0.55
2016-11-17,-14.49,10.37,10.37,0.91
2016-11-18,3.07,3.07,3.07,-0.49
2016-11-21,-1.78,-1.78,4.15,0.18
2016-11-22,4.15,5.38,-13.35,0.43
2016-11-23,-5.62,20.54,20.54,-0.37
2016-11-25,-14.32,-14.32,-14.32,0.18
2016-11-28,9.36,9.36,9.36,-0.51
2016-11-29,-3.36,-3.36,-3.36,-0.38
2016-11-30,-4.86,-4.86,-0.42,-0.56
2016-12-01,3.83,3.58,3.58,0.58
2016-12-02,13.38,13.38,13.38,-0.19
2016-12-05,-19.06,-19.06,-19.06,1.39
2016-12-06,-0.46,-0.46,-0.46,-1.28
2016-12-07,-2.61,-2.61,-14.09,1.53
2016-12-08,16.01,3.38,3.38,-0.55
2016-12-09,9.41,9.41,9.41,0.17
2016-12-12,-7.79,-7.79,-7.79,-0.18
2016-12-13,0.09,0.09,0.09,0.76
2016-12-14,-7.47,-7.47,-0.89,-0.51
2016-12-15,4.96,4.21,4.21,-0.5
2016-12-16,1.62,1.62,1.62,-0.37
2016-12-19,-4.29,-4.29,-4.29,-0.07
2016-12-20,3.29,3.29,3.29,0.94
2016-12-21,3.59,3.59,2.5,0.51
2016-12-22,-5.82,4.68,4.68,-0.16
2016-12-23,0.42,0.42,0.42,-0.23
2016-12-27,-2.24,-2.24,-2.24,-0.62
2016-12-28,1.11,1.11,-4.28,-0.27
2016-12-29,-8.28,8.51,8.51,0.04
2016-12-30,-1.64,-1.64,-1.64,-0.23
2017-01-03,1.9,1.9,1.9,1.15
2017-01-04,1.45,1.45,1.41,1.09
2017-01-05,-7.62,-4.59,-4.59,-0.01
2017-01-06,8.72,8.72,8.72,0.85
2017-01-09,-8.45,-8.45,-8.45,-0.53
2017-01-10,4.92,4.92,4.92,-0.27
2017-01-11,3.66,3.66,-6.34,-0.42
2017-01-12,3.65,2.77,2.77,-0.29
2017-01-13,-3.78,-3.78,-3.78,0.52
2017-01-17,3.48,3.48,3.48,0.73
2017-01-18,3.62,3.62,2.07,-0.38
2017-01-19,-3.39,-7.05,-7.05,-0.34
2017-01-20,7.55,7.55,7.55,0.27
2017-01-23,-4.4,-4.4,-4.4,0.04
2017-01-24,-0.62,-0.62,-0.62,0.21
2017-01-25,-8.6,-8.6,8.89,0.41
2017-01-26,3.1,-11.43,-11.43,-0.21
2017-01-27,7.66,7.66,7.66,-0.46
2017-01-30,-4.3,-4.3,-4.3,-0.11
2017-01-31,3.38,3.38,3.38,-0.18
2017-02-01,-8.95,-8.95,-2.65,0.12
2017-02-02,17.77,-2.41,-2.41,-0.22
2017-02-03,-1.95,-1.95,-1.95,-0.44
2017-02-06,-1.84,-1.84,-1.84,0.44
2017-02-07,-0.77,-0.77,-0.77,0.01
2017-02-08,2.07,2.07,-1.42,1.07
2017-02-09,-6.69,-0.7,-0.7,1.43
2017-02-10,19.41,19.41,19.41,0.91
2017-02-13,-3.99,-3.99,-3.99,-0.13
2017-02-14,-7.4,-7.4,-7.4,0.36
2017-02-15,3.68,3.68,6.72,0.19
2017-02-16,0.38,-0.74,-0.74,-0.35
2017-02-17,2.1,2.1,2.1,0.46
2017-02-21,-7.15,-7.15,-7.15,0.61
2017-02-22,2.47,2.47,3.16,0.88
2017-02-23,6.13,-12.25,-12.25,-0.85
2017-02-24,4.87,4.87,4.87,0.47
2017-02-27,-4.0,-4.0,-4.0,-0.17
2017-02-28,-2.77,-2.77,-2.77,-0.53
2017-03-01,10.67,10.67,-55.98,0.79
2017-03-02,-9.79,52.92,52.92,-0.15
2017-03-03,0.0,0.0,0.0,-1.1
2017-03-06,-5.34,-5.34,-5.34,0.07
2017-03-07,10.72,10.72,10.72,-0.22
2017-03-08,-0.47,-0.47,5.91,-0.04
2017-03-09,-5.78,4.28,4.28,-0.15
2017-03-10,-4.76,-4.76,-4.76,0.07
2017-03-13,5.28,5.28,5.28,0.24
2017-03-14,-5.35,-5.35,-5.35,0.61
2017-03-15,-6.46,-6.46,1.35,0.38
2017-03-16,4.77,2.43,2.43,-0.06
2017-03-17,-6.67,-6.67,-6.67,0.2
2017-03-20,1.06,1.06,1.06,0.88
