Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,8.79,8.79,8.79,0.1
2016-11-03,-10.78,-10.78,-10.78,0.01
2016-11-04,4.74,4.74,4.74,0.23
2016-11-07,-0.7,-7.1,-5.11,0.95
2016-11-08,4.33,4.33,4.33,0.17
2016-11-09,-2.41,-2.41,-2.41,0.04
2016-11-10,4.78,4.78,4.78,-0.73
2016-11-11,-10.5,-10.5,-10.5,0.38
2016-11-14,-0.21,-22.34,-9.61,-0.56
2016-11-15,9.16,9.16,9.16,-0.08
2016-11-16,6.62,6.62,6.62,0.55
2016-11-17,-14.49,-14.49,-14.49,0.91
2016-11-18,2.55,2.55,2.55,-0.49
2016-11-21,11.66,-1.78,3.72,0.18
2016-11-22,4.15,4.15,4.15,0.43
2016-11-23,5.38,5.38,5.38,-0.37
2016-11-25,-18.97,-13.35,-16.16,0.18
2016-11-28,15.58,9.36,6.66,-0.51
2016-11-29,-3.36,-3.36,-3.36,-0.38
2016-11-30,-4.86,-4.86,-4.86,-0.56
2016-12-01,3.83,3.83,3.83,0.58
2016-12-02,-0.42,-0.42,-0.42,-0.19
2016-12-05,-2.1,-19.06,-8.95,1.39
2016-12-06,-0.46,-0.46,-0.46,-1.28
2016-12-07,-2.61,-2.61,-2.61,1.53
2016-12-08,16.01,16.01,16.01,-0.55
2016-12-09,-14.09,-14.09,-14.09,0.17
2016-12-12,5.0,-7.79,-0.39,-0.18
2016-12-13,0.09,0.09,0.09,0.76
2016-12-14,-7.47,-7.47,-7.47,-0.51
2016-12-15,4.96,4.96,4.96,-0.5
2016-12-16,-0.89,-0.89,-0.89,-0.37
2016-12-19,1.54,-4.29,-1.81,-0.07
2016-12-20,3.29,3.29,3.29,0.94
2016-12-21,3.59,3.59,3.59,0.51
2016-12-22,-5.82,-5.82,-5.82,-0.16
2016-12-23,-2.09,-2.09,-2.09,-0.23
2016-12-27,5.36,-2.24,1.04,-0.62
2016-12-28,1.11,1.11,1.11,-0.27
2016-12-29,-8.28,-8.28,-8.28,0.04
2016-12-30,6.95,6.95,6.95,-0.23
2017-01-03,4.49,1.9,3.86,1.15
2017-01-04,1.45,1.45,1.45,1.09
2017-01-05,-7.62,-7.62,-7.62,-0.01
2017-01-06,1.41,1.41,1.41,0.85
2017-01-09,-4.32,-8.45,-4.17,-0.53
2017-01-10,4.92,4.92,4.92,-0.27
2017-01-11,3.66,3.66,3.66,-0.42
2017-01-12,3.65,3.65,3.65,-0.29
2017-01-13,2.77,2.77,2.77,0.52
2017-01-17,-3.87,3.48,0.45,0.73
