Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,11.54,11.54,-12.03,-9000.0
2016-11-03,-2.45,-10.47,-10.47,-27000.0
2016-11-04,40.68,40.68,40.68,11000.0
2016-11-07,-18.57,-18.57,-18.57,13000.0
2016-11-08,-0.7,-0.7,-0.7,4000.0
2016-11-09,9.12,9.12,24.91,-48000.0
2016-11-10,0.0,0.0,0.0,53000.0
2016-11-11,14.13,14.13,14.13,-51000.0
2016-11-14,-7.56,-7.56,-7.56,-45000.0
2016-11-15,-7.99,-7.99,-7.99,-14000.0
2016-11-16,12.79,12.79,-5.01,19000.0
2016-11-17,-12.05,9.79,9.79,10000.0
2016-11-18,2.39,2.39,2.39,18000.0
2016-11-21,-13.87,-13.87,-13.87,7000.0
2016-11-22,-3.31,-3.31,-3.31,47000.0
2016-11-23,12.6,12.6,0.14,9000.0
2016-11-24,0.1,-11.1,-11.1,1000.0
2016-11-25,-1.32,-1.32,-1.32,0.0
2016-11-28,0.1,0.1,0.1,27000.0
2016-11-29,12.36,12.36,12.36,0.0
2016-11-30,-8.51,-8.51,8.09,69000.0
2016-12-01,0.0,-4.24,-4.24,3000.0
2016-12-02,-7.42,-7.42,-7.42,-22000.0
2016-12-05,-12.5,-12.5,-12.5,-9000.0
2016-12-06,2.61,2.61,2.61,30000.0
2016-12-07,11.77,11.77,-3.51,24000.0
2016-12-08,12.5,-3.13,-3.13,18000.0
2016-12-09,-2.89,-2.89,-2.89,-10000.0
2016-12-12,9.15,9.15,9.15,-28000.0
2016-12-13,-6.95,-6.95,-6.95,14000.0
2016-12-14,0.26,0.26,-7.51,11000.0
2016-12-15,8.0,-4.66,-4.66,-18000.0
2016-12-16,2.72,2.72,2.72,34000.0
2016-12-19,0.7,0.7,0.7,2000.0
2016-12-20,3.77,3.77,3.77,17000.0
2016-12-21,12.27,12.27,-4.46,-7000.0
2016-12-22,-14.19,0.95,0.95,4000.0
2016-12-23,-7.9,-7.9,-7.9,-27000.0
2016-12-26,15.74,15.74,15.74,16000.0
2016-12-27,3.27,3.27,3.27,1000.0
2016-12-28,4.23,4.23,-1.43,-11000.0
2016-12-29,1.15,-12.17,-12.17,14000.0
2016-12-30,3.53,3.53,3.53,0.0
2017-01-02,-8.97,-8.97,-8.97,3000.0
2017-01-03,9.6,9.6,9.6,19000.0
2017-01-04,3.82,3.82,-14.96,-16000.0
2017-01-05,0.71,22.61,22.61,-30000.0
2017-01-06,-1.84,-1.84,-1.84,32000.0
2017-01-09,-12.72,-12.72,-12.72,51000.0
2017-01-10,6.63,6.63,6.63,1000.0
2017-01-11,-11.34,-11.34,-7.7,52000.0
2017-01-12,2.36,3.17,3.17,26000.0
2017-01-13,-5.42,-5.42,-5.42,-67000.0
2017-01-16,0.84,0.84,0.84,-40000.0
2017-01-17,8.16,8.16,8.16,15000.0
2017-01-18,0.21,0.21,-7.65,-1000.0
2017-01-19,-0.42,-2.48,-2.48,27000.0
2017-01-20,5.03,5.03,5.03,-14000.0
2017-01-23,-21.71,-21.71,-21.71,43000.0
2017-01-24,26.56,26.56,26.56,5000.0
2017-01-25,0.82,0.82,3.52,62000.0
2017-01-26,-7.83,-3.57,-3.57,25000.0
2017-01-27,4.82,4.82,4.82,0.0
2017-01-30,7.98,7.98,7.98,0.0
2017-01-31,-3.48,-3.48,-3.48,-22000.0
2017-02-01,1.0,1.0,-9.29,-17000.0
2017-02-02,10.73,-4.79,-4.79,12000.0
2017-02-03,4.55,4.55,4.55,5000.0
2017-02-06,9.97,9.97,9.97,5000.0
2017-02-07,-12.08,-12.08,-12.08,-37000.0
2017-02-08,-0.91,-0.91,0.38,-21000.0
2017-02-09,2.63,-1.69,-1.69,0.0
2017-02-10,6.7,6.7,6.7,-2000.0
2017-02-13,-4.92,-4.92,-4.92,-20000.0
2017-02-14,-9.58,-9.58,-9.58,-19000.0
2017-02-15,18.61,18.61,-10.04,7000.0
2017-02-16,-13.73,4.94,4.94,15000.0
2017-02-17,-4.21,-4.21,-4.21,-8000.0
2017-02-20,9.32,9.32,9.32,40000.0
2017-02-21,-3.45,-3.45,-3.45,14000.0
2017-02-22,-2.87,-2.87,-7.65,18000.0
2017-02-23,16.19,1.3,1.3,-6000.0
2017-02-24,-1.46,-1.46,-1.46,-48000.0
2017-02-27,-4.66,-4.66,-4.66,-8000.0
2017-02-28,-5.71,-5.71,-5.71,19000.0
2017-03-01,4.67,4.67,4.14,0.0
2017-03-02,-1.39,-3.79,-3.79,64000.0
2017-03-03,-4.32,-4.32,-4.32,-5000.0
2017-03-06,14.66,14.66,14.66,23000.0
2017-03-07,-0.07,-0.07,-0.07,6000.0
2017-03-08,-11.2,-11.2,3.57,0.0
2017-03-09,4.74,3.13,3.13,0.0
