Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,11.54,11.54,11.54,-9000.0
2016-11-03,-2.45,-2.45,-2.45,-27000.0
2016-11-04,-12.03,-12.03,-12.03,11000.0
2016-11-07,11.64,-18.57,5.06,13000.0
2016-11-08,-0.7,-0.7,-0.7,4000.0
2016-11-09,9.12,9.12,9.12,-48000.0
2016-11-10,-33.79,-33.79,-33.79,53000.0
2016-11-11,24.91,24.91,24.91,-51000.0
2016-11-14,4.65,-7.56,1.22,-45000.0
2016-11-15,-7.99,-7.99,-7.99,-14000.0
2016-11-16,12.79,12.79,12.79,19000.0
2016-11-17,-12.05,-12.05,-12.05,10000.0
2016-11-18,-5.01,-5.01,-5.01,18000.0
2016-11-21,-1.69,-13.87,-9.01,7000.0
2016-11-22,-3.31,-3.31,-3.31,47000.0
2016-11-23,12.6,12.6,12.6,9000.0
2016-11-24,0.1,0.1,0.1,1000.0
2016-11-25,0.14,0.14,0.14,0.0
2016-11-28,-12.32,0.1,-4.48,27000.0
2016-11-29,12.36,12.36,12.36,0.0
2016-11-30,-8.51,-8.51,-8.51,69000.0
2016-12-01,0.0,0.0,0.0,3000.0
2016-12-02,8.09,8.09,8.09,-22000.0
2016-12-05,-24.16,-12.5,-18.86,-9000.0
2016-12-06,2.61,2.61,2.61,30000.0
2016-12-07,11.77,11.77,11.77,24000.0
2016-12-08,12.5,12.5,12.5,18000.0
2016-12-09,-3.51,-3.51,-3.51,-10000.0
2016-12-12,3.13,9.15,6.18,-28000.0
2016-12-13,-6.95,-6.95,-6.95,14000.0
2016-12-14,0.26,0.26,0.26,11000.0
2016-12-15,8.0,8.0,8.0,-18000.0
2016-12-16,-7.51,-7.51,-7.51,34000.0
2016-12-19,-1.24,0.7,0.96,2000.0
2016-12-20,3.77,3.77,3.77,17000.0
2016-12-21,12.27,12.27,12.27,-7000.0
2016-12-22,-14.19,-14.19,-14.19,4000.0
2016-12-23,-4.46,-4.46,-4.46,-27000.0
2016-12-26,8.79,15.74,10.79,16000.0
2016-12-27,3.27,3.27,3.27,1000.0
2016-12-28,4.23,4.23,4.23,-11000.0
