Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-9.51,-9.51,-0.94,-2.77
2016-11-03,19.23,-0.29,-0.29,-0.6
2016-11-04,-12.44,-12.44,-12.44,3.14
2016-11-07,5.55,5.55,5.55,2.65
2016-11-08,-0.43,-0.43,-0.43,1.73
2016-11-09,0.48,0.48,-16.29,-4.88
2016-11-10,9.87,14.23,14.23,-4.71
2016-11-11,2.46,2.46,2.46,3.21
2016-11-14,-16.88,-16.88,-16.88,-7.11
2016-11-15,-0.75,-0.75,-0.75,2.32
2016-11-16,12.65,12.65,2.03,0.16
2016-11-17,-8.61,9.83,9.83,4.73
2016-11-18,1.35,1.35,1.35,-3.64
2016-11-21,-0.6,-0.6,-12.12,-0.5
2016-11-22,-12.12,12.78,-4.46,6.65
2016-11-23,-6.99,-8.31,-8.31,1.97
2016-11-25,7.38,7.38,7.38,3.51
2016-11-28,-2.45,-2.45,-2.45,-0.53
2016-11-29,2.69,2.69,2.69,-6.55
2016-11-30,0.08,0.08,0.57,-0.17
2016-12-01,-0.36,8.16,8.16,-7.52
2016-12-02,-13.25,-13.25,-13.25,-0.41
2016-12-05,8.73,8.73,8.73,5.33
2016-12-06,-2.75,-2.75,-2.75,-0.95
2016-12-07,-1.49,-1.49,-2.3,7.3
2016-12-08,0.04,4.31,4.31,-0.86
2016-12-09,3.01,3.01,3.01,-0.11
2016-12-12,-2.01,-2.01,-2.01,0.25
2016-12-13,-4.35,-4.35,-4.35,5.72
2016-12-14,-9.06,-9.06,-1.96,0.54
2016-12-15,10.52,5.64,5.64,-1.11
2016-12-16,-10.07,-10.07,-10.07,4.91
2016-12-19,9.0,9.0,9.0,0.24
2016-12-20,-4.68,-4.68,-4.68,6.06
2016-12-21,-2.68,-2.68,10.21,-1.09
2016-12-22,-1.09,-17.54,-17.54,0.75
2016-12-23,17.49,17.49,17.49,4.89
2016-12-27,-2.65,-2.65,-2.65,6.19
2016-12-28,-5.52,-5.52,-1.35,0.21
2016-12-29,4.14,-12.52,-12.52,-5.06
2016-12-30,13.27,13.27,13.27,-0.99
2017-01-03,-6.57,-6.57,-6.57,3.3
2017-01-04,2.78,2.78,-7.06,10.0
2017-01-05,2.05,7.38,7.38,-0.24
2017-01-06,-1.59,-1.59,-1.59,2.26
2017-01-09,0.89,0.89,0.89,2.27
2017-01-10,-2.16,-2.16,-2.16,-1.41
2017-01-11,2.09,2.09,4.09,-0.14
2017-01-12,-2.65,7.97,7.97,-0.14
