Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-8.78,-8.78,-8.78,-2.77
2016-11-03,15.52,15.52,15.52,-0.6
2016-11-04,0.7,0.7,0.7,3.14
2016-11-07,-6.79,7.38,-2.22,2.65
2016-11-08,-1.37,-1.37,-1.37,1.73
2016-11-09,-2.89,-2.89,-2.89,-4.88
2016-11-10,11.5,11.5,11.5,-4.71
2016-11-11,-13.46,-13.46,-13.46,3.21
2016-11-14,-2.03,-17.0,-10.71,-7.11
2016-11-15,2.11,2.11,2.11,2.32
2016-11-16,11.17,11.17,11.17,0.16
2016-11-17,-7.67,-7.67,-7.67,4.73
2016-11-18,1.19,1.19,1.19,-3.64
2016-11-21,11.03,5.68,6.35,-0.5
2016-11-22,-12.44,-12.44,-12.44,6.65
2016-11-23,14.44,14.44,14.44,1.97
2016-11-25,-12.85,-6.39,-9.62,3.51
2016-11-28,-3.8,-5.64,-1.96,-0.53
2016-11-29,5.16,5.16,5.16,-6.55
2016-11-30,-4.39,-4.39,-4.39,-0.17
2016-12-01,3.47,3.47,3.47,-7.52
2016-12-02,2.14,2.14,2.14,-0.41
2016-12-05,3.09,11.33,3.71,5.33
2016-12-06,-6.3,-6.3,-6.3,-0.95
2016-12-07,-0.58,-0.58,-0.58,7.3
2016-12-08,2.31,2.31,2.31,-0.86
2016-12-09,-1.95,-1.95,-1.95,-0.11
2016-12-12,3.5,-3.96,-3.22,0.25
2016-12-13,-3.16,-3.16,-3.16,5.72
2016-12-14,-11.2,-11.2,-11.2,0.54
2016-12-15,12.41,12.41,12.41,-1.11
2016-12-16,-3.05,-3.05,-3.05,4.91
2016-12-19,6.37,9.91,5.5,0.24
2016-12-20,-6.45,-6.45,-6.45,6.06
2016-12-21,-1.33,-1.33,-1.33,-1.09
2016-12-22,-1.51,-1.51,-1.51,0.75
2016-12-23,-2.64,-2.64,-2.64,4.89
2016-12-27,10.31,0.3,4.68,6.19
2016-12-28,-7.98,-7.98,-7.98,0.21
2016-12-29,8.19,8.19,8.19,-5.06
2016-12-30,-1.74,-1.74,-1.74,-0.99
2017-01-03,-6.79,-6.64,-2.06,3.3
2017-01-04,2.73,2.73,2.73,10.0
2017-01-05,5.16,5.16,5.16,-0.24
2017-01-06,-10.13,-10.13,-10.13,2.26
2017-01-09,6.64,-3.07,0.92,2.27
2017-01-10,-0.08,-0.08,-0.08,-1.41
2017-01-11,-0.83,-0.83,-0.83,-0.14
2017-01-12,-0.71,-0.71,-0.71,-0.14
2017-01-13,-4.47,-4.47,-4.47,8.16
2017-01-17,4.17,-7.97,-2.67,-2.17
2017-01-18,5.86,5.86,5.86,2.78
2017-01-19,14.42,14.42,14.42,5.4
2017-01-20,-31.9,-31.9,-31.9,0.97
2017-01-23,14.94,8.04,6.78,4.19
2017-01-24,-0.33,-0.33,-0.33,5.69
2017-01-25,-1.46,-1.46,-1.46,-0.14
2017-01-26,-4.79,-4.79,-4.79,-1.96
2017-01-27,-14.98,-14.98,-14.98,0.44
2017-01-30,7.96,-5.56,-1.05,-2.32
2017-01-31,6.62,6.62,6.62,1.3
2017-02-01,-3.46,-3.46,-3.46,-2.69
2017-02-02,1.84,1.84,1.84,2.31
2017-02-03,-0.01,-0.01,-0.01,-0.22
2017-02-06,7.56,10.67,11.27,6.44
2017-02-07,-0.02,-0.02,-0.02,-0.29
2017-02-08,-8.09,-8.09,-8.09,4.6
2017-02-09,5.67,5.67,5.67,7.12
2017-02-10,-13.26,-13.26,-13.26,0.03
2017-02-13,12.01,4.42,7.48,11.37
2017-02-14,2.53,2.53,2.53,0.38
2017-02-15,-5.25,-5.25,-5.25,-1.22
2017-02-16,-1.39,-1.39,-1.39,-10.81
2017-02-17,7.38,7.38,7.38,3.28
2017-02-21,0.48,-7.71,-1.62,5.16
2017-02-22,-4.89,-4.89,-4.89,-3.88
2017-02-23,1.51,1.51,1.51,-17.52
2017-02-24,-0.51,-0.51,-0.51,1.01
2017-02-27,-5.51,-5.98,-5.58,-10.77
2017-02-28,5.47,5.47,5.47,3.76
2017-03-01,-5.22,-5.22,-5.22,0.03
2017-03-02,7.45,7.45,7.45,0.46
2017-03-03,-2.7,-2.7,-2.7,1.09
2017-03-06,0.92,2.18,0.29,-0.36
2017-03-07,2.2,2.2,2.2,-2.62
2017-03-08,-0.15,-0.15,-0.15,-1.72
2017-03-09,1.64,1.64,1.64,-1.97
2017-03-10,7.81,7.81,7.81,-1.21
2017-03-13,-1.09,3.72,0.99,2.48
2017-03-14,-10.51,-10.51,-10.51,11.83
2017-03-15,5.31,5.31,5.31,-2.27
2017-03-16,-3.04,-3.04,-3.04,6.32
2017-03-17,2.92,2.92,2.92,-0.55
2017-03-20,4.85,-5.66,-0.61,0.42
2017-03-21,-7.16,-7.16,-7.16,-11.24
2017-03-22,-1.48,-1.48,-1.48,4.33
2017-03-23,3.58,3.58,3.58,-0.23
2017-03-24,6.13,6.13,6.13,8.38
2017-03-27,-2.64,-4.02,-2.66,7.06
2017-03-28,-16.29,-16.29,-16.29,7.23
2017-03-29,7.85,7.85,7.85,-0.07
2017-03-30,-1.12,-1.12,-1.12,0.54
2017-03-31,6.04,6.04,6.04,0.38
2017-04-03,-9.27,-22.85,-16.65,20.22
2017-04-04,3.43,3.43,3.43,5.18
2017-04-05,6.13,6.13,6.13,-8.7
2017-04-06,-0.75,-0.75,-0.75,3.7
2017-04-07,-3.27,-3.27,-3.27,3.84
2017-04-10,1.77,-7.47,-4.24,9.85
2017-04-11,-2.47,-2.47,-2.47,-3.68
2017-04-12,0.15,0.15,0.15,-11.87
2017-04-13,10.38,10.38,10.38,7.16
2017-04-17,-1.06,3.7,3.69,-2.56
2017-04-18,-5.13,-5.13,-5.13,-1.19
2017-04-19,-13.02,-13.02,-13.02,5.27
2017-04-20,-1.69,-1.69,-1.69,-3.01
2017-04-21,6.38,6.38,6.38,3.09
2017-04-24,5.02,-6.16,-0.48,2.43
2017-04-25,2.45,2.45,2.45,5.76
2017-04-26,-4.53,-4.53,-4.53,-3.62
2017-04-27,8.39,8.39,8.39,-1.54
2017-04-28,-3.52,-3.52,-3.52,5.44
