Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,9.05,9.05,-1.68,-77.46,0.24,-13.78
2016-11-03,-1.73,3.95,3.95,-28.97,0.4,-9.28
2016-11-04,5.08,5.08,5.08,-42.39,0.52,-3.48
2016-11-07,-10.48,-10.48,-10.48,371.32,0.78,46.34
2016-11-08,2.65,2.65,2.65,73.14,-0.08,8.04
2016-11-09,3.28,3.28,9.77,256.95,1.55,23.7
2016-11-10,-6.23,-7.67,-7.67,218.19,0.17,4.22
2016-11-11,-3.42,-3.42,-3.42,39.78,-0.66,-3.03
2016-11-14,-0.05,-0.05,-0.05,21.03,-1.71,-0.25
2016-11-15,3.61,3.61,3.61,54.37,-0.25,16.19
2016-11-16,-1.72,-1.72,-6.29,-54.92,0.23,-3.45
2016-11-17,9.06,-17.89,-17.89,35.68,0.15,10.18
2016-11-18,17.29,17.29,17.29,-35.89,0.99,-5.22
2016-11-21,-4.43,-4.43,3.88,88.76,0.12,16.28
2016-11-22,3.88,-5.39,-2.0,67.18,-0.39,4.76
2016-11-23,8.43,-1.28,-1.28,59.31,-0.24,1.78
2016-11-25,4.72,4.72,4.72,68.96,0.35,8.63
2016-11-28,-2.39,-2.39,-2.39,-54.24,-1.11,-11.63
2016-11-29,0.71,0.71,0.71,23.7,0.39,2.94
2016-11-30,-0.75,-0.75,-14.13,1.98,-0.88,-5.85
2016-12-01,1.62,13.5,13.5,68.35,-0.54,-7.73
2016-12-02,11.59,11.59,11.59,-21.51,0.33,0.87
2016-12-05,-12.39,-12.39,-12.39,45.82,0.98,12.76
2016-12-06,2.39,2.39,2.39,35.54,1.66,7.52
2016-12-07,-7.52,-7.52,0.73,297.84,1.09,29.12
2016-12-08,1.69,7.24,7.24,65.19,0.16,4.84
2016-12-09,2.05,2.05,2.05,142.04,0.85,13.34
2016-12-12,-1.7,-1.7,-1.7,39.58,0.17,-2.57
2016-12-13,-8.25,-8.25,-8.25,114.78,0.47,14.76
2016-12-14,-1.8,-1.8,5.64,-118.68,-1.0,-18.44
2016-12-15,-2.38,-9.0,-9.0,59.71,0.35,8.75
2016-12-16,9.04,9.04,9.04,-8.83,-0.55,-3.96
2016-12-19,2.36,2.36,2.36,39.65,-0.36,4.46
2016-12-20,2.9,2.9,2.9,91.56,0.31,8.23
2016-12-21,-6.62,-6.62,-2.58,-32.66,-0.52,-5.58
2016-12-22,5.98,-4.07,-4.07,-23.08,-0.28,-4.22
2016-12-23,1.12,1.12,1.12,14.93,-0.04,2.83
2016-12-27,-1.15,-1.15,-1.15,11.23,0.36,5.09
2016-12-28,-0.45,-0.45,-1.01,-111.36,-0.19,-18.96
2016-12-29,-6.59,9.55,9.55,-13.9,-0.33,-0.66
2016-12-30,0.61,0.61,0.61,-57.18,0.11,-10.43
2017-01-03,5.02,5.02,5.02,119.16,-0.44,19.0
2017-01-04,-6.39,-6.39,-1.79,60.4,1.04,12.92
2017-01-05,-3.59,0.81,0.81,-42.87,-0.08,-1.75
2017-01-06,1.55,1.55,1.55,64.51,0.82,7.98
2017-01-09,-1.17,-1.17,-1.17,-76.42,-0.69,-8.08
2017-01-10,3.78,3.78,3.78,-31.85,-0.57,0.0
2017-01-11,-1.7,-1.7,0.9,98.75,0.52,6.42
2017-01-12,0.51,2.74,2.74,-63.28,-0.32,-4.88
2017-01-13,-0.47,-0.47,-0.47,-5.27,0.31,4.2
2017-01-17,-4.38,-4.38,-4.38,-58.96,-0.72,-6.75
2017-01-18,-1.73,-1.73,2.73,-22.05,0.26,4.0
2017-01-19,0.03,1.68,1.68,-72.32,-0.19,-8.2
2017-01-20,1.94,1.94,1.94,94.85,0.3,7.62
2017-01-23,-7.88,-7.88,-7.88,-27.4,-0.04,-6.11
2017-01-24,0.43,0.43,0.43,112.86,0.63,14.87
2017-01-25,2.47,2.47,0.72,155.8,0.39,18.3
2017-01-26,-2.4,5.83,5.83,32.4,0.49,-1.69
2017-01-27,-1.52,-1.52,-1.52,-7.13,-0.47,-1.99
