Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,9.69,9.69,9.69,-77.46,0.24,-13.78
2016-11-03,-4.19,-4.19,-4.19,-28.97,0.4,-9.28
2016-11-04,2.09,2.09,2.09,-42.39,0.52,-3.48
2016-11-07,-0.63,-4.16,-2.49,371.32,0.78,46.34
2016-11-08,-0.63,-0.63,-0.63,73.14,-0.08,8.04
2016-11-09,1.87,1.87,1.87,256.95,1.55,23.7
2016-11-10,-5.03,-5.03,-5.03,218.19,0.17,4.22
2016-11-11,7.71,7.71,7.71,39.78,-0.66,-3.03
2016-11-14,-8.98,-1.67,-3.86,21.03,-1.71,-0.25
2016-11-15,4.39,4.39,4.39,54.37,-0.25,16.19
2016-11-16,-1.77,-1.77,-1.77,-54.92,0.23,-3.45
2016-11-17,6.37,6.37,6.37,35.68,0.15,10.18
2016-11-18,-3.18,-3.18,-3.18,-35.89,0.99,-5.22
2016-11-21,-1.95,-1.09,3.69,88.76,0.12,16.28
2016-11-22,1.41,1.41,1.41,67.18,-0.39,4.76
2016-11-23,-5.61,-5.61,-5.61,59.31,-0.24,1.78
2016-11-25,3.36,-5.53,-1.09,68.96,0.35,8.63
2016-11-28,1.42,-4.45,-2.51,-54.24,-1.11,-11.63
2016-11-29,1.12,1.12,1.12,23.7,0.39,2.94
2016-11-30,-0.32,-0.32,-0.32,1.98,-0.88,-5.85
2016-12-01,0.44,0.44,0.44,68.35,-0.54,-7.73
2016-12-02,-10.24,-10.24,-10.24,-21.51,0.33,0.87
2016-12-05,9.66,-7.99,-0.39,45.82,0.98,12.76
2016-12-06,1.99,1.99,1.99,35.54,1.66,7.52
2016-12-07,-6.06,-6.06,-6.06,297.84,1.09,29.12
2016-12-08,0.14,0.14,0.14,65.19,0.16,4.84
2016-12-09,3.05,3.05,3.05,142.04,0.85,13.34
2016-12-12,3.62,-2.52,0.23,39.58,0.17,-2.57
2016-12-13,-3.53,-3.53,-3.53,114.78,0.47,14.76
2016-12-14,-3.76,-3.76,-3.76,-118.68,-1.0,-18.44
2016-12-15,-1.74,-1.74,-1.74,59.71,0.35,8.75
2016-12-16,4.08,4.08,4.08,-8.83,-0.55,-3.96
2016-12-19,1.29,-1.32,2.53,39.65,-0.36,4.46
2016-12-20,3.63,3.63,3.63,91.56,0.31,8.23
2016-12-21,-6.37,-6.37,-6.37,-32.66,-0.52,-5.58
2016-12-22,6.26,6.26,6.26,-23.08,-0.28,-4.22
2016-12-23,0.96,0.96,0.96,14.93,-0.04,2.83
2016-12-27,-5.26,-1.6,-3.1,11.23,0.36,5.09
2016-12-28,-0.58,-0.58,-0.58,-111.36,-0.19,-18.96
2016-12-29,-4.47,-4.47,-4.47,-13.9,-0.33,-0.66
2016-12-30,3.92,3.92,3.92,-57.18,0.11,-10.43
2017-01-03,11.67,3.28,7.8,119.16,-0.44,19.0
2017-01-04,-5.28,-5.28,-5.28,60.4,1.04,12.92
2017-01-05,-2.32,-2.32,-2.32,-42.87,-0.08,-1.75
2017-01-06,-2.85,-2.85,-2.85,64.51,0.82,7.98
2017-01-09,-0.07,-4.06,-2.1,-76.42,-0.69,-8.08
2017-01-10,5.27,5.27,5.27,-31.85,-0.57,0.0
2017-01-11,0.33,0.33,0.33,98.75,0.52,6.42
2017-01-12,-2.69,-2.69,-2.69,-63.28,-0.32,-4.88
2017-01-13,-1.76,-1.76,-1.76,-5.27,0.31,4.2
2017-01-17,1.19,-3.57,-1.86,-58.96,-0.72,-6.75
2017-01-18,-3.32,-3.32,-3.32,-22.05,0.26,4.0
2017-01-19,1.49,1.49,1.49,-72.32,-0.19,-8.2
2017-01-20,2.79,2.79,2.79,94.85,0.3,7.62
2017-01-23,-4.48,-6.82,-5.78,-27.4,-0.04,-6.11
2017-01-24,0.46,0.46,0.46,112.86,0.63,14.87
2017-01-25,3.34,3.34,3.34,155.8,0.39,18.3
2017-01-26,-1.69,-1.69,-1.69,32.4,0.49,-1.69
2017-01-27,-1.18,-1.18,-1.18,-7.13,-0.47,-1.99
2017-01-30,2.53,-1.44,-0.26,-122.65,-0.18,-13.79
2017-01-31,0.14,0.14,0.14,-107.04,2.36,-2.03
2017-02-01,-0.6,-0.6,-0.6,26.85,0.21,0.68
2017-02-02,4.07,4.07,4.07,-6.03,-0.08,1.3
2017-02-03,-3.38,-3.38,-3.38,186.55,-0.33,16.57
2017-02-06,-0.76,1.57,1.13,-19.04,-0.6,-4.86
2017-02-07,-0.49,-0.49,-0.49,37.87,-0.38,0.52
2017-02-08,-3.05,-3.05,-3.05,-35.95,-0.48,1.59
2017-02-09,6.2,6.2,6.2,118.06,0.22,13.2
2017-02-10,-4.35,-4.35,-4.35,96.97,0.67,8.23
2017-02-13,-0.68,-2.04,-1.42,142.79,0.93,12.15
2017-02-14,4.6,4.6,4.6,92.25,0.08,9.33
2017-02-15,-0.12,-0.12,-0.12,107.45,0.47,11.67
2017-02-16,-2.61,-2.61,-2.61,7.91,0.09,-2.03
2017-02-17,7.74,7.74,7.74,4.28,0.17,3.94
2017-02-21,-5.32,0.62,-1.14,118.95,-0.14,14.22
2017-02-22,0.59,0.59,0.59,32.6,-0.13,-2.56
2017-02-23,-4.66,-4.66,-4.66,34.72,0.21,0.99
2017-02-24,3.34,3.34,3.34,11.44,0.0,3.53
2017-02-27,-1.55,0.52,-2.34,15.68,-0.3,2.39
2017-02-28,0.07,0.07,0.07,-25.2,-0.04,-6.09
2017-03-01,4.05,4.05,4.05,303.31,1.07,32.32
2017-03-02,-6.26,-6.26,-6.26,-112.58,-0.93,-14.04
2017-03-03,5.38,5.38,5.38,2.74,-0.16,1.2
2017-03-06,1.34,-0.85,0.83,-51.37,0.27,-7.81
2017-03-07,-4.16,-4.16,-4.16,-29.58,-0.43,-6.92
2017-03-08,0.88,0.88,0.88,-69.03,-0.2,-5.41
2017-03-09,-5.69,-5.69,-5.69,2.46,0.35,1.89
2017-03-10,2.17,2.17,2.17,44.79,-0.12,7.73
2017-03-13,0.08,-3.4,-3.2,-21.5,-0.18,0.87
2017-03-14,3.35,3.35,3.35,-44.11,-0.07,-8.02
2017-03-15,-1.79,-1.79,-1.79,112.73,0.11,19.81
2017-03-16,1.5,1.5,1.5,-15.55,0.34,-3.88
2017-03-17,-1.14,-1.14,-1.14,-19.93,-0.28,-3.13
2017-03-20,2.84,0.95,1.3,-8.76,-0.11,-4.78
2017-03-21,-1.63,-1.63,-1.63,-237.85,-1.03,-29.45
2017-03-22,-1.36,-1.36,-1.36,-6.71,-0.04,4.43
2017-03-23,-0.71,-0.71,-0.71,-4.72,0.03,-2.49
2017-03-24,0.73,0.73,0.73,-59.86,0.12,-1.98
2017-03-27,0.38,-0.28,0.27,-45.74,-0.84,-2.39
2017-03-28,4.11,4.11,4.11,150.52,0.13,16.98
2017-03-29,-3.14,-3.14,-3.14,-42.18,-0.47,2.56
2017-03-30,-8.08,-8.08,-8.08,69.17,0.72,6.93
2017-03-31,7.7,7.7,7.7,-65.27,0.06,-5.34
2017-04-03,0.1,-2.95,-1.08,-13.01,-0.54,-3.88
2017-04-04,-2.49,-2.49,-2.49,39.03,-0.28,1.32
2017-04-05,0.53,0.53,0.53,-41.09,0.46,-7.21
2017-04-06,-1.58,-1.58,-1.58,14.8,0.04,4.54
2017-04-07,-4.57,-4.57,-4.57,-6.85,0.09,-1.95
2017-04-10,4.96,0.66,1.12,1.92,0.14,1.62
2017-04-11,-0.03,-0.03,-0.03,-6.72,-0.36,-3.38
2017-04-12,6.27,6.27,6.27,-59.44,-0.32,-8.85
2017-04-13,-3.35,-3.35,-3.35,-138.61,-0.57,-15.98
2017-04-17,-1.44,-7.17,-3.62,183.67,0.97,20.06
2017-04-18,-0.31,-0.31,-0.31,-113.64,0.02,-6.82
2017-04-19,3.12,3.12,3.12,-118.79,0.07,-4.02
2017-04-20,0.73,0.73,0.73,174.22,0.95,17.67
2017-04-21,-6.02,-6.02,-6.02,-30.95,-0.21,-7.15
2017-04-24,1.58,-5.92,-1.84,216.13,0.54,25.46
