Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-38.1,-38.1,-38.1,-0.07
2016-11-03,-33.33,-33.33,-33.33,-0.02
2016-11-04,50.0,50.0,50.0,-0.34
2016-11-07,-7.14,42.86,1.19,0.77
2016-11-08,23.81,23.81,23.81,0.42
2016-11-09,-33.34,-33.34,-33.34,-0.61
2016-11-10,23.81,23.81,23.81,-1.33
2016-11-11,-17.14,-17.14,-17.14,0.09
2016-11-14,5.0,-55.0,-18.33,0.14
2016-11-15,55.0,55.0,55.0,0.27
2016-11-16,-50.0,-50.0,-50.0,-0.18
2016-11-17,12.5,12.5,12.5,-0.14
2016-11-18,12.5,12.5,12.5,-0.21
2016-11-21,-8.33,-11.11,-17.59,0.45
2016-11-22,-23.81,-23.81,-23.81,0.01
2016-11-23,17.14,17.14,17.14,-0.25
2016-11-25,6.67,-33.33,-13.33,0.41
2016-11-28,10.25,-6.41,-6.41,0.22
2016-11-29,-17.83,-17.83,-17.83,-0.6
2016-11-30,-2.57,-2.57,-2.57,-0.8
2016-12-01,4.09,4.09,4.09,-0.18
2016-12-02,14.39,14.39,14.39,0.19
2016-12-05,-10.29,4.71,-4.1,0.26
2016-12-06,-7.57,-7.57,-7.57,-0.05
2016-12-07,12.86,12.86,12.86,0.72
2016-12-08,3.33,3.33,3.33,-0.31
2016-12-09,-27.88,-27.88,-27.88,1.02
2016-12-12,27.28,-27.27,13.14,-0.1
2016-12-13,-14.4,-14.4,-14.4,-0.14
2016-12-14,5.31,5.31,5.31,-0.55
2016-12-15,-1.14,-1.14,-1.14,0.34
2016-12-16,-9.56,-9.56,-9.56,0.19
2016-12-19,40.81,-6.25,17.77,-0.07
2016-12-20,-36.61,-36.61,-36.61,-0.01
2016-12-21,3.73,3.73,3.73,-0.09
2016-12-22,5.8,5.8,5.8,-0.02
2016-12-23,-11.11,-11.11,-11.11,0.05
2016-12-27,23.01,-1.43,25.93,0.01
2016-12-28,-28.57,-28.57,-28.57,-0.22
2016-12-29,19.23,19.23,19.23,0.21
2016-12-30,-19.23,-19.23,-19.23,-0.14
2017-01-03,5.56,-24.44,8.06,0.34
2017-01-04,-2.23,-2.23,-2.23,-0.15
2017-01-05,32.38,32.38,32.38,0.1
2017-01-06,3.18,3.18,3.18,-0.01
2017-01-09,-42.74,-53.85,-33.48,-0.42
2017-01-10,6.79,6.79,6.79,-0.28
2017-01-11,-12.94,-12.94,-12.94,0.01
2017-01-12,2.86,2.86,2.86,-0.1
2017-01-13,-22.86,-22.86,-22.86,-0.07
2017-01-17,58.57,18.57,11.35,0.34
2017-01-18,21.43,21.43,21.43,0.07
2017-01-19,-63.64,-63.64,-63.64,-0.15
2017-01-20,13.64,13.64,13.64,0.18
2017-01-23,50.0,0.0,16.67,0.11
2017-01-24,-50.0,-50.0,-50.0,0.47
2017-01-25,40.91,40.91,40.91,0.22
2017-01-26,-53.41,-53.41,-53.41,-0.31
2017-01-27,33.93,33.93,33.93,-0.36
2017-01-30,8.57,5.0,4.52,-0.07
2017-01-31,5.71,5.71,5.71,0.19
2017-02-01,-14.28,-14.28,-14.28,-0.31
2017-02-02,10.39,10.39,10.39,0.14
2017-02-03,18.18,18.18,18.18,0.14
2017-02-06,-50.0,-20.0,-21.82,0.02
2017-02-07,33.33,33.33,33.33,0.34
2017-02-08,-44.44,-44.44,-44.44,0.12
2017-02-09,13.96,13.96,13.96,-0.77
2017-02-10,21.22,21.22,21.22,-0.67
2017-02-13,-0.9,-18.5,-0.03,0.04
2017-02-14,1.12,1.12,1.12,-0.09
2017-02-15,-6.0,-6.0,-6.0,-0.09
2017-02-16,20.6,20.6,20.6,0.76
2017-02-17,-16.89,-16.89,-16.89,0.03
2017-02-21,21.55,-6.45,6.8,0.23
2017-02-22,-0.96,-0.96,-0.96,0.14
2017-02-23,-12.16,-12.16,-12.16,0.06
2017-02-24,15.02,15.02,15.02,0.12
2017-02-27,-35.45,-40.0,-28.48,-0.11
2017-02-28,15.0,15.0,15.0,0.29
2017-03-01,-15.0,-15.0,-15.0,0.2
2017-03-02,16.47,16.47,16.47,0.31
2017-03-03,6.86,6.86,6.86,0.01
2017-03-06,-14.1,-5.77,-8.55,-0.3
2017-03-07,-26.37,-26.37,-26.37,-0.19
2017-03-08,40.47,40.47,40.47,0.0
2017-03-09,-5.55,-5.55,-5.55,0.04
2017-03-10,-14.62,-14.62,-14.62,0.26
2017-03-13,8.27,-28.57,-16.29,-0.26
2017-03-14,-7.79,-7.79,-7.79,-0.06
2017-03-15,-13.64,-13.64,-13.64,0.15
2017-03-16,25.0,25.0,25.0,0.13
2017-03-17,-17.86,-17.86,-17.86,-0.22
2017-03-20,22.86,5.0,19.29,0.15
2017-03-21,-13.33,-13.33,-13.33,0.32
2017-03-22,-12.12,-12.12,-12.12,-0.12
2017-03-23,45.45,45.45,45.45,-0.21
2017-03-24,-22.22,-22.22,-22.22,-0.05
2017-03-27,5.55,-16.67,-9.26,0.2
2017-03-28,-20.83,-20.83,-20.83,0.11
2017-03-29,12.5,12.5,12.5,-0.01
2017-03-30,8.33,8.33,8.33,0.18
2017-03-31,0.0,0.0,0.0,-0.16
2017-04-03,-16.66,-8.33,-19.44,-0.03
2017-04-04,0.0,0.0,0.0,0.27
