Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-7.78,-7.78,-7.78,-77.46
2016-11-03,7.41,7.41,7.41,-28.97
2016-11-04,3.95,3.95,3.95,-42.39
2016-11-07,5.0,-5.43,-4.45,371.32
2016-11-08,0.86,0.86,0.86,73.14
2016-11-09,0.79,0.79,0.79,256.95
2016-11-10,8.72,8.72,8.72,218.19
2016-11-11,-9.28,-9.28,-9.28,39.78
2016-11-14,17.81,8.9,14.45,21.03
2016-11-15,-1.79,-1.79,-1.79,54.37
2016-11-16,-22.47,-22.47,-22.47,-54.92
2016-11-17,4.98,4.98,4.98,35.68
2016-11-18,-6.62,-6.62,-6.62,-35.89
2016-11-21,11.58,-3.75,4.14,88.76
2016-11-22,10.42,10.42,10.42,67.18
2016-11-23,-3.95,-3.95,-3.95,59.31
2016-11-25,-12.97,1.34,-5.81,68.96
2016-11-28,-6.66,-16.91,-7.94,-54.24
2016-11-29,16.34,16.34,16.34,23.7
2016-11-30,-7.0,-7.0,-7.0,1.98
2016-12-01,1.16,1.16,1.16,68.35
2016-12-02,-6.55,-6.55,-6.55,-21.51
2016-12-05,14.06,27.29,13.5,45.82
2016-12-06,-15.38,-15.38,-15.38,35.54
2016-12-07,22.22,22.22,22.22,297.84
2016-12-08,-15.01,-15.01,-15.01,65.19
2016-12-09,-7.57,-7.57,-7.57,142.04
2016-12-12,12.89,-4.13,7.79,39.58
2016-12-13,1.33,1.33,1.33,114.78
2016-12-14,-8.15,-8.15,-8.15,-118.68
2016-12-15,-0.95,-0.95,-0.95,59.71
2016-12-16,7.52,7.52,7.52,-8.83
2016-12-19,-6.33,1.19,-4.16,39.65
2016-12-20,5.23,5.23,5.23,91.56
2016-12-21,-5.39,-5.39,-5.39,-32.66
2016-12-22,-0.62,-0.62,-0.62,-23.08
2016-12-23,0.78,0.78,0.78,14.93
2016-12-27,1.44,19.77,5.56,11.23
2016-12-28,-0.76,-0.76,-0.76,-111.36
2016-12-29,-11.02,-11.02,-11.02,-13.9
2016-12-30,8.28,8.28,8.28,-57.18
2017-01-03,-0.04,7.75,-14.56,119.16
2017-01-04,-0.81,-0.81,-0.81,60.4
2017-01-05,0.13,0.13,0.13,-42.87
2017-01-06,5.64,5.64,5.64,64.51
2017-01-09,-2.15,-2.41,-1.89,-76.42
2017-01-10,-2.71,-2.71,-2.71,-31.85
2017-01-11,4.06,4.06,4.06,98.75
2017-01-12,-4.03,-4.03,-4.03,-63.28
2017-01-13,-4.93,-4.93,-4.93,-5.27
2017-01-17,-4.54,-3.83,-2.72,-58.96
2017-01-18,5.01,5.01,5.01,-22.05
2017-01-19,-7.54,-7.54,-7.54,-72.32
2017-01-20,10.52,10.52,10.52,94.85
2017-01-23,-4.88,1.96,-3.42,-27.4
2017-01-24,4.81,4.81,4.81,112.86
2017-01-25,22.43,22.43,22.43,155.8
