Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-2.6,-2.6,-2.6,-0.37
2016-11-03,-7.6,-7.6,-7.6,-0.22
2016-11-04,7.66,7.66,7.66,-0.5
2016-11-07,8.7,8.32,5.07,1.71
2016-11-08,-3.67,-3.67,-3.67,0.05
2016-11-09,5.49,5.49,5.49,-0.3
2016-11-10,-7.98,-7.98,-7.98,-1.47
2016-11-11,-4.21,-4.21,-4.21,0.32
2016-11-14,2.31,-4.68,-1.99,-0.9
2016-11-15,8.01,8.01,8.01,0.75
2016-11-16,-0.8,-0.8,-0.8,0.78
2016-11-17,-5.44,-5.44,-5.44,0.99
2016-11-18,9.39,9.39,9.39,-0.29
2016-11-21,7.81,5.56,6.04,0.51
2016-11-22,-13.64,-13.64,-13.64,0.26
2016-11-23,7.87,7.87,7.87,-0.72
2016-11-25,-13.15,-5.88,-9.52,0.13
2016-11-28,7.96,16.82,10.4,0.08
2016-11-29,0.43,0.43,0.43,0.48
2016-11-30,-5.05,-5.05,-5.05,-0.83
2016-12-01,7.71,7.71,7.71,-1.06
2016-12-02,1.62,1.62,1.62,0.05
2016-12-05,-10.0,-6.25,-9.17,0.97
2016-12-06,3.26,3.26,3.26,-0.27
2016-12-07,4.56,4.56,4.56,1.42
2016-12-08,2.41,2.41,2.41,-0.36
2016-12-09,-5.68,-5.68,-5.68,0.96
2016-12-12,3.37,-8.33,-2.05,0.2
2016-12-13,-5.46,-5.46,-5.46,0.81
2016-12-14,-1.91,-1.91,-1.91,-0.3
2016-12-15,1.41,1.41,1.41,-0.1
2016-12-16,-2.85,-2.85,-2.85,-0.28
2016-12-19,12.32,5.71,5.99,1.32
2016-12-20,-2.76,-2.76,-2.76,-0.08
2016-12-21,-5.75,-5.75,-5.75,0.0
2016-12-22,5.13,5.13,5.13,0.01
2016-12-23,-0.13,-0.13,-0.13,-0.31
2016-12-27,-6.22,-14.55,-10.19,0.04
2016-12-28,-0.08,-0.08,-0.08,-0.29
2016-12-29,0.34,0.34,0.34,-0.09
2016-12-30,3.95,3.95,3.95,-0.76
2017-01-03,-5.94,-8.28,-5.98,0.44
2017-01-04,6.76,6.76,6.76,-0.28
2017-01-05,5.95,5.95,5.95,0.0
2017-01-06,-7.54,-7.54,-7.54,0.54
2017-01-09,-1.17,-12.28,-2.23,-0.2
2017-01-10,-0.54,-0.54,-0.54,-0.02
2017-01-11,0.7,0.7,0.7,0.57
2017-01-12,-2.43,-2.43,-2.43,-0.58
2017-01-13,5.03,5.03,5.03,0.09
2017-01-17,0.43,-4.74,-2.75,-0.17
2017-01-18,2.71,2.71,2.71,-0.03
2017-01-19,0.26,0.26,0.26,-0.2
2017-01-20,0.17,0.17,0.17,0.44
2017-01-23,2.38,0.0,-0.4,0.22
2017-01-24,-1.56,-1.56,-1.56,0.56
2017-01-25,-2.37,-2.37,-2.37,0.16
2017-01-26,-7.22,-7.22,-7.22,0.59
2017-01-27,4.03,4.03,4.03,1.51
2017-01-30,-3.1,-4.27,-5.2,-0.65
2017-01-31,-2.12,-2.12,-2.12,-0.48
2017-02-01,0.38,0.38,0.38,-1.07
2017-02-02,-3.15,-3.15,-3.15,-0.41
2017-02-03,11.54,11.54,11.54,0.51
2017-02-06,-2.86,11.05,4.95,-0.04
2017-02-07,-3.46,-3.46,-3.46,-0.21
2017-02-08,8.54,8.54,8.54,-0.09
2017-02-09,-8.66,-8.66,-8.66,0.72
2017-02-10,1.51,1.51,1.51,-0.06
