Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,1.58,1.58,1.58,0.24
2016-11-03,5.77,5.77,5.77,0.4
2016-11-04,-12.12,-12.12,-12.12,0.52
2016-11-07,7.29,-20.21,-3.47,0.78
2016-11-08,-4.79,-4.79,-4.79,-0.08
2016-11-09,-0.31,-0.31,-0.31,1.55
2016-11-10,1.73,1.73,1.73,0.17
2016-11-11,20.95,20.95,20.95,-0.66
2016-11-14,7.18,17.05,19.59,-1.71
2016-11-15,6.74,6.74,6.74,-0.25
2016-11-16,-26.67,-26.67,-26.67,0.23
2016-11-17,-10.38,-10.38,-10.38,0.15
2016-11-18,24.41,24.41,24.41,0.99
2016-11-21,2.57,29.0,-5.74,0.12
2016-11-22,-15.51,-15.51,-15.51,-0.39
2016-11-23,10.12,10.12,10.12,-0.24
2016-11-25,-2.08,18.75,8.34,0.35
2016-11-28,-5.65,-61.9,-9.48,-1.11
2016-11-29,-6.1,-6.1,-6.1,0.39
2016-11-30,-6.29,-6.29,-6.29,-0.88
2016-12-01,-9.49,-9.49,-9.49,-0.54
2016-12-02,12.35,12.35,12.35,0.33
2016-12-05,-2.1,-13.53,-1.94,0.98
2016-12-06,8.82,8.82,8.82,1.66
2016-12-07,-9.58,-9.58,-9.58,1.09
2016-12-08,3.46,3.46,3.46,0.16
2016-12-09,-1.58,-1.58,-1.58,0.85
2016-12-12,22.41,0.0,7.47,0.17
2016-12-13,5.56,5.56,5.56,0.47
2016-12-14,-29.63,-29.63,-29.63,-1.0
2016-12-15,6.07,6.07,6.07,0.35
2016-12-16,1.33,1.33,1.33,-0.55
2016-12-19,-3.92,-20.59,1.63,-0.36
2016-12-20,17.26,17.26,17.26,0.31
2016-12-21,-35.8,-35.8,-35.8,-0.52
2016-12-22,-6.87,-6.87,-6.87,-0.28
2016-12-23,18.22,18.22,18.22,-0.04
2016-12-27,3.97,26.19,-4.11,0.36
2016-12-28,-10.67,-10.67,-10.67,-0.19
2016-12-29,-3.02,-3.02,-3.02,-0.33
2016-12-30,6.94,6.94,6.94,0.11
2017-01-03,-8.33,-5.56,-11.8,-0.44
2017-01-04,8.89,8.89,8.89,1.04
2017-01-05,10.0,10.0,10.0,-0.08
2017-01-06,18.15,18.15,18.15,0.82
2017-01-09,4.79,-47.06,-1.21,-0.69
2017-01-10,-21.12,-21.12,-21.12,-0.57
2017-01-11,-2.03,-2.03,-2.03,0.52
2017-01-12,-14.1,-14.1,-14.1,-0.32
2017-01-13,1.96,1.96,1.96,0.31
2017-01-17,-11.53,-10.55,-22.7,-0.72
2017-01-18,30.92,30.92,30.92,0.26
2017-01-19,-25.14,-25.14,-25.14,-0.19
2017-01-20,-1.9,-1.9,-1.9,0.3
2017-01-23,5.79,-17.54,1.35,-0.04
2017-01-24,21.42,21.42,21.42,0.63
2017-01-25,9.46,9.46,9.46,0.39
2017-01-26,-7.65,-7.65,-7.65,0.49
2017-01-27,-7.02,-7.02,-7.02,-0.47
2017-01-30,-8.19,13.81,9.81,-0.18
2017-01-31,0.0,0.0,0.0,2.36
2017-02-01,3.46,3.46,3.46,0.21
2017-02-02,-1.34,-1.34,-1.34,-0.08
2017-02-03,0.16,0.16,0.16,-0.33
2017-02-06,5.91,-4.36,7.02,-0.6
2017-02-07,-7.76,-7.76,-7.76,-0.38
2017-02-08,12.12,12.12,12.12,-0.48
2017-02-09,5.95,5.95,5.95,0.22
2017-02-10,-12.01,-12.01,-12.01,0.67
2017-02-13,12.98,26.61,18.1,0.93
2017-02-14,5.0,5.0,5.0,0.08
2017-02-15,-6.42,-6.42,-6.42,0.47
2017-02-16,-2.84,-2.84,-2.84,0.09
2017-02-17,6.43,6.43,6.43,0.17
2017-02-21,-14.68,5.77,-2.12,-0.14
2017-02-22,24.4,24.4,24.4,-0.13
2017-02-23,-18.33,-18.33,-18.33,0.21
2017-02-24,12.18,12.18,12.18,0.0
2017-02-27,-3.86,8.8,13.0,-0.3
2017-02-28,-14.39,-14.39,-14.39,-0.04
2017-03-01,7.87,7.87,7.87,1.07
2017-03-02,-8.08,-8.08,-8.08,-0.93
2017-03-03,6.48,6.48,6.48,-0.16
2017-03-06,-1.33,-1.79,-3.42,0.27
2017-03-07,-21.42,-21.42,-21.42,-0.43
2017-03-08,46.82,46.82,46.82,-0.2
2017-03-09,-19.93,-19.93,-19.93,0.35
2017-03-10,-1.79,-1.79,-1.79,-0.12
2017-03-13,-8.62,18.27,-3.19,-0.18
2017-03-14,-1.14,-1.14,-1.14,-0.07
2017-03-15,14.12,14.12,14.12,0.11
2017-03-16,-2.08,-2.08,-2.08,0.34
2017-03-17,4.76,4.76,4.76,-0.28
2017-03-20,-14.17,32.26,13.45,-0.11
2017-03-21,-14.48,-14.48,-14.48,-1.03
2017-03-22,6.22,6.22,6.22,-0.04
2017-03-23,-14.32,-14.32,-14.32,0.03
2017-03-24,30.8,30.8,30.8,0.12
2017-03-27,0.06,40.54,27.05,-0.84
2017-03-28,-18.32,-18.32,-18.32,0.13
2017-03-29,13.78,13.78,13.78,-0.47
2017-03-30,-4.97,-4.97,-4.97,0.72
2017-03-31,16.8,16.8,16.8,0.06
2017-04-03,-6.8,29.92,0.55,-0.54
2017-04-04,0.35,0.35,0.35,-0.28
2017-04-05,-15.06,-15.06,-15.06,0.46
2017-04-06,-14.89,-14.89,-14.89,0.04
2017-04-07,26.07,26.07,26.07,0.09
2017-04-10,3.12,18.4,20.71,0.14
2017-04-11,-0.62,-0.62,-0.62,-0.36
2017-04-12,-3.16,-3.16,-3.16,-0.32
2017-04-13,-4.7,-4.7,-4.7,-0.57
2017-04-17,1.19,16.66,14.88,0.97
2017-04-18,-20.43,-20.43,-20.43,0.02
2017-04-19,2.48,2.48,2.48,0.07
2017-04-20,13.19,13.19,13.19,0.95
2017-04-21,-17.46,-17.46,-17.46,-0.21
2017-04-24,35.95,35.95,39.65,0.54
2017-04-25,-2.28,-2.28,-2.28,0.08
2017-04-26,-24.78,-24.78,-24.78,-0.99
2017-04-27,26.43,26.43,26.43,-0.87
2017-04-28,-16.8,-16.8,-16.8,0.2
