Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-4.39,-4.39,-4.39,-0.96
2016-11-03,2.63,2.63,2.63,-0.2
2016-11-04,6.88,6.88,6.88,-0.11
2016-11-07,0.76,-1.26,-8.21,2.55
2016-11-08,-5.88,-5.88,-5.88,-0.24
2016-11-09,-2.23,-2.23,-2.23,-2.15
2016-11-10,9.03,9.03,9.03,-6.77
2016-11-11,-0.99,-0.99,-0.99,-0.64
2016-11-14,5.08,-15.58,-5.0,-1.4
2016-11-15,-2.16,-2.16,-2.16,0.21
2016-11-16,-5.65,-5.65,-5.65,1.6
2016-11-17,16.07,16.07,16.07,-0.16
2016-11-18,5.85,5.85,5.85,0.18
2016-11-21,1.62,3.29,-0.6,2.75
2016-11-22,-5.32,-5.32,-5.32,0.08
2016-11-23,-14.34,-14.34,-14.34,-0.35
2016-11-25,0.93,4.04,2.48,-0.28
2016-11-28,4.46,-13.84,-3.03,-0.48
2016-11-29,6.62,6.62,6.62,0.58
2016-11-30,1.86,1.86,1.86,-0.51
2016-12-01,-8.98,-8.98,-8.98,0.22
2016-12-02,5.94,5.94,5.94,3.59
2016-12-05,-3.17,-21.09,-10.12,-1.65
2016-12-06,4.47,4.47,4.47,5.41
2016-12-07,2.51,2.51,2.51,0.82
2016-12-08,-9.4,-9.4,-9.4,-2.15
2016-12-09,0.7,0.7,0.7,-0.36
2016-12-12,7.21,0.11,-3.18,-0.05
2016-12-13,0.07,0.07,0.07,0.95
2016-12-14,-12.6,-12.6,-12.6,-0.34
2016-12-15,7.59,7.59,7.59,1.56
2016-12-16,-8.74,-8.74,-8.74,-0.78
2016-12-19,5.99,-16.75,-4.62,1.23
2016-12-20,-5.48,-5.48,-5.48,-0.33
2016-12-21,-1.54,-1.54,-1.54,1.38
2016-12-22,6.05,6.05,6.05,-0.92
2016-12-23,-9.98,-9.98,-9.98,0.01
2016-12-27,9.75,-19.73,-9.01,2.76
2016-12-28,-8.79,-8.79,-8.79,-2.46
2016-12-29,-0.43,-0.43,-0.43,-0.56
2016-12-30,0.25,0.25,0.25,-1.53
2017-01-03,10.91,-12.7,-4.23,3.69
2017-01-04,-1.52,-1.52,-1.52,1.92
2017-01-05,-0.32,-0.32,-0.32,2.4
2017-01-06,9.17,9.17,9.17,-0.74
2017-01-09,-8.68,-28.51,-15.03,-0.12
2017-01-10,-9.4,-9.4,-9.4,-1.06
2017-01-11,5.87,5.87,5.87,0.61
2017-01-12,6.69,6.69,6.69,-1.32
2017-01-13,1.49,1.49,1.49,4.52
2017-01-17,6.95,-5.38,-1.97,-0.81
2017-01-18,-0.35,-0.35,-0.35,0.37
2017-01-19,-8.25,-8.25,-8.25,5.15
2017-01-20,-13.22,-13.22,-13.22,0.19
2017-01-23,-3.87,-32.93,-16.15,-1.21
2017-01-24,18.5,18.5,18.5,2.72
2017-01-25,-4.68,-4.68,-4.68,-0.59
2017-01-26,-9.27,-9.27,-9.27,-0.56
2017-01-27,21.88,21.88,21.88,3.49
2017-01-30,-17.95,-11.24,-17.66,-1.23
2017-01-31,-4.77,-4.77,-4.77,-0.51
2017-02-01,11.53,11.53,11.53,0.07
