Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,5.09,5.09,5.09,0.1
2016-11-03,-9.29,-9.29,-9.29,0.01
2016-11-04,-5.8,-5.8,-5.8,0.23
2016-11-07,27.12,-14.78,2.52,0.95
2016-11-08,-25.22,-25.22,-25.22,0.17
2016-11-09,14.55,14.55,14.55,0.04
2016-11-10,-18.84,-18.84,-18.84,-0.73
2016-11-11,39.29,39.29,39.29,0.38
2016-11-14,-32.14,-57.14,-48.81,-0.56
2016-11-15,15.76,15.76,15.76,-0.08
2016-11-16,-11.25,-11.25,-11.25,0.55
2016-11-17,19.3,19.3,19.3,0.91
2016-11-18,-19.3,-19.3,-19.3,-0.49
2016-11-21,11.72,5.24,3.13,0.18
2016-11-22,10.91,10.91,10.91,0.43
2016-11-23,5.0,5.0,5.0,-0.37
2016-11-25,1.47,5.04,3.25,0.18
2016-11-28,-32.99,-44.02,-27.84,-0.51
2016-11-29,-8.0,-8.0,-8.0,-0.38
2016-11-30,26.28,26.28,26.28,-0.56
2016-12-01,-20.3,-20.3,-20.3,0.58
2016-12-02,10.54,10.54,10.54,-0.19
2016-12-05,5.58,-25.75,-0.86,1.39
2016-12-06,-1.46,-1.46,-1.46,-1.28
2016-12-07,-4.33,-4.33,-4.33,1.53
2016-12-08,7.78,7.78,7.78,-0.55
2016-12-09,-15.57,-15.57,-15.57,0.17
2016-12-12,18.79,-26.1,-6.51,-0.18
2016-12-13,-0.72,-0.72,-0.72,0.76
2016-12-14,16.65,16.65,16.65,-0.51
2016-12-15,-2.12,-2.12,-2.12,-0.5
2016-12-16,-2.13,-2.13,-2.13,-0.37
2016-12-19,-6.84,-17.56,-11.61,-0.07
2016-12-20,-13.5,-13.5,-13.5,0.94
2016-12-21,-1.72,-1.72,-1.72,0.51
2016-12-22,-6.58,-6.58,-6.58,-0.16
2016-12-23,-1.64,-1.64,-1.64,-0.23
2016-12-27,8.54,-20.6,-19.98,-0.62
2016-12-28,0.6,0.6,0.6,-0.27
2016-12-29,14.17,14.17,14.17,0.04
2016-12-30,-19.77,-19.77,-19.77,-0.23
2017-01-03,18.31,-0.63,0.01,1.15
2017-01-04,-4.28,-4.28,-4.28,1.09
2017-01-05,-24.26,-24.26,-24.26,-0.01
2017-01-06,35.05,35.05,35.05,0.85
2017-01-09,-26.72,-11.31,-21.21,-0.53
2017-01-10,22.59,22.59,22.59,-0.27
2017-01-11,-20.42,-20.42,-20.42,-0.42
2017-01-12,-3.56,-3.56,-3.56,-0.29
2017-01-13,13.45,13.45,13.45,0.52
2017-01-17,-10.67,-34.03,-28.4,0.73
2017-01-18,2.78,2.78,2.78,-0.38
2017-01-19,-8.06,-8.06,-8.06,-0.34
2017-01-20,12.61,12.61,12.61,0.27
2017-01-23,27.8,2.35,15.28,0.04
2017-01-24,-28.5,-28.5,-28.5,0.21
2017-01-25,3.84,3.84,3.84,0.41
2017-01-26,-19.23,-19.23,-19.23,-0.21
2017-01-27,14.48,14.48,14.48,-0.46
2017-01-30,9.92,-12.14,-6.45,-0.11
2017-01-31,-32.99,-32.99,-32.99,-0.18
2017-02-01,11.99,11.99,11.99,0.12
2017-02-02,-6.86,-6.86,-6.86,-0.22
2017-02-03,1.0,1.0,1.0,-0.44
2017-02-06,42.57,11.9,22.12,0.44
2017-02-07,-28.57,-28.57,-28.57,0.01
2017-02-08,7.69,7.69,7.69,1.07
2017-02-09,7.59,7.59,7.59,1.43
2017-02-10,1.39,1.39,1.39,0.91
2017-02-13,7.01,7.01,-4.1,-0.13
2017-02-14,-18.12,-18.12,-18.12,0.36
2017-02-15,-2.62,-2.62,-2.62,0.19
2017-02-16,13.73,13.73,13.73,-0.35
2017-02-17,12.5,12.5,12.5,0.46
2017-02-21,2.31,1.48,2.11,0.61
2017-02-22,-5.16,-5.16,-5.16,0.88
2017-02-23,-2.41,-2.41,-2.41,-0.85
2017-02-24,-1.18,-1.18,-1.18,0.47
2017-02-27,-22.73,10.0,-20.91,-0.17
2017-02-28,5.56,5.56,5.56,-0.53
2017-03-01,-0.56,-0.56,-0.56,0.79
2017-03-02,26.25,26.25,26.25,-0.15
2017-03-03,-23.36,-23.36,-23.36,-1.1
2017-03-06,2.11,-11.43,-3.94,0.07
2017-03-07,-36.92,-36.92,-36.92,-0.22
2017-03-08,11.13,11.13,11.13,-0.04
2017-03-09,0.79,0.79,0.79,-0.15
2017-03-10,35.0,35.0,35.0,0.07
2017-03-13,5.0,-1.92,0.39,0.24
2017-03-14,-11.36,-11.36,-11.36,0.61
2017-03-15,4.78,4.78,4.78,0.38
2017-03-16,6.58,6.58,6.58,-0.06
2017-03-17,6.08,6.08,6.08,0.2
2017-03-20,-13.22,-21.03,-17.58,0.88
2017-03-21,-22.61,-22.61,-22.61,-0.67
2017-03-22,-14.06,-14.06,-14.06,-4.09
2017-03-23,17.05,17.05,17.05,1.45
2017-03-24,15.03,15.03,15.03,0.99
2017-03-27,-33.86,-8.09,-17.51,-0.43
2017-03-28,10.59,10.59,10.59,0.69
2017-03-29,-4.71,-4.71,-4.71,0.06
2017-03-30,8.3,8.3,8.3,-0.64
2017-03-31,29.74,29.74,29.74,-0.31
2017-04-03,-30.47,-42.85,-26.82,-0.17
2017-04-04,-5.36,-5.36,-5.36,-0.52
2017-04-05,3.68,3.68,3.68,-0.06
2017-04-06,11.2,11.2,11.2,0.16
2017-04-07,-6.93,-6.93,-6.93,-0.03
2017-04-10,27.88,73.33,24.85,-0.21
2017-04-11,-40.0,-40.0,-40.0,0.02
2017-04-12,43.14,43.14,43.14,0.65
2017-04-13,11.03,11.03,11.03,-0.23
2017-04-17,-23.21,14.29,-20.08,0.9
2017-04-18,-1.79,-1.79,-1.79,-0.13
2017-04-19,-20.39,-20.39,-20.39,-0.25
2017-04-20,4.04,4.04,4.04,0.54
2017-04-21,20.52,20.52,20.52,-0.55
2017-04-24,-4.17,12.5,4.56,-0.38
2017-04-25,10.23,10.23,10.23,-0.02
2017-04-26,-26.58,-26.58,-26.58,-0.29
2017-04-27,7.7,7.7,7.7,0.31
2017-04-28,-20.52,-20.52,-20.52,-0.06
