Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-3.21,-3.21,-3.21,-13.78
2016-11-03,6.48,6.48,6.48,-9.28
2016-11-04,-0.82,-0.82,-0.82,-3.48
2016-11-07,4.57,0.26,0.26,46.34
2016-11-08,1.82,1.82,1.82,8.04
2016-11-09,-4.52,-4.52,-4.52,23.7
2016-11-10,1.13,1.13,1.13,4.22
2016-11-11,1.36,1.36,1.36,-3.03
2016-11-14,-1.02,6.07,-0.8,-0.25
2016-11-15,1.04,1.04,1.04,16.19
2016-11-16,-0.27,-0.27,-0.27,-3.45
2016-11-17,0.26,0.26,0.26,10.18
2016-11-18,-7.64,-7.64,-7.64,-5.22
2016-11-21,16.98,-2.4,4.33,16.28
2016-11-22,-8.27,-8.27,-8.27,4.76
2016-11-23,4.24,4.24,4.24,1.78
2016-11-25,-6.89,-0.7,-3.8,8.63
2016-11-28,1.99,-11.39,-4.98,-11.63
2016-11-29,7.16,7.16,7.16,2.94
2016-11-30,1.51,1.51,1.51,-5.85
2016-12-01,-9.68,-9.68,-9.68,-7.73
2016-12-02,-2.01,-2.01,-2.01,0.87
2016-12-05,11.08,-5.81,5.95,12.76
2016-12-06,-3.55,-3.55,-3.55,7.52
2016-12-07,5.85,5.85,5.85,29.12
2016-12-08,-9.45,-9.45,-9.45,4.84
2016-12-09,8.97,8.97,8.97,13.34
2016-12-12,-0.8,-10.24,-0.23,-2.57
2016-12-13,-10.69,-10.69,-10.69,14.76
2016-12-14,0.42,0.42,0.42,-18.44
2016-12-15,-3.69,-3.69,-3.69,8.75
2016-12-16,5.59,5.59,5.59,-3.96
2016-12-19,0.33,2.81,1.89,4.46
2016-12-20,7.38,7.38,7.38,8.23
2016-12-21,-5.32,-5.32,-5.32,-5.58
2016-12-22,3.43,3.43,3.43,-4.22
2016-12-23,-6.68,-6.68,-6.68,2.83
2016-12-27,17.0,8.29,12.5,5.09
2016-12-28,-15.15,-15.15,-15.15,-18.96
2016-12-29,-2.95,-2.95,-2.95,-0.66
2016-12-30,-8.16,-8.16,-8.16,-10.43
2017-01-03,10.96,12.24,7.04,19.0
2017-01-04,9.28,9.28,9.28,12.92
2017-01-05,-2.15,-2.15,-2.15,-1.75
2017-01-06,-1.88,-1.88,-1.88,7.98
2017-01-09,-2.85,-1.58,-2.45,-8.08
2017-01-10,1.58,1.58,1.58,0.0
2017-01-11,2.59,2.59,2.59,6.42
2017-01-12,-5.43,-5.43,-5.43,-4.88
2017-01-13,1.84,1.84,1.84,4.2
2017-01-17,4.92,6.16,10.14,-6.75
2017-01-18,-12.99,-12.99,-12.99,4.0
2017-01-19,-6.23,-6.23,-6.23,-8.2
2017-01-20,20.73,20.73,20.73,7.62
2017-01-23,-5.43,-3.57,-0.83,-6.11
2017-01-24,-2.98,-2.98,-2.98,14.87
2017-01-25,14.22,14.22,14.22,18.3
2017-01-26,-10.64,-10.64,-10.64,-1.69
2017-01-27,-9.51,-9.51,-9.51,-1.99
2017-01-30,9.52,-6.29,2.67,-13.79
2017-01-31,-3.82,-3.82,-3.82,-2.03
2017-02-01,-0.5,-0.5,-0.5,0.68
2017-02-02,1.19,1.19,1.19,1.3
2017-02-03,-7.63,-7.63,-7.63,16.57
