Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,1.46,1.46,1.46,-2.77
2016-11-03,-0.66,-0.66,-0.66,-0.6
2016-11-04,3.42,3.42,3.42,3.14
2016-11-07,12.55,-1.6,6.24,2.65
2016-11-08,8.51,8.51,8.51,1.73
2016-11-09,-12.95,-12.95,-12.95,-4.88
2016-11-10,3.45,3.45,3.45,-4.71
2016-11-11,5.65,5.65,5.65,3.21
2016-11-14,-8.94,-12.53,-6.15,-7.11
2016-11-15,4.48,4.48,4.48,2.32
2016-11-16,1.22,1.22,1.22,0.16
2016-11-17,0.73,0.73,0.73,4.73
2016-11-18,-10.0,-10.0,-10.0,-3.64
2016-11-21,4.88,4.81,4.19,-0.5
2016-11-22,8.51,8.51,8.51,6.65
2016-11-23,-1.34,-1.34,-1.34,1.97
2016-11-25,-7.43,-14.52,-10.97,3.51
2016-11-28,-0.91,-16.81,-7.85,-0.53
2016-11-29,-7.21,-7.21,-7.21,-6.55
2016-11-30,1.71,1.71,1.71,-0.17
2016-12-01,-8.24,-8.24,-8.24,-7.52
2016-12-02,6.38,6.38,6.38,-0.41
2016-12-05,12.64,12.61,11.68,5.33
2016-12-06,-0.1,-0.1,-0.1,-0.95
2016-12-07,5.82,5.82,5.82,7.3
2016-12-08,-12.89,-12.89,-12.89,-0.86
2016-12-09,5.07,5.07,5.07,-0.11
2016-12-12,-6.05,3.82,-4.01,0.25
2016-12-13,14.75,14.75,14.75,5.72
2016-12-14,8.98,8.98,8.98,0.54
2016-12-15,-17.85,-17.85,-17.85,-1.11
2016-12-16,13.72,13.72,13.72,4.91
2016-12-19,-2.35,5.52,0.76,0.24
2016-12-20,1.9,1.9,1.9,6.06
2016-12-21,-9.36,-9.36,-9.36,-1.09
2016-12-22,-5.95,-5.95,-5.95,0.75
2016-12-23,16.78,16.78,16.78,4.89
2016-12-27,-10.24,2.82,-1.79,6.19
2016-12-28,4.28,4.28,4.28,0.21
2016-12-29,-15.04,-15.04,-15.04,-5.06
2016-12-30,-6.47,-6.47,-6.47,-0.99
2017-01-03,7.02,-10.13,-8.29,3.3
2017-01-04,8.17,8.17,8.17,10.0
2017-01-05,-7.37,-7.37,-7.37,-0.24
2017-01-06,24.36,24.36,24.36,2.26
2017-01-09,-12.99,13.42,0.4,2.27
2017-01-10,-7.18,-7.18,-7.18,-1.41
2017-01-11,0.36,0.36,0.36,-0.14
2017-01-12,6.96,6.96,6.96,-0.14
2017-01-13,6.86,6.86,6.86,8.16
2017-01-17,-13.5,-13.03,-10.6,-2.17
2017-01-18,0.43,0.43,0.43,2.78
2017-01-19,0.64,0.64,0.64,5.4
2017-01-20,9.03,9.03,9.03,0.97
2017-01-23,-5.28,5.18,-3.58,4.19
2017-01-24,0.62,0.62,0.62,5.69
2017-01-25,0.86,0.86,0.86,-0.14
2017-01-26,-1.63,-1.63,-1.63,-1.96
2017-01-27,-14.78,-14.78,-14.78,0.44
2017-01-30,8.98,-14.26,1.58,-2.32
2017-01-31,8.88,8.88,8.88,1.3
2017-02-01,-4.33,-4.33,-4.33,-2.69
2017-02-02,7.45,7.45,7.45,2.31
2017-02-03,7.92,7.92,7.92,-0.22
2017-02-06,-13.3,-1.2,-9.13,6.44
2017-02-07,-1.36,-1.36,-1.36,-0.29
2017-02-08,5.91,5.91,5.91,4.6
2017-02-09,-2.31,-2.31,-2.31,7.12
2017-02-10,-2.41,-2.41,-2.41,0.03
2017-02-13,3.78,15.39,8.09,11.37
2017-02-14,-8.07,-8.07,-8.07,0.38
2017-02-15,-1.38,-1.38,-1.38,-1.22
2017-02-16,-6.62,-6.62,-6.62,-10.81
2017-02-17,5.5,5.5,5.5,3.28
2017-02-21,10.28,-1.15,2.06,5.16
2017-02-22,-14.56,-14.56,-14.56,-3.88
2017-02-23,-5.61,-5.61,-5.61,-17.52
2017-02-24,7.36,7.36,7.36,1.01
2017-02-27,-7.0,-20.57,-11.9,-10.77
2017-02-28,8.39,8.39,8.39,3.76
2017-03-01,0.2,0.2,0.2,0.03
2017-03-02,-10.44,-10.44,-10.44,0.46
2017-03-03,10.84,10.84,10.84,1.09
2017-03-06,-3.56,0.67,0.22,-0.36
2017-03-07,-9.46,-9.46,-9.46,-2.62
2017-03-08,12.37,12.37,12.37,-1.72
2017-03-09,-9.76,-9.76,-9.76,-1.97
2017-03-10,9.65,9.65,9.65,-1.21
2017-03-13,4.14,7.29,6.2,2.48
2017-03-14,0.73,0.73,0.73,11.83
2017-03-15,-1.78,-1.78,-1.78,-2.27
2017-03-16,6.77,6.77,6.77,6.32
2017-03-17,-15.39,-15.39,-15.39,-0.55
2017-03-20,6.36,-9.22,-4.73,0.42
2017-03-21,-1.42,-1.42,-1.42,-11.24
2017-03-22,2.01,2.01,2.01,4.33
2017-03-23,-1.36,-1.36,-1.36,-0.23
2017-03-24,11.7,11.7,11.7,8.38
2017-03-27,6.41,10.9,9.51,7.06
2017-03-28,-5.98,-5.98,-5.98,7.23
2017-03-29,-6.45,-6.45,-6.45,-0.07
2017-03-30,10.52,10.52,10.52,0.54
2017-03-31,-5.9,-5.9,-5.9,0.38
2017-04-03,6.67,-11.87,-6.6,20.22
2017-04-04,3.63,3.63,3.63,5.18
2017-04-05,-12.89,-12.89,-12.89,-8.7
2017-04-06,-0.58,-0.58,-0.58,3.7
2017-04-07,9.3,9.3,9.3,3.84
2017-04-10,-6.18,-9.75,-10.28,9.85
2017-04-11,-6.21,-6.21,-6.21,-3.68
2017-04-12,-5.97,-5.97,-5.97,-11.87
2017-04-13,13.08,13.08,13.08,7.16
2017-04-17,-1.1,1.36,-0.83,-2.56
2017-04-18,3.77,3.77,3.77,-1.19
2017-04-19,-0.1,-0.1,-0.1,5.27
2017-04-20,-9.55,-9.55,-9.55,-3.01
2017-04-21,7.24,7.24,7.24,3.09
2017-04-24,-0.62,12.97,3.0,2.43
2017-04-25,5.74,5.74,5.74,5.76
2017-04-26,-10.02,-10.02,-10.02,-3.62
2017-04-27,8.4,8.4,8.4,-1.54
2017-04-28,0.93,0.93,0.93,5.44
