Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-1.9,-1.9,-1.9,-77.46,0.24,-13.78
2016-11-03,1.26,1.26,1.26,-28.97,0.4,-9.28
2016-11-04,-3.19,-3.19,-3.19,-42.39,0.52,-3.48
2016-11-07,7.52,7.52,7.48,371.32,0.78,46.34
2016-11-08,-6.35,-6.35,-6.35,73.14,-0.08,8.04
2016-11-09,1.63,1.63,1.63,256.95,1.55,23.7
2016-11-10,1.41,1.41,1.41,218.19,0.17,4.22
2016-11-11,-1.08,-1.08,-1.08,39.78,-0.66,-3.03
2016-11-14,1.78,0.35,1.47,21.03,-1.71,-0.25
2016-11-15,1.16,1.16,1.16,54.37,-0.25,16.19
2016-11-16,-3.87,-3.87,-3.87,-54.92,0.23,-3.45
2016-11-17,3.63,3.63,3.63,35.68,0.15,10.18
2016-11-18,-3.61,-3.61,-3.61,-35.89,0.99,-5.22
2016-11-21,2.63,-0.43,0.06,88.76,0.12,16.28
2016-11-22,0.3,0.3,0.3,67.18,-0.39,4.76
2016-11-23,-1.57,-1.57,-1.57,59.31,-0.24,1.78
2016-11-25,5.48,2.9,4.19,68.96,0.35,8.63
2016-11-28,-4.12,0.47,-3.17,-54.24,-1.11,-11.63
2016-11-29,-0.04,-0.04,-0.04,23.7,0.39,2.94
2016-11-30,-1.88,-1.88,-1.88,1.98,-0.88,-5.85
2016-12-01,-3.01,-3.01,-3.01,68.35,-0.54,-7.73
2016-12-02,0.52,0.52,0.52,-21.51,0.33,0.87
2016-12-05,4.84,-0.55,0.75,45.82,0.98,12.76
2016-12-06,0.21,0.21,0.21,35.54,1.66,7.52
2016-12-07,-2.73,-2.73,-2.73,297.84,1.09,29.12
2016-12-08,-0.01,-0.01,-0.01,65.19,0.16,4.84
2016-12-09,2.66,2.66,2.66,142.04,0.85,13.34
2016-12-12,-3.69,-8.35,-5.25,39.58,0.17,-2.57
2016-12-13,1.97,1.97,1.97,114.78,0.47,14.76
2016-12-14,-5.54,-5.54,-5.54,-118.68,-1.0,-18.44
2016-12-15,4.63,4.63,4.63,59.71,0.35,8.75
2016-12-16,1.32,1.32,1.32,-8.83,-0.55,-3.96
2016-12-19,0.4,-6.25,-3.66,39.65,-0.36,4.46
2016-12-20,0.35,0.35,0.35,91.56,0.31,8.23
2016-12-21,-0.97,-0.97,-0.97,-32.66,-0.52,-5.58
2016-12-22,1.68,1.68,1.68,-23.08,-0.28,-4.22
2016-12-23,1.34,1.34,1.34,14.93,-0.04,2.83
2016-12-27,-3.89,-5.33,-4.63,11.23,0.36,5.09
2016-12-28,-6.24,-6.24,-6.24,-111.36,-0.19,-18.96
2016-12-29,-1.04,-1.04,-1.04,-13.9,-0.33,-0.66
2016-12-30,2.51,2.51,2.51,-57.18,0.11,-10.43
2017-01-03,3.95,-4.32,-2.27,119.16,-0.44,19.0
2017-01-04,0.24,0.24,0.24,60.4,1.04,12.92
2017-01-05,1.16,1.16,1.16,-42.87,-0.08,-1.75
2017-01-06,-1.08,-1.08,-1.08,64.51,0.82,7.98
2017-01-09,1.16,-3.07,-2.33,-76.42,-0.69,-8.08
2017-01-10,-0.64,-0.64,-0.64,-31.85,-0.57,0.0
2017-01-11,-0.32,-0.32,-0.32,98.75,0.52,6.42
2017-01-12,-1.17,-1.17,-1.17,-63.28,-0.32,-4.88
2017-01-13,4.64,4.64,4.64,-5.27,0.31,4.2
2017-01-17,-4.72,-7.59,-8.6,-58.96,-0.72,-6.75
2017-01-18,3.05,3.05,3.05,-22.05,0.26,4.0
