Date,Natural1,Natural2,Natural3,Stock
2016-11-01,0.0,0.0,0.0,
2016-11-02,-29.87,-29.87,50.0,-0.07
2016-11-03,0.0,0.0,0.0,-0.02
2016-11-04,0.0,0.0,0.0,-0.34
2016-11-07,0.0,0.0,0.0,0.77
2016-11-08,0.0,0.0,0.0,0.42
2016-11-09,0.0,0.0,0.0,-0.61
2016-11-10,21.67,25.0,25.0,-1.33
2016-11-11,0.0,0.0,0.0,0.09
2016-11-14,-66.67,-66.67,-66.67,0.14
2016-11-15,0.0,0.0,0.0,0.27
2016-11-16,0.0,0.0,0.0,-0.18
2016-11-17,0.0,0.0,0.0,-0.14
2016-11-18,0.0,0.0,0.0,-0.21
2016-11-21,-31.16,-31.16,-7.49,0.45
2016-11-22,-7.49,-2.62,-33.33,0.01
2016-11-23,0.0,0.0,0.0,-0.25
2016-11-25,0.0,0.0,0.0,0.41
2016-11-28,-19.69,-19.69,-19.69,0.22
2016-11-29,-13.64,-13.64,-13.64,-0.6
2016-11-30,-14.71,-14.71,3.64,-0.8
2016-12-01,1.07,31.43,31.43,-0.18
2016-12-02,0.0,0.0,0.0,0.19
2016-12-05,-3.85,-3.85,-3.85,0.26
2016-12-06,0.0,0.0,0.0,-0.05
2016-12-07,30.0,30.0,3.92,0.72
2016-12-08,0.0,0.0,0.0,-0.31
2016-12-09,66.67,66.67,66.67,1.02
2016-12-12,-36.36,-36.36,-36.36,-0.1
2016-12-13,0.0,0.0,0.0,-0.14
2016-12-14,0.0,0.0,0.0,-0.55
2016-12-15,-13.1,7.14,7.14,0.34
2016-12-16,50.0,50.0,50.0,0.19
2016-12-19,-15.38,-15.38,-15.38,-0.07
2016-12-20,0.0,0.0,0.0,-0.01
2016-12-21,10.0,10.0,32.14,-0.09
2016-12-22,13.64,-75.0,-75.0,-0.02
2016-12-23,0.0,0.0,0.0,0.05
2016-12-27,-7.27,-7.27,-7.27,0.01
2016-12-28,0.0,0.0,0.0,-0.22
2016-12-29,58.33,-60.0,-60.0,0.21
2016-12-30,0.0,0.0,0.0,-0.14
2017-01-03,0.0,0.0,0.0,0.34
2017-01-04,1.01,1.01,-10.23,-0.15
2017-01-05,27.28,-12.5,-12.5,0.1
2017-01-06,0.0,0.0,0.0,-0.01
2017-01-09,-56.52,-56.52,-56.52,-0.42
2017-01-10,-3.48,-3.48,-3.48,-0.28
2017-01-11,0.0,0.0,0.0,0.01
2017-01-12,0.0,0.0,0.0,-0.1
2017-01-13,0.0,0.0,0.0,-0.07
2017-01-17,0.0,0.0,0.0,0.34
2017-01-18,0.0,0.0,0.0,0.07
2017-01-19,-70.0,40.0,40.0,-0.15
2017-01-20,0.0,0.0,0.0,0.18
2017-01-23,0.0,0.0,0.0,0.11
2017-01-24,0.0,0.0,0.0,0.47
2017-01-25,0.0,0.0,0.0,0.22
2017-01-26,0.0,0.0,0.0,-0.31
2017-01-27,0.0,0.0,0.0,-0.36
2017-01-30,0.0,0.0,0.0,-0.07
2017-01-31,0.0,0.0,0.0,0.19
2017-02-01,-22.07,-22.07,25.0,-0.31
2017-02-02,0.0,0.0,0.0,0.14
2017-02-03,0.0,0.0,0.0,0.14
2017-02-06,-23.81,-23.81,-23.81,0.02
2017-02-07,25.56,25.56,25.56,0.34
2017-02-08,-43.42,-43.42,12.99,0.12
2017-02-09,9.74,2.27,2.27,-0.77
2017-02-10,27.78,27.78,27.78,-0.67
2017-02-13,-27.78,-27.78,-27.78,0.04
2017-02-14,11.54,11.54,11.54,-0.09
2017-02-15,-9.54,-9.54,8.33,-0.09
2017-02-16,11.64,25.0,25.0,0.76
2017-02-17,0.0,0.0,0.0,0.03
2017-02-21,-28.57,-28.57,-28.57,0.23
2017-02-22,7.14,7.14,18.27,0.14
2017-02-23,-9.34,-12.5,-12.5,0.06
2017-02-24,0.0,0.0,0.0,0.12
2017-02-27,0.0,0.0,0.0,-0.11
2017-02-28,-8.34,-8.34,-8.34,0.29
2017-03-01,0.0,0.0,0.0,0.2
2017-03-02,28.21,-6.06,-6.06,0.31
2017-03-03,0.0,0.0,0.0,0.01
2017-03-06,-6.67,-6.67,-6.67,-0.3
2017-03-07,0.0,0.0,0.0,-0.19
2017-03-08,0.0,0.0,0.0,0.0
2017-03-09,0.0,0.0,0.0,0.04
2017-03-10,0.0,0.0,0.0,0.26
2017-03-13,0.0,0.0,0.0,-0.26
2017-03-14,-16.67,-16.67,-16.67,-0.06
2017-03-15,0.0,0.0,0.0,0.15
2017-03-16,29.23,0.0,0.0,0.13
2017-03-17,0.0,0.0,0.0,-0.22
2017-03-20,0.0,0.0,0.0,0.15
2017-03-21,-17.86,-17.86,-17.86,0.32
2017-03-22,0.0,0.0,0.0,-0.12
2017-03-23,0.0,0.0,0.0,-0.21
2017-03-24,0.0,0.0,0.0,-0.05
2017-03-27,-16.67,-16.67,-16.67,0.2
2017-03-28,0.0,0.0,0.0,0.11
2017-03-29,0.0,0.0,0.0,-0.01
2017-03-30,0.0,16.67,16.67,0.18
2017-03-31,0.0,0.0,0.0,-0.16
2017-04-03,-16.67,-16.67,-16.67,-0.03
2017-04-04,0.0,0.0,0.0,0.27
2017-04-05,3.85,3.85,-80.0,-0.11
2017-04-06,0.0,0.0,0.0,0.1
2017-04-07,0.0,0.0,0.0,-0.06
2017-04-10,0.0,0.0,0.0,0.08
2017-04-11,0.0,0.0,0.0,-0.03
2017-04-12,-25.45,-50.0,-50.0,0.28
2017-04-13,0.0,0.0,0.0,-0.15
2017-04-17,0.0,0.0,0.0,0.28
2017-04-18,-43.75,-43.75,-43.75,0.41
2017-04-19,-24.43,-24.43,10.0,-0.25
2017-04-20,0.0,0.0,0.0,-0.14
2017-04-21,25.0,25.0,25.0,-0.02
2017-04-24,-50.0,-50.0,-50.0,0.21
2017-04-25,-16.67,-16.67,-16.67,-0.17
2017-04-26,16.67,16.67,16.67,0.13
2017-04-27,0.0,0.0,0.0,-0.23
2017-04-28,4.55,4.55,4.55,0.14
