Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-19.29,-19.29,-19.29,-0.07
2016-11-03,5.0,5.0,5.0,-0.02
2016-11-04,7.14,7.14,7.14,-0.34
2016-11-07,-7.14,-16.67,-12.1,0.77
2016-11-08,10.0,10.0,10.0,0.42
2016-11-09,-1.67,-1.67,-1.67,-0.61
2016-11-10,-3.49,-3.49,-3.49,-1.33
2016-11-11,-11.09,-11.09,-11.09,0.09
2016-11-14,11.01,-45.24,-15.38,0.14
2016-11-15,15.24,15.24,15.24,0.27
2016-11-16,2.73,2.73,2.73,-0.18
2016-11-17,-19.4,-19.4,-19.4,-0.14
2016-11-18,15.9,15.9,15.9,-0.21
2016-11-21,-9.23,-20.0,-23.08,0.45
2016-11-22,9.05,9.05,9.05,0.01
2016-11-23,-19.05,-19.05,-19.05,-0.25
2016-11-25,5.0,-7.5,-1.25,0.41
2016-11-28,16.43,-16.07,-9.4,0.22
2016-11-29,-13.93,-13.93,-13.93,-0.6
2016-11-30,-10.62,-10.62,-10.62,-0.8
2016-12-01,2.18,2.18,2.18,-0.18
2016-12-02,14.58,14.58,14.58,0.19
2016-12-05,-7.12,23.19,3.36,0.26
2016-12-06,-6.52,-6.52,-6.52,-0.05
2016-12-07,-2.94,-2.94,-2.94,0.72
2016-12-08,18.56,18.56,18.56,-0.31
2016-12-09,-26.06,-26.06,-26.06,1.02
2016-12-12,25.82,8.24,26.48,-0.1
2016-12-13,-5.38,-5.38,-5.38,-0.14
2016-12-14,18.95,18.95,18.95,-0.55
2016-12-15,-13.57,-13.57,-13.57,0.34
2016-12-16,-12.05,-12.05,-12.05,0.19
2016-12-19,36.67,-10.0,18.89,-0.07
2016-12-20,-47.14,-47.14,-47.14,-0.01
2016-12-21,7.14,7.14,7.14,-0.09
2016-12-22,7.89,7.89,7.89,-0.02
2016-12-23,-7.89,-7.89,-7.89,0.05
2016-12-27,18.42,-17.29,19.49,0.01
2016-12-28,-18.42,-18.42,-18.42,-0.22
2016-12-29,22.22,22.22,22.22,0.21
2016-12-30,-22.22,-22.22,-22.22,-0.14
2017-01-03,15.0,-11.92,16.6,0.34
2017-01-04,-9.44,-9.44,-9.44,-0.15
2017-01-05,15.27,15.27,15.27,0.1
2017-01-06,-9.29,-9.29,-9.29,-0.01
2017-01-09,-12.52,-50.98,-21.49,-0.42
2017-01-10,0.98,0.98,0.98,-0.28
2017-01-11,-6.25,-6.25,-6.25,0.01
2017-01-12,28.47,28.47,28.47,-0.1
2017-01-13,-27.78,-27.78,-27.78,-0.07
2017-01-17,27.78,15.08,3.08,0.34
2017-01-18,27.78,27.78,27.78,0.07
2017-01-19,-50.0,-50.0,-50.0,-0.15
2017-01-20,20.0,20.0,20.0,0.18
2017-01-23,24.44,19.44,12.77,0.11
2017-01-24,-44.44,-44.44,-44.44,0.47
2017-01-25,30.0,30.0,30.0,0.22
2017-01-26,-26.67,-26.67,-26.67,-0.31
2017-01-27,-11.66,-11.66,-11.66,-0.36
2017-01-30,49.24,30.91,34.8,-0.07
2017-01-31,-18.69,-18.69,-18.69,0.19
2017-02-01,-11.11,-11.11,-11.11,-0.31
2017-02-02,13.89,13.89,13.89,0.14
2017-02-03,9.62,9.62,9.62,0.14
2017-02-06,-30.45,1.79,-2.61,0.02
2017-02-07,10.69,10.69,10.69,0.34
2017-02-08,-11.92,-11.92,-11.92,0.12
2017-02-09,-0.72,-0.72,-0.72,-0.77
2017-02-10,5.14,5.14,5.14,-0.67
2017-02-13,6.28,-18.71,-8.86,0.04
2017-02-14,5.75,5.75,5.75,-0.09
2017-02-15,-8.2,-8.2,-8.2,-0.09
2017-02-16,13.17,13.17,13.17,0.76
2017-02-17,-2.14,-2.14,-2.14,0.03
2017-02-21,9.18,1.4,3.34,0.23
2017-02-22,0.95,0.95,0.95,0.14
2017-02-23,-9.8,-9.8,-9.8,0.06
2017-02-24,0.42,0.42,0.42,0.12
2017-02-27,7.03,-20.0,-0.99,-0.11
2017-02-28,-27.06,-27.06,-27.06,0.29
2017-03-01,4.95,4.95,4.95,0.2
2017-03-02,7.49,7.49,7.49,0.31
2017-03-03,8.3,8.3,8.3,0.01
2017-03-06,-26.06,-2.38,-23.02,-0.3
2017-03-07,-7.62,-7.62,-7.62,-0.19
2017-03-08,48.89,48.89,48.89,0.0
2017-03-09,-36.51,-36.51,-36.51,0.04
2017-03-10,1.19,1.19,1.19,0.26
2017-03-13,-3.57,-33.33,-22.3,-0.26
2017-03-14,12.5,12.5,12.5,-0.06
2017-03-15,4.17,4.17,4.17,0.15
2017-03-16,-1.45,-1.45,-1.45,0.13
2017-03-17,-2.72,-2.72,-2.72,-0.22
2017-03-20,4.17,6.67,3.61,0.15
2017-03-21,-13.89,-13.89,-13.89,0.32
2017-03-22,9.72,9.72,9.72,-0.12
2017-03-23,20.83,20.83,20.83,-0.21
2017-03-24,-30.0,-30.0,-30.0,-0.05
2017-03-27,21.67,-25.0,-9.44,0.2
2017-03-28,-19.44,-19.44,-19.44,0.11
2017-03-29,24.44,24.44,24.44,-0.01
2017-03-30,-1.74,-1.74,-1.74,0.18
2017-03-31,12.65,12.65,12.65,-0.16
2017-04-03,-24.24,0.0,-19.19,-0.03
2017-04-04,15.68,15.68,15.68,0.27
2017-04-05,-21.64,-21.64,-21.64,-0.11
2017-04-06,17.07,17.07,17.07,0.1
2017-04-07,-27.78,-27.78,-27.78,-0.06
2017-04-10,-16.67,-16.67,-20.0,0.08
2017-04-11,51.29,51.29,51.29,-0.03
2017-04-12,-27.48,-27.48,-27.48,0.28
2017-04-13,20.64,20.64,20.64,-0.15
2017-04-17,5.55,43.33,16.39,0.28
2017-04-18,-31.98,-31.98,-31.98,0.41
2017-04-19,0.92,0.92,0.92,-0.25
2017-04-20,14.4,14.4,14.4,-0.14
2017-04-21,-6.67,-6.67,-6.67,-0.02
2017-04-24,-1.18,-18.96,-5.63,0.21
2017-04-25,-20.28,-20.28,-20.28,-0.17
2017-04-26,21.46,21.46,21.46,0.13
2017-04-27,4.71,4.71,4.71,-0.23
2017-04-28,1.96,1.96,1.96,0.14
