Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-5.0,-5.0,-0.7,-77.46
2016-11-03,0.44,23.72,23.72,-28.97
2016-11-04,-17.41,-17.41,-17.41,-42.39
2016-11-07,2.32,2.32,2.32,371.32
2016-11-08,5.07,5.07,5.07,73.14
2016-11-09,-4.99,-4.99,-9.57,256.95
2016-11-10,7.41,17.41,17.41,218.19
2016-11-11,-10.66,-10.66,-10.66,39.78
2016-11-14,8.7,8.7,8.7,21.03
2016-11-15,1.12,1.12,1.12,54.37
2016-11-16,-23.81,-23.81,-4.58,-54.92
2016-11-17,9.82,4.29,4.29,35.68
2016-11-18,-3.76,-3.76,-3.76,-35.89
2016-11-21,4.56,4.56,3.9,88.76
2016-11-22,3.9,-0.66,-2.29,67.18
2016-11-23,-7.22,5.47,5.47,59.31
2016-11-25,-1.79,-1.79,-1.79,68.96
2016-11-28,-6.73,-6.73,-6.73,-54.24
2016-11-29,7.87,7.87,7.87,23.7
2016-11-30,-1.4,-1.4,-4.5,1.98
2016-12-01,-2.98,30.95,30.95,68.35
2016-12-02,-31.71,-31.71,-31.71,-21.51
2016-12-05,18.22,18.22,18.22,45.82
2016-12-06,-13.89,-13.89,-13.89,35.54
2016-12-07,15.27,15.27,-4.92,297.84
2016-12-08,-14.78,3.42,3.42,65.19
2016-12-09,3.79,3.79,3.79,142.04
2016-12-12,5.91,5.91,5.91,39.58
2016-12-13,-2.6,-2.6,-2.6,114.78
2016-12-14,-6.21,-6.21,7.44,-118.68
2016-12-15,0.68,4.5,4.5,59.71
2016-12-16,-14.58,-14.58,-14.58,-8.83
2016-12-19,2.26,2.26,2.26,39.65
2016-12-20,2.7,2.7,2.7,91.56
2016-12-21,-1.89,-1.89,39.44,-32.66
2016-12-22,2.58,-52.17,-52.17,-23.08
2016-12-23,7.69,7.69,7.69,14.93
2016-12-27,7.46,7.46,7.46,11.23
2016-12-28,-3.5,-3.5,43.14,-111.36
2016-12-29,-5.7,-13.34,-13.34,-13.9
