Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-3.21,-3.21,-3.21,-77.46
2016-11-03,-0.77,-0.77,-0.77,-28.97
2016-11-04,4.24,4.24,4.24,-42.39
2016-11-07,11.38,15.68,7.0,371.32
2016-11-08,-2.56,-2.56,-2.56,73.14
2016-11-09,1.24,1.24,1.24,256.95
2016-11-10,4.07,4.07,4.07,218.19
2016-11-11,-6.32,-6.32,-6.32,39.78
2016-11-14,11.36,9.12,7.63,21.03
2016-11-15,3.32,3.32,3.32,54.37
2016-11-16,-22.9,-22.9,-22.9,-54.92
2016-11-17,3.46,3.46,3.46,35.68
2016-11-18,-2.97,-2.97,-2.97,-35.89
2016-11-21,6.06,-0.48,-1.6,88.76
2016-11-22,6.83,6.83,6.83,67.18
2016-11-23,-5.56,-5.56,-5.56,59.31
2016-11-25,1.15,9.08,5.12,68.96
2016-11-28,-6.46,-0.95,-3.15,-54.24
2016-11-29,9.28,9.28,9.28,23.7
2016-11-30,-2.38,-2.38,-2.38,1.98
2016-12-01,-3.78,-3.78,-3.78,68.35
2016-12-02,-8.99,-8.99,-8.99,-21.51
2016-12-05,18.53,27.03,13.79,45.82
2016-12-06,-14.63,-14.63,-14.63,35.54
2016-12-07,12.31,12.31,12.31,297.84
2016-12-08,-9.19,-9.19,-9.19,65.19
2016-12-09,-2.74,-2.74,-2.74,142.04
2016-12-12,9.22,6.68,10.78,39.58
2016-12-13,1.99,1.99,1.99,114.78
2016-12-14,-8.76,-8.76,-8.76,-118.68
2016-12-15,-0.91,-0.91,-0.91,59.71
2016-12-16,5.0,5.0,5.0,-8.83
2016-12-19,-2.33,2.67,-4.67,39.65
2016-12-20,4.0,4.0,4.0,91.56
2016-12-21,-7.47,-7.47,-7.47,-32.66
2016-12-22,3.02,3.02,3.02,-23.08
2016-12-23,3.19,3.19,3.19,14.93
2016-12-27,-5.94,5.82,-5.73,11.23
2016-12-28,5.02,5.02,5.02,-111.36
2016-12-29,-8.34,-8.34,-8.34,-13.9
2016-12-30,-0.64,-0.64,-0.64,-57.18
2017-01-03,3.98,3.98,-13.06,119.16
2017-01-04,1.51,1.51,1.51,60.4
2017-01-05,-2.55,-2.55,-2.55,-42.87
2017-01-06,2.14,2.14,2.14,64.51
2017-01-09,0.83,-5.53,-3.51,-76.42
2017-01-10,3.75,3.75,3.75,-31.85
2017-01-11,5.31,5.31,5.31,98.75
2017-01-12,-6.27,-6.27,-6.27,-63.28
2017-01-13,-10.03,-10.03,-10.03,-5.27
2017-01-17,-3.45,-3.33,-1.05,-58.96
2017-01-18,-2.38,-2.38,-2.38,-22.05
2017-01-19,6.98,6.98,6.98,-72.32
2017-01-20,2.1,2.1,2.1,94.85
2017-01-23,2.54,-0.35,2.55,-27.4
2017-01-24,-0.25,-0.25,-0.25,112.86
2017-01-25,9.52,9.52,9.52,155.8
2017-01-26,1.57,1.57,1.57,32.4
2017-01-27,-1.2,-1.2,-1.2,-7.13
2017-01-30,-8.46,5.64,-3.13,-122.65
2017-01-31,-0.31,-0.31,-0.31,-107.04
2017-02-01,3.86,3.86,3.86,26.85
2017-02-02,-0.64,-0.64,-0.64,-6.03
2017-02-03,-4.94,-4.94,-4.94,186.55
2017-02-06,-0.75,1.44,-2.57,-19.04
2017-02-07,5.15,5.15,5.15,37.87
2017-02-08,-2.78,-2.78,-2.78,-35.95
2017-02-09,4.89,4.89,4.89,118.06
2017-02-10,1.8,1.8,1.8,96.97
2017-02-13,-0.15,9.4,4.91,142.79
2017-02-14,-5.03,-5.03,-5.03,92.25
2017-02-15,1.29,1.29,1.29,107.45
2017-02-16,-4.68,-4.68,-4.68,7.91
2017-02-17,3.59,3.59,3.59,4.28
2017-02-21,14.22,-1.83,4.62,118.95
2017-02-22,-3.58,-3.58,-3.58,32.6
2017-02-23,-4.16,-4.16,-4.16,34.72
2017-02-24,-1.08,-1.08,-1.08,11.44
2017-02-27,7.41,5.93,7.53,15.68
2017-02-28,-5.93,-5.93,-5.93,-25.2
2017-03-01,0.11,0.11,0.11,303.31
2017-03-02,-10.45,-10.45,-10.45,-112.58
2017-03-03,0.14,0.14,0.14,2.74
2017-03-06,7.9,5.39,1.1,-51.37
2017-03-07,-5.15,-5.15,-5.15,-29.58
2017-03-08,-0.39,-0.39,-0.39,-69.03
2017-03-09,0.28,0.28,0.28,2.46
2017-03-10,1.5,1.5,1.5,44.79
2017-03-13,1.76,29.03,7.12,-21.5
2017-03-14,-12.21,-12.21,-12.21,-44.11
2017-03-15,1.36,1.36,1.36,112.73
2017-03-16,7.56,7.56,7.56,-15.55
2017-03-17,9.11,9.11,9.11,-19.93
2017-03-20,-8.18,20.42,5.68,-8.76
2017-03-21,-5.86,-5.86,-5.86,-237.85
2017-03-22,7.98,7.98,7.98,-6.71
2017-03-23,-15.0,-15.0,-15.0,-4.72
2017-03-24,6.72,6.72,6.72,-59.86
2017-03-27,-4.72,3.59,-2.61,-45.74
2017-03-28,3.54,3.54,3.54,150.52
2017-03-29,1.08,1.08,1.08,-42.18
2017-03-30,-4.45,-4.45,-4.45,69.17
2017-03-31,2.79,2.79,2.79,-65.27
2017-04-03,6.25,20.0,5.97,-13.01
2017-04-04,-3.41,-3.41,-3.41,39.03
2017-04-05,-8.97,-8.97,-8.97,-41.09
2017-04-06,5.47,5.47,5.47,14.8
2017-04-07,2.96,2.96,2.96,-6.85
2017-04-10,9.38,22.74,13.27,1.92
2017-04-11,-8.91,-8.91,-8.91,-6.72
2017-04-12,0.54,0.54,0.54,-59.44
2017-04-13,-1.44,-1.44,-1.44,-138.61
2017-04-17,14.44,5.89,17.76,183.67
2017-04-18,-17.82,-17.82,-17.82,-113.64
2017-04-19,6.23,6.23,6.23,-118.79
2017-04-20,3.56,3.56,3.56,174.22
2017-04-21,-7.03,-7.03,-7.03,-30.95
2017-04-24,6.67,18.34,10.56,216.13
2017-04-25,0.6,0.6,0.6,232.23
2017-04-26,-7.65,-7.65,-7.65,-21.03
2017-04-27,3.98,3.98,3.98,6.24
2017-04-28,-3.13,-3.13,-3.13,-40.82
