Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-7.14,-7.14,-23.64,0.14
2016-11-03,13.64,26.67,26.67,-0.67
2016-11-04,-6.67,-6.67,-6.67,-0.68
2016-11-07,16.47,16.47,16.47,1.78
2016-11-08,-12.83,-12.83,-12.83,1.29
2016-11-09,-18.64,-18.64,11.11,0.87
2016-11-10,0.0,0.0,0.0,-0.47
2016-11-11,0.0,0.0,0.0,-0.29
2016-11-14,-10.0,-10.0,-10.0,3.64
2016-11-15,23.33,23.33,23.33,0.46
2016-11-16,-38.04,-38.04,8.82,0.89
2016-11-17,14.71,16.18,16.18,0.24
2016-11-18,-25.0,-25.0,-25.0,0.55
2016-11-21,23.33,23.33,5.62,-0.5
2016-11-22,5.62,-20.62,19.04,0.19
2016-11-23,8.34,-2.38,-2.38,0.45
2016-11-25,0.0,0.0,0.0,0.52
2016-11-28,-30.0,-30.0,-30.0,1.16
2016-11-29,-22.17,-22.17,-22.17,-1.14
2016-11-30,-14.5,-14.5,20.8,-1.41
2016-12-01,-1.19,35.95,35.95,-0.8
2016-12-02,-11.11,-11.11,-11.11,-0.23
2016-12-05,-29.95,-29.95,-29.95,1.05
2016-12-06,2.17,2.17,2.17,-0.04
2016-12-07,0.0,0.0,-18.15,0.67
2016-12-08,6.25,61.9,61.9,0.53
2016-12-09,-12.5,-12.5,-12.5,0.81
2016-12-12,-29.61,-29.61,-29.61,0.48
2016-12-13,14.84,14.84,14.84,0.94
2016-12-14,-9.09,-9.09,-2.38,0.16
2016-12-15,3.03,35.71,35.71,-0.48
2016-12-16,0.0,0.0,0.0,0.88
2016-12-19,0.0,0.0,0.0,-0.25
2016-12-20,-6.25,-6.25,-6.25,0.34
2016-12-21,10.42,10.42,66.67,-0.15
2016-12-22,-6.67,-101.0,-101.0,0.54
2016-12-23,76.0,76.0,76.0,-0.58
2016-12-27,0.0,0.0,0.0,-0.07
2016-12-28,-10.0,-10.0,16.67,-0.39
2016-12-29,0.0,0.0,0.0,0.11
2016-12-30,0.0,0.0,0.0,-1.07
2017-01-03,-21.47,-21.47,-21.47,-2.1
2017-01-04,-22.85,-22.85,-2.12,-0.14
2017-01-05,24.68,59.26,59.26,0.22
2017-01-06,-75.0,-75.0,-75.0,1.06
2017-01-09,12.5,12.5,12.5,-0.33
2017-01-10,33.09,33.09,33.09,-0.18
2017-01-11,-32.13,-32.13,21.15,0.63
2017-01-12,-2.75,12.5,12.5,1.22
2017-01-13,-45.83,-45.83,-45.83,-0.6
2017-01-17,37.28,37.28,37.28,1.25
2017-01-18,0.0,0.0,0.0,-0.04
2017-01-19,56.56,20.24,20.24,-0.53
