Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-7.14,-7.14,-7.14,0.14
2016-11-03,13.64,13.64,13.64,-0.67
2016-11-04,-23.64,-23.64,-23.64,-0.68
2016-11-07,36.47,16.47,20.91,1.78
2016-11-08,-12.83,-12.83,-12.83,1.29
2016-11-09,-18.64,-18.64,-18.64,0.87
2016-11-10,0.0,0.0,0.0,-0.47
2016-11-11,0.0,0.0,0.0,-0.29
2016-11-14,-27.78,-10.0,-19.74,3.64
2016-11-15,23.33,23.33,23.33,0.46
2016-11-16,-38.04,-38.04,-38.04,0.89
2016-11-17,14.71,14.71,14.71,0.24
2016-11-18,8.82,8.82,8.82,0.55
2016-11-21,14.51,23.33,12.06,-0.5
2016-11-22,5.62,5.62,5.62,0.19
2016-11-23,-20.62,-20.62,-20.62,0.45
2016-11-25,0.0,0.0,0.0,0.52
2016-11-28,-15.71,-30.0,-19.68,1.16
2016-11-29,-22.17,-22.17,-22.17,-1.14
2016-11-30,-14.5,-14.5,-14.5,-1.41
2016-12-01,-1.19,-1.19,-1.19,-0.8
2016-12-02,20.8,20.8,20.8,-0.23
2016-12-05,-5.11,-29.95,-25.37,1.05
2016-12-06,2.17,2.17,2.17,-0.04
2016-12-07,0.0,0.0,0.0,0.67
2016-12-08,6.25,6.25,6.25,0.53
2016-12-09,-18.15,-18.15,-18.15,0.81
2016-12-12,19.79,-29.61,-17.31,0.48
2016-12-13,14.84,14.84,14.84,0.94
2016-12-14,-9.09,-9.09,-9.09,0.16
2016-12-15,3.03,3.03,3.03,-0.48
2016-12-16,-2.38,-2.38,-2.38,0.88
2016-12-19,0.0,0.0,0.0,-0.25
2016-12-20,-6.25,-6.25,-6.25,0.34
2016-12-21,10.42,10.42,10.42,-0.15
2016-12-22,-6.67,-6.67,-6.67,0.54
2016-12-23,-26.67,-26.67,-26.67,-0.58
2016-12-27,0.0,0.0,0.0,-0.07
2016-12-28,-10.0,-10.0,-10.0,-0.39
2016-12-29,0.0,0.0,0.0,0.11
2016-12-30,0.0,0.0,0.0,-1.07
2017-01-03,7.7,-21.47,-20.43,-2.1
2017-01-04,-22.85,-22.85,-22.85,-0.14
2017-01-05,24.68,24.68,24.68,0.22
2017-01-06,-2.12,-2.12,-2.12,1.06
2017-01-09,-3.24,12.5,-17.75,-0.33
2017-01-10,33.09,33.09,33.09,-0.18
