Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,3.33,3.33,3.33,0.14
2016-11-03,0.49,0.49,0.49,-0.67
2016-11-04,-11.2,-11.2,-11.2,-0.68
2016-11-07,17.76,8.24,7.13,1.78
2016-11-08,-8.24,-8.24,-8.24,1.29
2016-11-09,-13.14,-13.14,-13.14,0.87
2016-11-10,28.73,28.73,28.73,-0.47
2016-11-11,-2.73,-2.73,-2.73,-0.29
2016-11-14,-11.18,-12.61,-9.16,3.64
2016-11-15,13.18,13.18,13.18,0.46
2016-11-16,-24.0,-24.0,-24.0,0.89
2016-11-17,-0.38,-0.38,-0.38,0.24
2016-11-18,19.05,19.05,19.05,0.55
2016-11-21,-10.15,16.52,-4.04,-0.5
2016-11-22,20.75,20.75,20.75,0.19
2016-11-23,-21.02,-21.02,-21.02,0.45
2016-11-25,13.75,0.0,6.88,0.52
2016-11-28,0.83,-29.17,-13.61,1.16
2016-11-29,-26.0,-26.0,-26.0,-1.14
2016-11-30,-8.83,-8.83,-8.83,-1.41
2016-12-01,9.95,9.95,9.95,-0.8
2016-12-02,11.19,11.19,11.19,-0.23
2016-12-05,-1.97,-24.83,-20.85,1.05
2016-12-06,1.08,1.08,1.08,-0.04
2016-12-07,-2.08,-2.08,-2.08,0.67
2016-12-08,-4.17,-4.17,-4.17,0.53
2016-12-09,-1.72,-1.72,-1.72,0.81
2016-12-12,9.41,-29.81,-12.57,0.48
2016-12-13,17.31,17.31,17.31,0.94
2016-12-14,-11.36,-11.36,-11.36,0.16
2016-12-15,7.79,7.79,7.79,-0.48
2016-12-16,-4.76,-4.76,-4.76,0.88
2016-12-19,-3.03,-25.25,-21.55,-0.25
2016-12-20,3.03,3.03,3.03,0.34
2016-12-21,-4.77,-4.77,-4.77,-0.15
2016-12-22,6.52,6.52,6.52,0.54
2016-12-23,-29.96,-29.96,-29.96,-0.58
2016-12-27,11.54,-25.0,-3.12,-0.07
2016-12-28,16.67,16.67,16.67,-0.39
2016-12-29,-16.67,-16.67,-16.67,0.11
2016-12-30,5.56,5.56,5.56,-1.07
2017-01-03,-15.56,-21.54,-13.02,-2.1
2017-01-04,-7.74,-7.74,-7.74,-0.14
2017-01-05,-4.48,-4.48,-4.48,0.22
2017-01-06,27.48,27.48,27.48,1.06
2017-01-09,-9.26,21.0,-14.09,-0.33
2017-01-10,26.73,26.73,26.73,-0.18
2017-01-11,-18.88,-18.88,-18.88,0.63
2017-01-12,-13.85,-13.85,-13.85,1.22
2017-01-13,29.57,29.57,29.57,-0.6
2017-01-17,6.43,28.94,5.87,1.25
2017-01-18,-77.0,-77.0,-77.0,-0.04
2017-01-19,56.56,56.56,56.56,-0.53
2017-01-20,16.85,16.85,16.85,0.08
2017-01-23,-12.63,-1.98,-13.51,-0.88
2017-01-24,-4.01,-4.01,-4.01,-0.33
2017-01-25,5.1,5.1,5.1,0.74
2017-01-26,-10.87,-10.87,-10.87,0.09
2017-01-27,24.29,24.29,24.29,0.98
2017-01-30,3.49,6.35,4.96,0.16
2017-01-31,-23.61,-23.61,-23.61,-0.45
2017-02-01,16.42,16.42,16.42,-0.15
2017-02-02,-12.26,-12.26,-12.26,0.8
2017-02-03,8.34,8.34,8.34,1.02
2017-02-06,17.95,20.33,15.04,0.21
2017-02-07,-17.95,-17.95,-17.95,0.14
2017-02-08,21.57,21.57,21.57,0.08
2017-02-09,-28.24,-28.24,-28.24,-0.19
2017-02-10,12.0,12.0,12.0,1.34
2017-02-13,3.0,8.33,-0.85,-0.28
2017-02-14,-35.87,-35.87,-35.87,0.27
2017-02-15,33.6,33.6,33.6,0.67
2017-02-16,-8.21,-8.21,-8.21,0.22
2017-02-17,-7.85,-7.85,-7.85,1.1
2017-02-21,35.0,31.67,25.2,0.24
2017-02-22,-46.67,-46.67,-46.67,-0.19
2017-02-23,35.0,35.0,35.0,0.42
2017-02-24,-9.41,-9.41,-9.41,0.38
2017-02-27,4.41,8.33,-4.09,-1.66
2017-02-28,-1.67,-1.67,-1.67,0.66
2017-03-01,-20.19,-20.19,-20.19,1.4
2017-03-02,-9.39,-9.39,-9.39,-0.82
2017-03-03,6.25,6.25,6.25,-0.33
2017-03-06,0.0,-38.89,-25.46,0.13
2017-03-07,-6.52,-6.52,-6.52,0.04
2017-03-08,18.42,18.42,18.42,0.02
2017-03-09,-15.75,-15.75,-15.75,0.05
2017-03-10,7.18,7.18,7.18,-0.16
2017-03-13,9.17,-37.5,-21.94,-0.37
2017-03-14,27.5,27.5,27.5,0.19
2017-03-15,-23.33,-23.33,-23.33,0.08
2017-03-16,-28.21,-28.21,-28.21,0.1
2017-03-17,31.31,31.31,31.31,0.66
2017-03-20,-15.22,-45.45,-35.37,0.14
2017-03-21,17.67,17.67,17.67,-0.26
2017-03-22,2.78,2.78,2.78,0.58
2017-03-23,0.0,0.0,0.0,-0.1
2017-03-24,-15.0,-15.0,-15.0,0.34
2017-03-27,17.78,-22.22,-8.89,0.15
2017-03-28,-33.34,-33.34,-33.34,-0.04
2017-03-29,-19.44,-19.44,-19.44,-0.61
2017-03-30,29.84,29.84,29.84,0.48
2017-03-31,-9.13,-9.13,-9.13,0.29
2017-04-03,14.9,-6.06,23.15,0.0
2017-04-04,0.1,0.1,0.1,-0.32
2017-04-05,-15.55,-15.55,-15.55,1.12
2017-04-06,-11.83,-11.83,-11.83,-0.26
2017-04-07,6.67,6.67,6.67,-0.19
2017-04-10,12.38,53.38,12.71,0.02
2017-04-11,10.58,10.58,10.58,1.22
2017-04-12,-8.41,-8.41,-8.41,0.06
2017-04-13,-18.19,-18.19,-18.19,-0.5
2017-04-17,38.64,15.0,12.81,0.59
2017-04-18,-21.15,-21.15,-21.15,0.95
2017-04-19,15.38,15.38,15.38,0.34
2017-04-20,2.65,2.65,2.65,0.63
2017-04-21,-19.38,-19.38,-19.38,0.14
2017-04-24,9.53,-7.97,-2.61,0.82
2017-04-25,-13.49,-13.49,-13.49,7.47
2017-04-26,-6.98,-6.98,-6.98,-0.86
2017-04-27,9.09,9.09,9.09,0.03
2017-04-28,16.02,16.02,16.02,-0.94
