Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-11.25,-11.25,14.25,-0.37
2016-11-03,-8.7,9.82,9.82,-0.22
2016-11-04,5.56,5.56,5.56,-0.5
2016-11-07,-15.0,-15.0,-15.0,1.71
2016-11-08,6.89,6.89,6.89,0.05
2016-11-09,8.11,8.11,-4.64,-0.3
2016-11-10,-12.5,6.03,6.03,-1.47
2016-11-11,-0.65,-0.65,-0.65,0.32
2016-11-14,-2.53,-2.53,-2.53,-0.9
2016-11-15,1.08,1.08,1.08,0.75
2016-11-16,-1.08,-1.08,7.95,0.78
2016-11-17,-0.64,-4.78,-4.78,0.99
2016-11-18,11.76,11.76,11.76,-0.29
2016-11-21,-2.13,-2.13,-9.23,0.51
2016-11-22,-9.23,0.83,-0.23,0.26
2016-11-23,3.86,-7.39,-7.39,-0.72
2016-11-25,0.0,0.0,0.0,0.13
2016-11-28,4.49,4.49,4.49,0.08
2016-11-29,2.11,2.11,2.11,0.48
2016-11-30,-2.84,-2.84,2.5,-0.83
2016-12-01,0.53,1.25,1.25,-1.06
2016-12-02,-1.44,-1.44,-1.44,0.05
2016-12-05,-8.67,-8.67,-8.67,0.97
2016-12-06,1.55,1.55,1.55,-0.27
2016-12-07,13.09,13.09,-6.83,1.42
2016-12-08,-3.04,7.04,7.04,-0.36
2016-12-09,4.55,4.55,4.55,0.96
2016-12-12,-5.71,-5.71,-5.71,0.2
2016-12-13,-8.73,-8.73,-8.73,0.81
2016-12-14,4.66,4.66,-0.47,-0.3
2016-12-15,-1.51,0.0,0.0,-0.1
2016-12-16,11.76,11.76,11.76,-0.28
2016-12-19,-4.92,-4.92,-4.92,1.32
2016-12-20,-1.2,-1.2,-1.2,-0.08
2016-12-21,-7.21,-7.21,13.64,0.0
2016-12-22,7.21,0.0,0.0,0.01
2016-12-23,0.0,0.0,0.0,-0.31
2016-12-27,-18.42,-18.42,-18.42,0.04
2016-12-28,14.25,14.25,0.0,-0.29
2016-12-29,-8.73,0.88,0.88,-0.09
2016-12-30,2.43,2.43,2.43,-0.76
2017-01-03,-11.88,-11.88,-11.88,0.44
2017-01-04,14.02,14.02,-5.58,-0.28
2017-01-05,-1.64,3.67,3.67,0.0
2017-01-06,6.67,6.67,6.67,0.54
2017-01-09,-10.2,-10.2,-10.2,-0.2
2017-01-10,6.2,6.2,6.2,-0.02
2017-01-11,-4.7,-4.7,2.84,0.57
2017-01-12,3.44,-2.08,-2.08,-0.58
2017-01-13,3.07,3.07,3.07,0.09
2017-01-17,-5.85,-5.85,-5.85,-0.17
2017-01-18,5.85,5.85,-3.02,-0.03
2017-01-19,2.03,3.39,3.39,-0.2
2017-01-20,-5.14,-5.14,-5.14,0.44
2017-01-23,6.55,6.55,6.55,0.22
2017-01-24,-1.72,-1.72,-1.72,0.56
2017-01-25,-2.71,-2.71,2.88,0.16
2017-01-26,-4.91,3.56,3.56,0.59
2017-01-27,-9.44,-9.44,-9.44,1.51
2017-01-30,2.31,2.31,2.31,-0.65
2017-01-31,-4.91,-4.91,-4.91,-0.48
2017-02-01,0.6,0.6,7.98,-1.07
2017-02-02,-1.95,-5.62,-5.62,-0.41
2017-02-03,-4.62,-4.62,-4.62,0.51
2017-02-06,15.56,15.56,15.56,-0.04
2017-02-07,-7.76,-7.76,-7.76,-0.21
2017-02-08,6.94,6.94,-3.13,-0.09
2017-02-09,-3.51,-10.32,-10.32,0.72
2017-02-10,0.79,0.79,0.79,-0.06
2017-02-13,16.17,16.17,16.17,0.72
2017-02-14,-2.85,-2.85,-2.85,-0.15
2017-02-15,-0.22,-0.22,-17.37,-0.04
2017-02-16,0.83,20.0,20.0,-0.01
2017-02-17,-11.11,-11.11,-11.11,0.1
2017-02-21,3.11,3.11,3.11,-0.13
2017-02-22,-1.76,-1.76,-11.76,-0.13
2017-02-23,7.63,-6.11,-6.11,0.26
2017-02-24,7.5,7.5,7.5,0.0
2017-02-27,-8.33,-8.33,-8.33,-0.39
2017-02-28,9.72,9.72,9.72,-0.25
2017-03-01,-2.05,-2.05,-13.56,0.96
2017-03-02,3.64,23.08,23.08,-0.93
2017-03-03,-13.33,-13.33,-13.33,0.24
2017-03-06,-10.0,-10.0,-10.0,0.02
2017-03-07,12.22,12.22,12.22,0.13
2017-03-08,4.52,4.52,1.86,0.59
2017-03-09,-1.52,-12.5,-12.5,-0.26
2017-03-10,18.75,18.75,18.75,0.2
2017-03-13,0.0,0.0,0.0,-0.22
2017-03-14,-12.5,-12.5,-12.5,-0.3
2017-03-15,8.8,8.8,0.13,0.34
2017-03-16,-8.06,4.96,4.96,-0.11
2017-03-17,-2.42,-2.42,-2.42,0.23
2017-03-20,-2.54,-2.54,-2.54,0.06
2017-03-21,-1.88,-1.88,-1.88,-0.72
2017-03-22,-3.51,-3.51,1.43,0.82
2017-03-23,-0.63,16.22,16.22,-0.16
2017-03-24,-8.33,-8.33,-8.33,0.11
2017-03-27,-10.82,-10.82,-10.82,0.12
2017-03-28,12.48,12.48,12.48,0.19
2017-03-29,-8.48,-8.48,-2.9,0.18
2017-03-30,8.37,-0.32,-0.32,0.24
2017-03-31,-10.0,-10.0,-10.0,0.15
2017-04-03,10.91,10.91,10.91,-0.31
2017-04-04,6.15,6.15,6.15,0.18
2017-04-05,-4.04,-4.04,-16.02,-0.17
2017-04-06,4.48,6.02,6.02,0.17
2017-04-07,12.5,12.5,12.5,-0.05
2017-04-10,-2.44,-2.44,-2.44,-0.15
2017-04-11,-0.06,-0.06,-5.83,-0.05
2017-04-12,-0.44,1.39,1.39,-0.25
2017-04-13,2.78,2.78,2.78,-0.28
2017-04-17,-4.57,-4.57,-4.57,0.53
2017-04-18,-4.24,-4.24,-4.24,-0.09
2017-04-19,8.05,8.05,7.58,-0.35
2017-04-20,-3.68,1.74,1.74,0.46
2017-04-21,-3.69,-3.69,-3.69,0.9
2017-04-24,1.26,1.26,1.26,1.13
2017-04-25,-6.62,-6.62,-6.62,0.39
2017-04-26,-0.98,-0.98,-0.98,-0.09
2017-04-27,6.45,6.45,6.45,0.44
2017-04-28,0.48,0.48,0.48,0.19
