Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-7.14,-7.14,-7.14,-0.37
2016-11-03,-8.48,-8.48,-8.48,-0.22
2016-11-04,5.67,5.67,5.67,-0.5
2016-11-07,7.9,7.19,3.21,1.71
2016-11-08,3.91,3.91,3.91,0.05
2016-11-09,6.87,6.87,6.87,-0.3
2016-11-10,-7.92,-7.92,-7.92,-1.47
2016-11-11,-5.7,-5.7,-5.7,0.32
2016-11-14,2.84,0.45,1.37,-0.9
2016-11-15,1.51,1.51,1.51,0.75
2016-11-16,-0.21,-0.21,-0.21,0.78
2016-11-17,-6.32,-6.32,-6.32,0.99
2016-11-18,10.95,10.95,10.95,-0.29
2016-11-21,6.87,3.81,6.31,0.51
2016-11-22,-12.77,-12.77,-12.77,0.26
2016-11-23,6.01,6.01,6.01,-0.72
2016-11-25,-8.16,-3.03,-5.59,0.13
2016-11-28,6.81,17.92,11.02,0.08
2016-11-29,-1.1,-1.1,-1.1,0.48
2016-11-30,0.15,0.15,0.15,-0.83
2016-12-01,-0.95,-0.95,-0.95,-1.06
2016-12-02,-1.28,-1.28,-1.28,0.05
2016-12-05,-3.18,-10.96,-8.45,0.97
2016-12-06,0.22,0.22,0.22,-0.27
2016-12-07,8.31,8.31,8.31,1.42
2016-12-08,0.0,0.0,0.0,-0.36
2016-12-09,-5.95,-5.95,-5.95,0.96
2016-12-12,5.04,-8.6,-1.67,0.2
2016-12-13,-4.13,-4.13,-4.13,0.81
2016-12-14,-1.93,-1.93,-1.93,-0.3
2016-12-15,3.27,3.27,3.27,-0.1
2016-12-16,-3.76,-3.76,-3.76,-0.28
2016-12-19,6.18,-3.41,1.11,1.32
2016-12-20,-0.71,-0.71,-0.71,-0.08
2016-12-21,-1.23,-1.23,-1.23,0.0
2016-12-22,2.44,2.44,2.44,0.01
2016-12-23,-3.29,-3.29,-3.29,-0.31
2016-12-27,-4.6,-16.36,-13.42,0.04
2016-12-28,3.86,3.86,3.86,-0.29
2016-12-29,-4.57,-4.57,-4.57,-0.09
2016-12-30,8.14,8.14,8.14,-0.76
2017-01-03,-7.35,-7.95,-6.61,0.44
2017-01-04,11.52,11.52,11.52,-0.28
2017-01-05,0.99,0.99,0.99,0.0
2017-01-06,-9.87,-9.87,-9.87,0.54
2017-01-09,3.11,-10.53,-4.32,-0.2
2017-01-10,-0.28,-0.28,-0.28,-0.02
2017-01-11,-4.81,-4.81,-4.81,0.57
2017-01-12,0.53,0.53,0.53,-0.58
2017-01-13,7.95,7.95,7.95,0.09
2017-01-17,-5.17,-7.76,-6.51,-0.17
2017-01-18,3.42,3.42,3.42,-0.03
2017-01-19,6.76,6.76,6.76,-0.2
2017-01-20,-2.87,-2.87,-2.87,0.44
2017-01-23,-0.95,1.46,-0.94,0.22
2017-01-24,1.9,1.9,1.9,0.56
2017-01-25,-4.65,-4.65,-4.65,0.16
2017-01-26,-2.22,-2.22,-2.22,0.59
2017-01-27,-0.88,-0.88,-0.88,1.51
2017-01-30,-3.01,-1.99,-4.58,-0.65
2017-01-31,1.71,1.71,1.71,-0.48
2017-02-01,-5.71,-5.71,-5.71,-1.07
2017-02-02,-0.73,-0.73,-0.73,-0.41
2017-02-03,7.95,7.95,7.95,0.51
2017-02-06,4.57,16.51,10.24,-0.04
2017-02-07,-5.48,-5.48,-5.48,-0.21
2017-02-08,5.36,5.36,5.36,-0.09
2017-02-09,-8.65,-8.65,-8.65,0.72
2017-02-10,5.08,5.08,5.08,-0.06
2017-02-13,4.46,20.07,17.2,0.72
2017-02-14,0.13,0.13,0.13,-0.15
2017-02-15,-0.4,-0.4,-0.4,-0.04
2017-02-16,-7.48,-7.48,-7.48,-0.01
2017-02-17,3.8,3.8,3.8,0.1
2017-02-21,3.42,7.11,4.72,-0.13
2017-02-22,-5.46,-5.46,-5.46,-0.13
2017-02-23,7.62,7.62,7.62,0.26
2017-02-24,-12.69,-12.69,-12.69,0.0
2017-02-27,-6.02,-7.95,-5.77,-0.39
2017-02-28,11.33,11.33,11.33,-0.25
2017-03-01,0.68,0.68,0.68,0.96
2017-03-02,-1.79,-1.79,-1.79,-0.93
2017-03-03,-5.81,-5.81,-5.81,0.24
2017-03-06,-5.4,-7.65,-10.6,0.02
2017-03-07,3.27,3.27,3.27,0.13
2017-03-08,13.55,13.55,13.55,0.59
2017-03-09,-6.5,-6.5,-6.5,-0.26
2017-03-10,-2.28,-2.28,-2.28,0.2
2017-03-13,8.39,1.2,9.83,-0.22
2017-03-14,-1.2,-1.2,-1.2,-0.3
2017-03-15,3.68,3.68,3.68,0.34
2017-03-16,-6.79,-6.79,-6.79,-0.11
2017-03-17,-4.47,-4.47,-4.47,0.23
2017-03-20,2.67,1.38,-1.23,0.06
2017-03-21,-6.45,-6.45,-6.45,-0.72
2017-03-22,0.81,0.81,0.81,0.82
2017-03-23,2.97,2.97,2.97,-0.16
2017-03-24,-2.38,-2.38,-2.38,0.11
2017-03-27,-2.1,-13.46,-12.24,0.12
2017-03-28,12.33,12.33,12.33,0.19
2017-03-29,-7.85,-7.85,-7.85,0.18
2017-03-30,6.79,6.79,6.79,0.24
2017-03-31,-3.28,-3.28,-3.28,0.15
2017-04-03,1.26,8.1,3.92,-0.31
2017-04-04,5.65,5.65,5.65,0.18
2017-04-05,-6.96,-6.96,-6.96,-0.17
2017-04-06,11.36,11.36,11.36,0.17
2017-04-07,-14.82,-14.82,-14.82,-0.05
2017-04-10,11.41,-5.26,3.33,-0.15
2017-04-11,-1.88,-1.88,-1.88,-0.05
2017-04-12,2.7,2.7,2.7,-0.25
2017-04-13,-2.88,-2.88,-2.88,-0.28
2017-04-17,-6.63,-6.26,-3.03,0.53
2017-04-18,-7.33,-7.33,-7.33,-0.09
2017-04-19,6.06,6.06,6.06,-0.35
2017-04-20,-0.85,-0.85,-0.85,0.46
2017-04-21,9.34,9.34,9.34,0.9
2017-04-24,-1.08,5.83,2.49,1.13
2017-04-25,-6.66,-6.66,-6.66,0.39
2017-04-26,2.19,2.19,2.19,-0.09
2017-04-27,3.78,3.78,3.78,0.44
2017-04-28,-0.18,-0.18,-0.18,0.19
