Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-1.45,-1.45,-14.62,0.24
2016-11-03,5.77,7.27,7.27,0.4
2016-11-04,22.73,22.73,22.73,0.52
2016-11-07,-22.34,-22.34,-22.34,0.78
2016-11-08,-4.93,-4.93,-4.93,-0.08
2016-11-09,0.73,0.73,22.1,1.55
2016-11-10,-0.82,-44.74,-44.74,0.17
2016-11-11,25.0,25.0,25.0,-0.66
2016-11-14,29.55,29.55,29.55,-1.71
2016-11-15,-6.16,-6.16,-6.16,-0.25
2016-11-16,-17.62,-17.62,25.06,0.23
2016-11-17,-12.59,56.76,56.76,0.15
2016-11-18,-77.78,-77.78,-77.78,0.99
2016-11-21,29.0,29.0,-20.27,0.12
2016-11-22,-20.27,6.55,6.25,-0.39
2016-11-23,-12.5,-32.25,-32.25,-0.24
2016-11-25,76.0,76.0,76.0,0.35
2016-11-28,-41.67,-41.67,-41.67,-1.11
2016-11-29,-1.33,-1.33,-1.33,0.39
2016-11-30,-12.0,-12.0,2.83,-0.88
2016-12-01,-3.78,-19.05,-19.05,-0.54
2016-12-02,40.0,40.0,40.0,0.33
2016-12-05,-10.59,-10.59,-10.59,0.98
2016-12-06,5.88,5.88,5.88,1.66
2016-12-07,-12.43,-12.43,-1.58,1.09
2016-12-08,6.31,-27.59,-27.59,0.16
2016-12-09,41.67,41.67,41.67,0.85
2016-12-12,4.16,4.16,4.16,0.17
2016-12-13,9.73,9.73,9.73,0.47
2016-12-14,-33.34,-33.34,5.33,-1.0
2016-12-15,5.78,66.67,66.67,0.35
2016-12-16,-50.0,-50.0,-50.0,-0.55
2016-12-19,-20.59,-20.59,-20.59,-0.36
2016-12-20,10.59,10.59,10.59,0.31
2016-12-21,-29.13,-29.13,-26.0,-0.52
2016-12-22,-6.87,101.0,101.0,-0.28
2016-12-23,-100.0,-100.0,-100.0,-0.04
2016-12-27,26.19,26.19,26.19,0.36
2016-12-28,-5.5,-5.5,13.89,-0.19
2016-12-29,-13.19,-11.11,-11.11,-0.33
2016-12-30,-5.55,-5.55,-5.55,0.11
2017-01-03,-7.78,-7.78,-7.78,-0.44
2017-01-04,11.11,11.11,21.48,1.04
2017-01-05,6.67,-19.58,-19.58,-0.08
2017-01-06,51.43,51.43,51.43,0.82
2017-01-09,-27.06,-27.06,-27.06,-0.69
2017-01-10,-25.67,-25.67,-25.67,-0.57
2017-01-11,2.52,2.52,-3.36,0.52
2017-01-12,-10.18,52.38,52.38,-0.32
2017-01-13,-50.0,-50.0,-50.0,0.31
2017-01-17,-8.51,-8.51,-8.51,-0.72
2017-01-18,25.17,25.17,1.43,0.26
2017-01-19,-21.43,-13.33,-13.33,-0.19
2017-01-20,16.67,16.67,16.67,0.3
2017-01-23,1.75,1.75,1.75,-0.04
2017-01-24,14.14,14.14,14.14,0.63
2017-01-25,14.11,14.11,-3.02,0.39
2017-01-26,-7.65,-36.0,-36.0,0.49
2017-01-27,10.0,10.0,10.0,-0.47
2017-01-30,16.19,16.19,16.19,-0.18
2017-01-31,-2.38,-2.38,-2.38,2.36
2017-02-01,8.01,8.01,-4.19,0.21
2017-02-02,-5.89,3.26,3.26,-0.08
2017-02-03,2.27,2.27,2.27,-0.33
2017-02-06,0.73,0.73,0.73,-0.6
2017-02-07,-3.76,-3.76,-3.76,-0.38
2017-02-08,6.06,6.06,-8.98,-0.48
2017-02-09,12.01,2.38,2.38,0.22
2017-02-10,-19.04,-19.04,-19.04,0.67
2017-02-13,25.12,25.12,25.12,0.93
2017-02-14,3.04,3.04,3.04,0.08
2017-02-15,-5.3,-5.3,-31.31,0.47
2017-02-16,-2.94,38.89,38.89,0.09
2017-02-17,-25.0,-25.0,-25.0,0.17
2017-02-21,0.64,0.64,0.64,-0.14
2017-02-22,29.53,29.53,14.81,-0.13
2017-02-23,-20.96,-37.91,-37.91,0.21
2017-02-24,25.25,25.25,25.25,0.0
2017-02-27,5.58,5.58,5.58,-0.3
2017-02-28,-11.17,-11.17,-11.17,-0.04
2017-03-01,1.05,1.05,5.55,1.07
2017-03-02,-4.04,9.53,9.53,-0.93
2017-03-03,-5.36,-5.36,-5.36,-0.16
2017-03-06,-1.79,-1.79,-1.79,0.27
2017-03-07,-21.42,-21.42,-21.42,-0.43
2017-03-08,46.82,46.82,-4.82,-0.2
2017-03-09,-19.93,13.64,13.64,0.35
2017-03-10,-25.0,-25.0,-25.0,-0.12
2017-03-13,13.46,13.46,13.46,-0.18
2017-03-14,-8.83,-8.83,-8.83,-0.07
2017-03-15,16.2,16.2,5.36,0.11
2017-03-16,-8.33,-32.86,-32.86,0.34
2017-03-17,-10.0,-10.0,-10.0,-0.28
2017-03-20,25.81,25.81,25.81,-0.11
2017-03-21,-10.25,-10.25,-10.25,-1.03
2017-03-22,6.44,6.44,29.11,-0.04
2017-03-23,-5.87,-25.24,-25.24,0.03
2017-03-24,-20.0,-20.0,-20.0,0.12
2017-03-27,37.84,37.84,37.84,-0.84
2017-03-28,-11.91,-11.91,-11.91,0.13
2017-03-29,14.07,14.07,20.24,-0.47
2017-03-30,-12.41,14.67,14.67,0.72
2017-03-31,-62.5,-62.5,-62.5,0.06
2017-04-03,35.9,35.9,35.9,-0.54
2017-04-04,2.03,2.03,2.03,-0.28
2017-04-05,-14.25,-14.25,21.67,0.46
2017-04-06,-3.68,-16.67,-16.67,0.04
2017-04-07,-2.78,-2.78,-2.78,0.09
2017-04-10,21.53,21.53,21.53,0.14
2017-04-11,-11.75,-11.75,-7.14,-0.36
2017-04-12,4.84,-5.0,-5.0,-0.32
2017-04-13,13.33,13.33,13.33,-0.57
2017-04-17,19.05,19.05,19.05,0.97
2017-04-18,-33.03,-33.03,-33.03,0.02
2017-04-19,-7.81,-7.81,-17.46,0.07
2017-04-20,17.03,-11.11,-11.11,0.95
2017-04-21,22.22,22.22,22.22,-0.21
2017-04-24,10.13,10.13,10.13,0.54
2017-04-25,13.92,13.92,13.92,0.08
2017-04-26,-26.27,-26.27,-26.27,-0.99
2017-04-27,26.43,26.43,26.43,-0.87
2017-04-28,-14.95,-14.95,-14.95,0.2
