Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-1.45,-1.45,-1.45,0.24
2016-11-03,5.77,5.77,5.77,0.4
2016-11-04,-14.62,-14.62,-14.62,0.52
2016-11-07,7.66,-22.34,-4.76,0.78
2016-11-08,-4.93,-4.93,-4.93,-0.08
2016-11-09,0.73,0.73,0.73,1.55
2016-11-10,-0.82,-0.82,-0.82,0.17
2016-11-11,22.1,22.1,22.1,-0.66
2016-11-14,9.81,29.55,31.3,-1.71
2016-11-15,-6.16,-6.16,-6.16,-0.25
2016-11-16,-17.62,-17.62,-17.62,0.23
2016-11-17,-12.59,-12.59,-12.59,0.15
2016-11-18,25.06,25.06,25.06,0.99
2016-11-21,7.98,29.0,-3.93,0.12
2016-11-22,-20.27,-20.27,-20.27,-0.39
2016-11-23,6.55,6.55,6.55,-0.24
2016-11-25,-6.25,6.25,0.0,0.35
2016-11-28,2.08,-41.67,-1.75,-1.11
2016-11-29,-1.33,-1.33,-1.33,0.39
2016-11-30,-12.0,-12.0,-12.0,-0.88
2016-12-01,-3.78,-3.78,-3.78,-0.54
2016-12-02,2.83,2.83,2.83,0.33
2016-12-05,10.36,-10.59,9.73,0.98
2016-12-06,5.88,5.88,5.88,1.66
2016-12-07,-12.43,-12.43,-12.43,1.09
2016-12-08,6.31,6.31,6.31,0.16
2016-12-09,-1.58,-1.58,-1.58,0.85
2016-12-12,18.24,4.16,22.74,0.17
2016-12-13,9.73,9.73,9.73,0.47
2016-12-14,-33.34,-33.34,-33.34,-1.0
2016-12-15,5.78,5.78,5.78,0.35
2016-12-16,5.33,5.33,5.33,-0.55
2016-12-19,-3.92,-20.59,-31.7,-0.36
2016-12-20,10.59,10.59,10.59,0.31
2016-12-21,-29.13,-29.13,-29.13,-0.52
2016-12-22,-6.87,-6.87,-6.87,-0.28
2016-12-23,21.0,21.0,21.0,-0.04
2016-12-27,1.19,26.19,-4.81,0.36
2016-12-28,-5.5,-5.5,-5.5,-0.19
2016-12-29,-13.19,-13.19,-13.19,-0.33
2016-12-30,11.94,11.94,11.94,0.11
2017-01-03,-10.55,-7.78,-14.02,-0.44
2017-01-04,11.11,11.11,11.11,1.04
2017-01-05,6.67,6.67,6.67,-0.08
2017-01-06,21.48,21.48,21.48,0.82
2017-01-09,4.79,-27.06,0.7,-0.69
2017-01-10,-25.67,-25.67,-25.67,-0.57
2017-01-11,2.52,2.52,2.52,0.52
2017-01-12,-10.18,-10.18,-10.18,-0.32
2017-01-13,-1.96,-1.96,-1.96,0.31
2017-01-17,-9.49,-8.51,-20.66,-0.72
2017-01-18,25.17,25.17,25.17,0.26
2017-01-19,-21.43,-21.43,-21.43,-0.19
2017-01-20,1.43,1.43,1.43,0.3
2017-01-23,5.09,1.75,8.42,-0.04
2017-01-24,14.14,14.14,14.14,0.63
2017-01-25,14.11,14.11,14.11,0.39
2017-01-26,-7.65,-7.65,-7.65,0.49
2017-01-27,-3.02,-3.02,-3.02,-0.47
2017-01-30,-9.81,16.19,10.86,-0.18
2017-01-31,-2.38,-2.38,-2.38,2.36
2017-02-01,8.01,8.01,8.01,0.21
2017-02-02,-5.89,-5.89,-5.89,-0.08
2017-02-03,-4.19,-4.19,-4.19,-0.33
2017-02-06,6.26,0.73,3.33,-0.6
2017-02-07,-3.76,-3.76,-3.76,-0.38
2017-02-08,6.06,6.06,6.06,-0.48
2017-02-09,12.01,12.01,12.01,0.22
2017-02-10,-8.98,-8.98,-8.98,0.67
2017-02-13,8.46,25.12,13.22,0.93
2017-02-14,3.04,3.04,3.04,0.08
2017-02-15,-5.3,-5.3,-5.3,0.47
2017-02-16,-2.94,-2.94,-2.94,0.09
2017-02-17,5.83,5.83,5.83,0.17
2017-02-21,-16.78,0.64,-6.49,-0.14
2017-02-22,29.53,29.53,29.53,-0.13
2017-02-23,-20.96,-20.96,-20.96,0.21
2017-02-24,14.81,14.81,14.81,0.0
2017-02-27,-7.08,5.58,9.78,-0.3
2017-02-28,-11.17,-11.17,-11.17,-0.04
2017-03-01,1.05,1.05,1.05,1.07
2017-03-02,-4.04,-4.04,-4.04,-0.93
2017-03-03,5.55,5.55,5.55,-0.16
2017-03-06,2.38,-1.79,-2.19,0.27
2017-03-07,-21.42,-21.42,-21.42,-0.43
2017-03-08,46.82,46.82,46.82,-0.2
2017-03-09,-19.93,-19.93,-19.93,0.35
2017-03-10,-4.82,-4.82,-4.82,-0.12
2017-03-13,2.1,13.46,1.34,-0.18
2017-03-14,-8.83,-8.83,-8.83,-0.07
2017-03-15,16.2,16.2,16.2,0.11
2017-03-16,-8.33,-8.33,-8.33,0.34
2017-03-17,5.36,5.36,5.36,-0.28
2017-03-20,-17.05,25.81,8.19,-0.11
2017-03-21,-10.25,-10.25,-10.25,-1.03
2017-03-22,6.44,6.44,6.44,-0.04
2017-03-23,-5.87,-5.87,-5.87,0.03
2017-03-24,29.11,29.11,29.11,0.12
2017-03-27,-7.4,37.84,16.09,-0.84
2017-03-28,-11.91,-11.91,-11.91,0.13
2017-03-29,14.07,14.07,14.07,-0.47
2017-03-30,-12.41,-12.41,-12.41,0.72
2017-03-31,20.24,20.24,20.24,0.06
2017-04-03,-11.93,35.9,-0.88,-0.54
2017-04-04,2.03,2.03,2.03,-0.28
2017-04-05,-14.25,-14.25,-14.25,0.46
2017-04-06,-3.68,-3.68,-3.68,0.04
2017-04-07,21.67,21.67,21.67,0.09
2017-04-10,2.08,21.53,14.12,0.14
2017-04-11,-11.75,-11.75,-11.75,-0.36
2017-04-12,4.84,4.84,4.84,-0.32
2017-04-13,-4.7,-4.7,-4.7,-0.57
2017-04-17,20.24,19.05,24.76,0.97
2017-04-18,-33.03,-33.03,-33.03,0.02
2017-04-19,-7.81,-7.81,-7.81,0.07
2017-04-20,17.03,17.03,17.03,0.95
2017-04-21,-17.46,-17.46,-17.46,-0.21
2017-04-24,21.24,10.13,21.24,0.54
2017-04-25,13.92,13.92,13.92,0.08
2017-04-26,-26.27,-26.27,-26.27,-0.99
