Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-7.84,-7.84,6.3,-0.96
2016-11-03,0.32,2.18,2.18,-0.2
2016-11-04,-14.51,-14.51,-14.51,-0.11
2016-11-07,6.45,6.45,6.45,2.55
2016-11-08,1.83,1.83,1.83,-0.24
2016-11-09,0.25,0.25,-1.2,-2.15
2016-11-10,5.55,4.06,4.06,-6.77
2016-11-11,0.24,0.24,0.24,-0.64
2016-11-14,1.88,1.88,1.88,-1.4
2016-11-15,-3.67,-3.67,-3.67,0.21
2016-11-16,-3.2,-3.2,2.38,1.6
2016-11-17,5.66,7.31,7.31,-0.16
2016-11-18,-2.15,-2.15,-2.15,0.18
2016-11-21,-5.72,-5.72,-2.58,2.75
2016-11-22,-2.58,-5.2,15.56,0.08
2016-11-23,-10.71,-6.12,-6.12,-0.35
2016-11-25,-6.94,-6.94,-6.94,-0.28
2016-11-28,5.64,5.64,5.64,-0.48
2016-11-29,11.29,11.29,11.29,0.58
2016-11-30,0.96,0.96,6.75,-0.51
2016-12-01,-7.57,9.11,9.11,0.22
2016-12-02,-14.49,-14.49,-14.49,3.59
2016-12-05,5.3,5.3,5.3,-1.65
2016-12-06,1.07,1.07,1.07,5.41
2016-12-07,0.43,0.43,-10.38,0.82
2016-12-08,-3.52,5.99,5.99,-2.15
2016-12-09,-2.03,-2.03,-2.03,-0.36
2016-12-12,4.2,4.2,4.2,-0.05
2016-12-13,3.38,3.38,3.38,0.95
2016-12-14,-5.78,-5.78,-4.58,-0.34
2016-12-15,6.13,-0.87,-0.87,1.56
2016-12-16,7.72,7.72,7.72,-0.78
2016-12-19,-4.91,-4.91,-4.91,1.23
2016-12-20,-0.15,-0.15,-0.15,-0.33
2016-12-21,-3.82,-3.82,-2.44,1.38
2016-12-22,-2.07,8.95,8.95,-0.92
2016-12-23,-5.93,-5.93,-5.93,0.01
2016-12-27,-1.5,-1.5,-1.5,2.76
2016-12-28,-3.97,-3.97,7.88,-2.46
2016-12-29,5.44,5.69,5.69,-0.56
2016-12-30,-3.92,-3.92,-3.92,-1.53
2017-01-03,-4.25,-4.25,-4.25,3.69
2017-01-04,0.09,0.09,5.55,1.92
2017-01-05,0.13,-1.65,-1.65,2.4
2017-01-06,10.72,10.72,10.72,-0.74
2017-01-09,-10.07,-10.07,-10.07,-0.12
2017-01-10,-7.86,-7.86,-7.86,-1.06
2017-01-11,4.87,4.87,1.63,0.61
2017-01-12,-0.13,0.15,0.15,-1.32
2017-01-13,-1.04,-1.04,-1.04,4.52
2017-01-17,0.7,0.7,0.7,-0.81
2017-01-18,-1.08,-1.08,-3.9,0.37
2017-01-19,-4.85,1.8,1.8,5.15
2017-01-20,-0.71,-0.71,-0.71,0.19
2017-01-23,4.06,4.06,4.06,-1.21
2017-01-24,6.17,6.17,6.17,2.72
2017-01-25,-3.38,-3.38,3.82,-0.59
2017-01-26,-1.53,8.8,8.8,-0.56
2017-01-27,-10.48,-10.48,-10.48,3.49
2017-01-30,-1.24,-1.24,-1.24,-1.23
2017-01-31,-2.58,-2.58,-2.58,-0.51
2017-02-01,0.27,0.27,4.81,0.07
2017-02-02,-0.24,12.99,12.99,-1.58
2017-02-03,-22.22,-22.22,-22.22,1.05
2017-02-06,9.69,9.69,9.69,0.72
2017-02-07,2.53,2.53,2.53,3.03
2017-02-08,-6.84,-6.84,6.81,0.74
2017-02-09,-5.46,-0.38,-0.38,-0.6
2017-02-10,-9.18,-9.18,-9.18,0.68
2017-02-13,3.54,3.54,3.54,-1.62
2017-02-14,6.35,6.35,6.35,-2.38
2017-02-15,-2.85,-2.85,-22.12,1.45
2017-02-16,-3.98,26.86,26.86,-0.26
2017-02-17,4.64,4.64,4.64,0.21
2017-02-21,-8.71,-8.71,-8.71,0.38
