Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-6.94,-6.94,-6.94,-0.96
2016-11-03,-4.73,-4.73,-4.73,-0.2
2016-11-04,15.53,15.53,15.53,-0.11
2016-11-07,-13.49,-15.0,-15.75,2.55
2016-11-08,2.54,2.54,2.54,-0.24
2016-11-09,6.67,6.67,6.67,-2.15
2016-11-10,1.97,1.97,1.97,-6.77
2016-11-11,-2.51,-2.51,-2.51,-0.64
2016-11-14,15.86,-2.39,6.42,-1.4
2016-11-15,-4.53,-4.53,-4.53,0.21
2016-11-16,-15.61,-15.61,-15.61,1.6
2016-11-17,18.34,18.34,18.34,-0.16
2016-11-18,4.35,4.35,4.35,0.18
2016-11-21,0.03,4.38,-1.72,2.75
2016-11-22,-8.26,-8.26,-8.26,0.08
2016-11-23,-7.87,-7.87,-7.87,-0.35
2016-11-25,0.92,6.34,3.63,-0.28
2016-11-28,0.1,-2.29,-5.06,-0.48
2016-11-29,11.33,11.33,11.33,0.58
2016-11-30,2.96,2.96,2.96,-0.51
2016-12-01,-11.17,-11.17,-11.17,0.22
2016-12-02,-1.56,-1.56,-1.56,3.59
2016-12-05,11.21,3.34,2.24,-1.65
2016-12-06,-0.22,-0.22,-0.22,5.41
2016-12-07,3.43,3.43,3.43,0.82
2016-12-08,-11.63,-11.63,-11.63,-2.15
2016-12-09,-13.23,-13.23,-13.23,-0.36
2016-12-12,23.96,-8.63,-0.45,-0.05
2016-12-13,-2.5,-2.5,-2.5,0.95
2016-12-14,-7.39,-7.39,-7.39,-0.34
2016-12-15,4.99,4.99,4.99,1.56
2016-12-16,0.13,0.13,0.13,-0.78
2016-12-19,-4.78,-18.18,-9.7,1.23
2016-12-20,-0.86,-0.86,-0.86,-0.33
2016-12-21,-0.93,-0.93,-0.93,1.38
2016-12-22,-0.62,-0.62,-0.62,-0.92
2016-12-23,-1.23,-1.23,-1.23,0.01
2016-12-27,-1.39,-30.83,-18.75,2.76
2016-12-28,-4.32,-4.32,-4.32,-2.46
2016-12-29,-4.13,-4.13,-4.13,-0.56
2016-12-30,10.24,10.24,10.24,-1.53
2017-01-03,4.28,-5.11,-8.07,3.69
2017-01-04,4.0,4.0,4.0,1.92
2017-01-05,0.64,0.64,0.64,2.4
2017-01-06,2.29,2.29,2.29,-0.74
2017-01-09,5.1,-14.64,-4.38,-0.12
2017-01-10,-17.22,-17.22,-17.22,-1.06
2017-01-11,19.75,19.75,19.75,0.61
2017-01-12,-4.18,-4.18,-4.18,-1.32
2017-01-13,-6.66,-6.66,-6.66,4.52
2017-01-17,6.28,-6.21,-1.06,-0.81
2017-01-18,-5.46,-5.46,-5.46,0.37
2017-01-19,-11.08,-11.08,-11.08,5.15
2017-01-20,1.55,1.55,1.55,0.19
2017-01-23,11.42,-2.27,3.49,-1.21
2017-01-24,2.53,2.53,2.53,2.72
2017-01-25,-10.48,-10.48,-10.48,-0.59
2017-01-26,2.04,2.04,2.04,-0.56
2017-01-27,10.4,10.4,10.4,3.49
2017-01-30,4.99,11.75,1.86,-1.23
2017-01-31,-9.48,-9.48,-9.48,-0.51
2017-02-01,-4.51,-4.51,-4.51,0.07
2017-02-02,-3.1,-3.1,-3.1,-1.58
2017-02-03,6.52,6.52,6.52,1.05
2017-02-06,11.51,35.42,14.49,0.72
2017-02-07,-7.73,-7.73,-7.73,3.03
2017-02-08,-7.17,-7.17,-7.17,0.74
2017-02-09,-10.52,-10.52,-10.52,-0.6
2017-02-10,14.19,14.19,14.19,0.68
2017-02-13,-12.74,0.34,-0.32,-1.62
2017-02-14,3.41,3.41,3.41,-2.38
2017-02-15,4.71,4.71,4.71,1.45
2017-02-16,-1.39,-1.39,-1.39,-0.26
2017-02-17,2.97,2.97,2.97,0.21
2017-02-21,-0.42,-15.94,6.54,0.38
2017-02-22,10.04,10.04,10.04,1.26
2017-02-23,-17.44,-17.44,-17.44,-1.08
2017-02-24,-18.43,-18.43,-18.43,0.47
2017-02-27,27.19,14.95,9.51,0.16
2017-02-28,-9.93,-9.93,-9.93,-1.28
2017-03-01,8.29,8.29,8.29,0.52
2017-03-02,-18.93,-18.93,-18.93,-3.12
2017-03-03,4.41,4.41,4.41,-0.39
2017-03-06,3.13,-10.17,0.67,2.8
2017-03-07,7.61,7.61,7.61,-0.51
2017-03-08,-2.38,-2.38,-2.38,-1.11
2017-03-09,-4.77,-4.77,-4.77,0.21
2017-03-10,7.15,7.15,7.15,0.36
2017-03-13,17.33,-1.71,18.06,2.63
2017-03-14,-19.29,-19.29,-19.29,-0.33
2017-03-15,8.62,8.62,8.62,2.06
2017-03-16,-1.59,-1.59,-1.59,-0.86
2017-03-17,-11.07,-11.07,-11.07,0.72
2017-03-20,25.38,9.13,13.52,0.72
2017-03-21,-18.61,-18.61,-18.61,-3.41
2017-03-22,-1.4,-1.4,-1.4,0.23
2017-03-23,-3.0,-3.0,-3.0,-0.81
2017-03-24,11.25,11.25,11.25,0.18
2017-03-27,6.27,9.13,3.42,2.04
2017-03-28,-12.91,-12.91,-12.91,1.11
2017-03-29,13.38,13.38,13.38,1.3
2017-03-30,-13.59,-13.59,-13.59,1.59
2017-03-31,7.56,7.56,7.56,-0.25
2017-04-03,-15.0,-15.0,-12.22,-0.89
2017-04-04,0.98,0.98,0.98,-1.42
2017-04-05,7.44,7.44,7.44,-1.88
2017-04-06,-4.32,-4.32,-4.32,0.12
2017-04-07,1.75,1.75,1.75,-0.63
2017-04-10,-6.92,-5.36,-7.78,0.74
2017-04-11,6.29,6.29,6.29,0.5
2017-04-12,6.21,6.21,6.21,-0.52
2017-04-13,-1.16,-1.16,-1.16,-0.91
2017-04-17,0.47,-7.04,0.51,4.33
2017-04-18,-2.79,-2.79,-2.79,-3.89
