Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-3.8,-3.8,-4.52,0.1
2016-11-03,5.62,21.66,21.66,0.01
2016-11-04,-14.28,-14.28,-14.28,0.23
2016-11-07,21.85,21.85,21.85,0.95
2016-11-08,-11.77,-11.77,-11.77,0.17
2016-11-09,3.58,3.58,15.34,0.04
2016-11-10,-15.61,43.75,43.75,-0.73
2016-11-11,-25.0,-25.0,-25.0,0.38
2016-11-14,-26.85,-26.85,-26.85,-0.56
2016-11-15,2.87,2.87,2.87,-0.08
2016-11-16,-2.45,-2.45,-5.21,0.55
2016-11-17,10.61,1.59,1.59,0.91
2016-11-18,-1.71,-1.71,-1.71,-0.49
2016-11-21,1.71,1.71,4.44,0.18
2016-11-22,4.44,18.95,-4.63,0.43
2016-11-23,-3.95,-7.87,-7.87,-0.37
2016-11-25,24.17,24.17,24.17,0.18
2016-11-28,-39.05,-39.05,-39.05,-0.51
2016-11-29,-9.84,-9.84,-9.84,-0.38
2016-11-30,13.16,13.16,6.92,-0.56
2016-12-01,-7.86,-10.0,-10.0,0.58
2016-12-02,26.67,26.67,26.67,-0.19
2016-12-05,-12.07,-12.07,-12.07,1.39
2016-12-06,-9.66,-9.66,-9.66,-1.28
2016-12-07,0.51,0.51,4.92,1.53
2016-12-08,-4.54,20.84,20.84,-0.55
2016-12-09,4.16,4.16,4.16,0.17
2016-12-12,-20.13,-20.13,-20.13,-0.18
2016-12-13,3.85,3.85,3.85,0.76
2016-12-14,9.24,9.24,3.7,-0.51
2016-12-15,-8.23,5.74,5.74,-0.5
2016-12-16,-1.59,-1.59,-1.59,-0.37
2016-12-19,-11.26,-11.26,-11.26,-0.07
2016-12-20,-3.77,-3.77,-3.77,0.94
2016-12-21,-0.88,-0.88,28.52,0.51
2016-12-22,6.83,6.86,6.86,-0.16
2016-12-23,-9.8,-9.8,-9.8,-0.23
2016-12-27,-25.18,-25.18,-25.18,-0.62
2016-12-28,-8.61,-8.61,13.59,-0.27
2016-12-29,3.54,32.5,32.5,0.04
2016-12-30,-18.67,-18.67,-18.67,-0.23
2017-01-03,-11.18,-11.18,-11.18,1.15
2017-01-04,-7.31,-7.31,15.67,1.09
2017-01-05,-1.89,1.71,1.71,-0.01
2017-01-06,-5.0,-5.0,-5.0,0.85
2017-01-09,-7.37,-7.37,-7.37,-0.53
2017-01-10,12.89,12.89,12.89,-0.27
2017-01-11,-17.9,-17.9,22.44,-0.42
2017-01-12,7.94,-12.59,-12.59,-0.29
2017-01-13,2.2,2.2,2.2,0.52
2017-01-17,-21.43,-21.43,-21.43,0.73
2017-01-18,0.0,0.0,12.75,-0.38
2017-01-19,-8.7,12.62,12.62,-0.34
2017-01-20,10.25,10.25,10.25,0.27
2017-01-23,-10.25,-10.25,-10.25,0.04
2017-01-24,-25.64,-25.64,-25.64,0.21
2017-01-25,15.38,15.38,13.65,0.41
2017-01-26,-9.35,14.29,14.29,-0.21
2017-01-27,0.0,0.0,0.0,-0.46
2017-01-30,-21.0,-21.0,-21.0,-0.11
2017-01-31,-11.38,-11.38,-11.38,-0.18
2017-02-01,-0.95,-0.95,10.83,0.12
2017-02-02,-15.0,12.5,12.5,-0.22
2017-02-03,7.14,7.14,7.14,-0.44
2017-02-06,0.55,0.55,0.55,0.44
2017-02-07,-6.08,-6.08,-6.08,0.01
2017-02-08,-6.87,-6.87,-0.4,1.07
2017-02-09,8.2,14.13,14.13,1.43
2017-02-10,2.08,2.08,2.08,0.91
2017-02-13,-5.79,-5.79,-5.79,-0.13
2017-02-14,-4.42,-4.42,-4.42,0.36
2017-02-15,8.13,8.13,-2.57,0.19
2017-02-16,-6.67,11.97,11.97,-0.35
2017-02-17,-13.89,-13.89,-13.89,0.46
2017-02-21,-9.21,-9.21,-9.21,0.61
2017-02-22,2.63,2.63,-1.82,0.88
2017-02-23,-11.28,44.68,44.68,-0.85
2017-02-24,-58.33,-58.33,-58.33,0.47
2017-02-27,-15.0,-15.0,-15.0,-0.17
2017-02-28,23.33,23.33,23.33,-0.53
2017-03-01,1.85,1.85,-31.25,0.79
2017-03-02,23.15,12.5,12.5,-0.15
2017-03-03,18.75,18.75,18.75,-1.1
2017-03-06,-16.67,-16.67,-16.67,0.07
2017-03-07,-8.33,-8.33,-8.33,-0.22
2017-03-08,-9.65,-9.65,1.72,-0.04
2017-03-09,9.65,29.53,29.53,-0.15
2017-03-10,-1.25,-1.25,-1.25,0.07
2017-03-13,-13.33,-13.33,-13.33,0.24
2017-03-14,-24.02,-24.02,-24.02,0.61
2017-03-15,17.35,17.35,-12.8,0.38
2017-03-16,15.76,0.37,0.37,-0.06
2017-03-17,3.34,3.34,3.34,0.2
2017-03-20,-9.63,-9.63,-9.63,0.88
2017-03-21,-9.6,-9.6,-9.6,-0.67
2017-03-22,-4.17,-4.17,13.91,-4.09
2017-03-23,2.82,-10.0,-10.0,1.45
2017-03-24,-50.0,-50.0,-50.0,0.99
2017-03-27,53.12,53.12,53.12,-0.43
2017-03-28,-11.45,-11.45,-11.45,0.69
2017-03-29,-1.32,-1.32,13.4,0.06
2017-03-30,-1.75,-52.0,-52.0,-0.64
2017-03-31,75.0,75.0,75.0,-0.31
2017-04-03,-42.5,-42.5,-42.5,-0.17
2017-04-04,0.83,0.83,0.83,-0.52
2017-04-05,-5.33,-5.33,36.9,-0.06
2017-04-06,17.45,17.65,17.65,0.16
2017-04-07,-66.67,-66.67,-66.67,-0.03
