Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,2.51,2.51,2.51,0.1
2016-11-03,-0.32,-0.32,-0.32,0.01
2016-11-04,-4.55,-4.55,-4.55,0.23
2016-11-07,34.8,12.07,15.1,0.95
2016-11-08,-16.62,-16.62,-16.62,0.17
2016-11-09,12.44,12.44,12.44,0.04
2016-11-10,-20.39,-20.39,-20.39,-0.73
2016-11-11,20.19,20.19,20.19,0.38
2016-11-14,-16.78,-25.76,-33.88,-0.56
2016-11-15,9.09,9.09,9.09,-0.08
2016-11-16,-10.0,-10.0,-10.0,0.55
2016-11-17,24.86,24.86,24.86,0.91
2016-11-18,-23.83,-23.83,-23.83,-0.49
2016-11-21,14.14,1.32,9.26,0.18
2016-11-22,11.5,11.5,11.5,0.43
2016-11-23,0.0,0.0,0.0,-0.37
2016-11-25,3.33,-1.43,0.95,0.18
2016-11-28,-38.0,-48.0,-37.05,-0.51
2016-11-29,4.11,4.11,4.11,-0.38
2016-11-30,17.94,17.94,17.94,-0.56
2016-12-01,-16.31,-16.31,-16.31,0.58
2016-12-02,9.32,9.32,9.32,-0.19
2016-12-05,1.72,-38.72,-6.33,1.39
2016-12-06,-12.74,-12.74,-12.74,-1.28
2016-12-07,4.28,4.28,4.28,1.53
2016-12-08,1.54,1.54,1.54,-0.55
2016-12-09,1.47,1.47,1.47,0.17
2016-12-12,5.76,-19.33,-11.97,-0.18
2016-12-13,2.38,2.38,2.38,0.76
2016-12-14,13.84,13.84,13.84,-0.51
2016-12-15,-7.53,-7.53,-7.53,-0.5
2016-12-16,6.51,6.51,6.51,-0.37
2016-12-19,-9.61,-11.99,-12.23,-0.07
2016-12-20,-10.83,-10.83,-10.83,0.94
2016-12-21,-1.95,-1.95,-1.95,0.51
2016-12-22,3.67,3.67,3.67,-0.16
2016-12-23,0.43,0.43,0.43,-0.23
2016-12-27,1.37,-25.71,-22.5,-0.62
2016-12-28,-7.75,-7.75,-7.75,-0.27
2016-12-29,-0.98,-0.98,-0.98,0.04
2016-12-30,-3.22,-3.22,-3.22,-0.23
2017-01-03,13.76,-17.49,-12.0,1.15
2017-01-04,-4.74,-4.74,-4.74,1.09
2017-01-05,-9.66,-9.66,-9.66,-0.01
2017-01-06,22.12,22.12,22.12,0.85
2017-01-09,-6.9,-14.71,-11.05,-0.53
2017-01-10,12.96,12.96,12.96,-0.27
2017-01-11,-14.57,-14.57,-14.57,-0.42
2017-01-12,-0.11,-0.11,-0.11,-0.29
2017-01-13,10.81,10.81,10.81,0.52
2017-01-17,-12.75,-25.88,-25.24,0.73
2017-01-18,-2.22,-2.22,-2.22,-0.38
2017-01-19,-9.74,-9.74,-9.74,-0.34
2017-01-20,15.62,15.62,15.62,0.27
2017-01-23,13.16,-25.73,-3.97,0.04
2017-01-24,-20.3,-20.3,-20.3,0.21
2017-01-25,8.86,8.86,8.86,0.41
2017-01-26,-18.39,-18.39,-18.39,-0.21
2017-01-27,26.67,26.67,26.67,-0.46
2017-01-30,-2.11,-22.11,-12.59,-0.11
2017-01-31,-31.57,-31.57,-31.57,-0.18
2017-02-01,12.01,12.01,12.01,0.12
2017-02-02,-14.52,-14.52,-14.52,-0.22
2017-02-03,18.13,18.13,18.13,-0.44
