Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,0.0,0.0,0.0,-9000.0
2016-11-03,-1.0,-1.0,-1.0,-27000.0
2016-11-04,29.57,29.57,29.57,11000.0
2016-11-07,-28.57,1.0,-42.52,13000.0
2016-11-08,66.67,66.67,66.67,4000.0
2016-11-09,-6.67,-6.67,-6.67,-48000.0
2016-11-10,-60.0,-60.0,-60.0,53000.0
2016-11-11,66.67,66.67,66.67,-51000.0
2016-11-14,-26.67,-60.0,-48.89,-45000.0
2016-11-15,-6.67,-6.67,-6.67,-14000.0
2016-11-16,66.67,66.67,66.67,19000.0
2016-11-17,-66.67,-66.67,-66.67,10000.0
2016-11-18,16.67,16.67,16.67,18000.0
2016-11-21,-50.0,1.0,-16.0,7000.0
2016-11-22,0.0,0.0,0.0,47000.0
2016-11-23,0.0,0.0,0.0,9000.0
2016-11-24,-1.0,-1.0,-1.0,1000.0
2016-11-25,1.0,1.0,1.0,0.0
2016-11-28,11.11,11.11,11.44,27000.0
2016-11-29,88.89,88.89,88.89,0.0
2016-11-30,-33.33,-33.33,-33.33,69000.0
2016-12-01,-6.67,-6.67,-6.67,3000.0
2016-12-02,20.0,20.0,20.0,-22000.0
2016-12-05,-80.0,1.0,-26.0,-9000.0
2016-12-06,10.0,10.0,10.0,30000.0
2016-12-07,6.67,6.67,6.67,24000.0
2016-12-08,3.33,3.33,3.33,18000.0
2016-12-09,0.0,0.0,0.0,-10000.0
2016-12-12,-20.0,1.0,-6.0,-28000.0
2016-12-13,100.0,100.0,100.0,14000.0
2016-12-14,-101.0,-101.0,-101.0,11000.0
2016-12-15,51.0,51.0,51.0,-18000.0
2016-12-16,50.0,50.0,50.0,34000.0
2016-12-19,-101.0,0.0,-33.67,2000.0
2016-12-20,67.67,67.67,67.67,17000.0
2016-12-21,-66.67,-66.67,-66.67,-7000.0
2016-12-22,20.0,20.0,20.0,4000.0
2016-12-23,30.0,30.0,30.0,-27000.0
2016-12-26,-51.0,0.0,-17.0,16000.0
2016-12-27,1.0,1.0,1.0,1000.0
2016-12-28,50.0,50.0,50.0,-11000.0
2016-12-29,-21.43,-21.43,-21.43,14000.0
2016-12-30,-28.57,-28.57,-28.57,0.0
2017-01-02,50.0,51.0,17.0,3000.0
2017-01-03,0.0,0.0,0.0,19000.0
2017-01-04,0.0,0.0,0.0,-16000.0
2017-01-05,-25.0,-25.0,-25.0,-30000.0
2017-01-06,41.67,41.67,41.67,32000.0
2017-01-09,-41.67,26.0,3.44,51000.0
2017-01-10,-25.0,-25.0,-25.0,1000.0
2017-01-11,50.0,50.0,50.0,52000.0
2017-01-12,-5.56,-5.56,-5.56,26000.0
2017-01-13,22.23,22.23,22.23,-67000.0
2017-01-16,-67.67,0.0,-22.56,-40000.0
2017-01-17,1.0,1.0,1.0,15000.0
2017-01-18,100.0,100.0,100.0,-1000.0
2017-01-19,-25.0,-25.0,-25.0,27000.0
2017-01-20,-50.0,-50.0,-50.0,-14000.0
2017-01-23,-25.0,1.0,-7.67,43000.0
2017-01-24,50.0,50.0,50.0,5000.0
2017-01-25,0.0,0.0,0.0,62000.0
2017-01-26,-51.0,-51.0,-51.0,25000.0
2017-01-27,101.0,101.0,101.0,0.0
2017-01-30,0.0,101.0,67.33,0.0
2017-01-31,-50.0,-50.0,-50.0,-22000.0
2017-02-01,25.0,25.0,25.0,-17000.0
2017-02-02,0.0,0.0,0.0,12000.0
2017-02-03,25.0,25.0,25.0,5000.0
2017-02-06,-50.0,51.0,17.33,5000.0
2017-02-07,0.0,0.0,0.0,-37000.0
