Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-2.36,-2.36,-0.3,-13.78
2016-11-03,0.77,11.54,11.54,-9.28
2016-11-04,-13.37,-13.37,-13.37,-3.48
2016-11-07,8.43,8.43,8.43,46.34
2016-11-08,2.13,2.13,2.13,8.04
2016-11-09,-7.85,-7.85,3.93,23.7
2016-11-10,1.58,6.34,6.34,4.22
2016-11-11,-15.16,-15.16,-15.16,-3.03
2016-11-14,6.83,6.83,6.83,-0.25
2016-11-15,1.61,1.61,1.61,16.19
2016-11-16,-0.45,-0.45,-7.16,-3.45
2016-11-17,0.38,14.19,14.19,10.18
2016-11-18,-4.52,-4.52,-4.52,-5.22
2016-11-21,0.97,0.97,-4.2,16.28
2016-11-22,-4.2,1.91,-1.26,4.76
2016-11-23,-1.35,3.66,3.66,1.78
2016-11-25,7.5,7.5,7.5,8.63
2016-11-28,-4.38,-4.38,-4.38,-11.63
2016-11-29,-4.4,-4.4,-4.4,2.94
2016-11-30,10.4,10.4,2.35,-5.85
2016-12-01,-14.03,-11.37,-11.37,-7.73
2016-12-02,24.88,24.88,24.88,0.87
2016-12-05,-4.13,-4.13,-4.13,12.76
2016-12-06,-5.04,-5.04,-5.04,7.52
2016-12-07,0.0,0.0,7.49,29.12
2016-12-08,-3.82,-16.28,-16.28,4.84
2016-12-09,21.66,21.66,21.66,13.34
2016-12-12,-4.17,-4.17,-4.17,-2.57
2016-12-13,-10.4,-10.4,-10.4,14.76
2016-12-14,2.48,2.48,6.57,-18.44
2016-12-15,-6.13,-1.9,-1.9,8.75
2016-12-16,0.93,0.93,0.93,-3.96
2016-12-19,3.17,3.17,3.17,4.46
2016-12-20,6.73,6.73,6.73,8.23
2016-12-21,-5.69,-5.69,10.27,-5.58
2016-12-22,1.19,-12.84,-12.84,-4.22
2016-12-23,-0.25,-0.25,-0.25,2.83
2016-12-27,18.96,18.96,18.96,5.09
2016-12-28,-13.8,-13.8,11.37,-18.96
2016-12-29,-5.66,0.05,0.05,-0.66
2016-12-30,-9.58,-9.58,-9.58,-10.43
2017-01-03,7.17,7.17,7.17,19.0
2017-01-04,9.87,9.87,-1.3,12.92
2017-01-05,0.02,-0.77,-0.77,-1.75
2017-01-06,-2.42,-2.42,-2.42,7.98
2017-01-09,1.57,1.57,1.57,-8.08
2017-01-10,-1.15,-1.15,-1.15,0.0
2017-01-11,3.68,3.68,-17.09,6.42
2017-01-12,-5.74,17.58,17.58,-4.88
2017-01-13,1.15,1.15,1.15,4.2
2017-01-17,4.03,4.03,4.03,-6.75
2017-01-18,-13.79,-13.79,19.53,4.0
2017-01-19,-3.14,-10.33,-10.33,-8.2
2017-01-20,-0.69,-0.69,-0.69,7.62
2017-01-23,4.39,4.39,4.39,-6.11
2017-01-24,-6.3,-6.3,-6.3,14.87
2017-01-25,11.11,11.11,-4.65,18.3
2017-01-26,-8.84,-2.51,-2.51,-1.69
2017-01-27,8.79,8.79,8.79,-1.99
2017-01-30,4.22,4.22,4.22,-13.79
2017-01-31,-5.63,-5.63,-5.63,-2.03
2017-02-01,-0.25,-0.25,-9.76,0.68
2017-02-02,2.42,0.13,0.13,1.3
2017-02-03,6.69,6.69,6.69,16.57
2017-02-06,-1.9,-1.9,-1.9,-4.86
2017-02-07,4.54,4.54,4.54,0.52
2017-02-08,-4.64,-4.64,0.95,1.59
2017-02-09,3.01,-1.08,-1.08,13.2
2017-02-10,3.72,3.72,3.72,8.23
2017-02-13,0.92,0.92,0.92,12.15
2017-02-14,-10.86,-10.86,-10.86,9.33
2017-02-15,2.63,2.63,16.92,11.67
2017-02-16,-2.66,-15.62,-15.62,-2.03
2017-02-17,8.57,8.57,8.57,3.94
2017-02-21,-6.42,-6.42,-6.42,14.22
2017-02-22,-1.5,-1.5,1.17,-2.56
2017-02-23,-3.64,4.04,4.04,0.99
2017-02-24,-4.31,-4.31,-4.31,3.53
2017-02-27,4.07,4.07,4.07,2.39
2017-02-28,-0.31,-0.31,-0.31,-6.09
2017-03-01,-4.72,-4.72,2.51,32.32
2017-03-02,-0.28,12.4,12.4,-14.04
2017-03-03,-24.17,-24.17,-24.17,1.2
2017-03-06,15.2,15.2,15.2,-7.81
2017-03-07,-6.84,-6.84,-6.84,-6.92
2017-03-08,6.98,6.98,2.53,-5.41
2017-03-09,-2.84,4.16,4.16,1.89
2017-03-10,-10.73,-10.73,-10.73,7.73
2017-03-13,2.2,2.2,2.2,0.87
2017-03-14,2.98,2.98,2.98,-8.02
2017-03-15,1.04,1.04,12.25,19.81
2017-03-16,-1.74,-10.19,-10.19,-3.88
2017-03-17,-2.9,-2.9,-2.9,-3.13
2017-03-20,3.36,3.36,3.36,-4.78
2017-03-21,-6.09,-6.09,-6.09,-29.45
2017-03-22,-3.38,-3.38,0.08,4.43
2017-03-23,4.25,-0.08,-0.08,-2.49
2017-03-24,-7.39,-7.39,-7.39,-1.98
2017-03-27,2.6,2.6,2.6,-2.39
2017-03-28,6.01,6.01,6.01,16.98
2017-03-29,2.99,2.99,-1.71,2.56
2017-03-30,-0.32,-1.19,-1.19,6.93
2017-03-31,-0.31,-0.31,-0.31,-5.34
2017-04-03,-0.85,-0.85,-0.85,-3.88
2017-04-04,-2.16,-2.16,-2.16,1.32
2017-04-05,-1.71,-1.71,0.14,-7.21
2017-04-06,-0.77,0.12,0.12,4.54
2017-04-07,1.71,1.71,1.71,-1.95
2017-04-10,4.56,4.56,4.56,1.62
2017-04-11,0.1,0.1,-6.46,-3.38
2017-04-12,-4.78,-1.0,-1.0,-8.85
2017-04-13,5.96,5.96,5.96,-15.98
2017-04-17,3.85,3.85,3.85,20.06
2017-04-18,-2.59,-2.59,-2.59,-6.82
2017-04-19,-1.78,-1.78,-5.71,-4.02
2017-04-20,10.04,-6.43,-6.43,17.67
2017-04-21,5.0,5.0,5.0,-7.15
