Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-3.31,-3.31,-3.31,-13.78
2016-11-03,3.3,3.3,3.3,-9.28
2016-11-04,-0.84,-0.84,-0.84,-3.48
2016-11-07,5.94,8.9,4.27,46.34
2016-11-08,0.64,0.64,0.64,8.04
2016-11-09,-5.52,-5.52,-5.52,23.7
2016-11-10,-0.65,-0.65,-0.65,4.22
2016-11-11,1.18,1.18,1.18,-3.03
2016-11-14,-1.5,9.24,1.84,-0.25
2016-11-15,3.7,3.7,3.7,16.19
2016-11-16,0.83,0.83,0.83,-3.45
2016-11-17,-1.88,-1.88,-1.88,10.18
2016-11-18,-2.97,-2.97,-2.97,-5.22
2016-11-21,5.7,2.03,2.6,16.28
2016-11-22,-0.72,-0.72,-0.72,4.76
2016-11-23,-0.67,-0.67,-0.67,1.78
2016-11-25,-2.73,-1.27,-2.0,8.63
2016-11-28,6.53,-3.27,2.35,-11.63
2016-11-29,-5.84,-5.84,-5.84,2.94
2016-11-30,11.29,11.29,11.29,-5.85
2016-12-01,-12.61,-12.61,-12.61,-7.73
2016-12-02,5.04,5.04,5.04,0.87
2016-12-05,5.35,0.97,7.43,12.76
2016-12-06,-4.91,-4.91,-4.91,7.52
2016-12-07,4.03,4.03,4.03,29.12
2016-12-08,-7.07,-7.07,-7.07,4.84
2016-12-09,6.07,6.07,6.07,13.34
2016-12-12,1.15,-1.24,5.52,-2.57
2016-12-13,-9.95,-9.95,-9.95,14.76
2016-12-14,4.87,4.87,4.87,-18.44
2016-12-15,-6.47,-6.47,-6.47,8.75
2016-12-16,13.05,13.05,13.05,-3.96
2016-12-19,-6.22,3.92,-0.37,4.46
2016-12-20,8.7,8.7,8.7,8.23
2016-12-21,-5.67,-5.67,-5.67,-5.58
2016-12-22,-0.43,-0.43,-0.43,-4.22
2016-12-23,-2.41,-2.41,-2.41,2.83
2016-12-27,13.34,18.16,12.26,5.09
2016-12-28,-13.47,-13.47,-13.47,-18.96
2016-12-29,-1.13,-1.13,-1.13,-0.66
2016-12-30,-9.72,-9.72,-9.72,-10.43
2017-01-03,11.63,10.15,6.09,19.0
2017-01-04,4.05,4.05,4.05,12.92
2017-01-05,2.36,2.36,2.36,-1.75
2017-01-06,-1.62,-1.62,-1.62,7.98
2017-01-09,-4.1,3.07,-0.71,-8.08
2017-01-10,1.23,1.23,1.23,0.0
2017-01-11,3.61,3.61,3.61,6.42
2017-01-12,-4.85,-4.85,-4.85,-4.88
2017-01-13,-0.05,-0.05,-0.05,4.2
2017-01-17,5.02,8.78,9.39,-6.75
2017-01-18,-12.89,-12.89,-12.89,4.0
2017-01-19,-0.93,-0.93,-0.93,-8.2
2017-01-20,13.04,13.04,13.04,7.62
2017-01-23,-2.32,-2.02,-0.72,-6.11
2017-01-24,-4.53,-4.53,-4.53,14.87
2017-01-25,8.08,8.08,8.08,18.3
2017-01-26,-6.2,-6.2,-6.2,-1.69
2017-01-27,-4.35,-4.35,-4.35,-1.99
2017-01-30,9.21,8.51,10.13,-13.79
2017-01-31,-2.08,-2.08,-2.08,-2.03
2017-02-01,-1.48,-1.48,-1.48,0.68
2017-02-02,2.75,2.75,2.75,1.3
2017-02-03,-8.53,-8.53,-8.53,16.57
2017-02-06,1.24,3.3,3.38,-4.86
2017-02-07,4.56,4.56,4.56,0.52
2017-02-08,-4.75,-4.75,-4.75,1.59
2017-02-09,1.8,1.8,1.8,13.2
2017-02-10,2.92,2.92,2.92,8.23
2017-02-13,2.41,3.6,3.82,12.15
2017-02-14,-9.1,-9.1,-9.1,9.33
2017-02-15,3.18,3.18,3.18,11.67
2017-02-16,-2.48,-2.48,-2.48,-2.03
2017-02-17,-2.28,-2.28,-2.28,3.94
2017-02-21,0.08,-7.17,-5.19,14.22
2017-02-22,0.69,0.69,0.69,-2.56
2017-02-23,-2.99,-2.99,-2.99,0.99
2017-02-24,2.32,2.32,2.32,3.53
2017-02-27,4.2,3.7,3.1,2.39
2017-02-28,-3.43,-3.43,-3.43,-6.09
2017-03-01,-2.67,-2.67,-2.67,32.32
2017-03-02,-0.29,-0.29,-0.29,-14.04
2017-03-03,-0.24,-0.24,-0.24,1.2
2017-03-06,3.41,11.4,1.74,-7.81
2017-03-07,-3.88,-3.88,-3.88,-6.92
2017-03-08,6.79,6.79,6.79,-5.41
2017-03-09,-1.4,-1.4,-1.4,1.89
2017-03-10,-5.05,-5.05,-5.05,7.73
2017-03-13,2.96,8.03,1.43,0.87
2017-03-14,-1.0,-1.0,-1.0,-8.02
2017-03-15,2.61,2.61,2.61,19.81
2017-03-16,-2.67,-2.67,-2.67,-3.88
2017-03-17,10.09,10.09,10.09,-3.13
2017-03-20,-5.9,8.6,1.02,-4.78
2017-03-21,-7.56,-7.56,-7.56,-29.45
2017-03-22,-3.03,-3.03,-3.03,4.43
