Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-0.68,-0.68,0.49,-2.77
2016-11-03,1.57,3.61,3.61,-0.6
2016-11-04,12.36,12.36,12.36,3.14
2016-11-07,-12.71,-12.71,-12.71,2.65
2016-11-08,3.56,3.56,3.56,1.73
2016-11-09,-6.43,-6.43,3.68,-4.88
2016-11-10,0.15,2.17,2.17,-4.71
2016-11-11,10.77,10.77,10.77,3.21
2016-11-14,-14.7,-14.7,-14.7,-7.11
2016-11-15,1.2,1.2,1.2,2.32
2016-11-16,-1.05,-1.05,-0.04,0.16
2016-11-17,-4.59,8.57,8.57,4.73
2016-11-18,-1.75,-1.75,-1.75,-3.64
2016-11-21,-5.82,-5.82,1.1,-0.5
2016-11-22,1.1,-0.89,1.93,6.65
2016-11-23,-1.99,7.47,7.47,1.97
2016-11-25,9.73,9.73,9.73,3.51
2016-11-28,-17.4,-17.4,-17.4,-0.53
2016-11-29,2.27,2.27,2.27,-6.55
2016-11-30,0.18,0.18,0.82,-0.17
2016-12-01,-2.39,1.8,1.8,-7.52
2016-12-02,-0.21,-0.21,-0.21,-0.41
2016-12-05,1.91,1.91,1.91,5.33
2016-12-06,-2.77,-2.77,-2.77,-0.95
2016-12-07,6.74,6.74,0.3,7.3
2016-12-08,-5.43,7.42,7.42,-0.86
2016-12-09,-3.76,-3.76,-3.76,-0.11
2016-12-12,-2.78,-2.78,-2.78,0.25
2016-12-13,4.25,4.25,4.25,5.72
2016-12-14,2.15,2.15,5.83,0.54
2016-12-15,-5.06,10.08,10.08,-1.11
2016-12-16,-18.1,-18.1,-18.1,4.91
2016-12-19,6.77,6.77,6.77,0.24
2016-12-20,-3.89,-3.89,-3.89,6.06
2016-12-21,-1.31,-1.31,4.06,-1.09
2016-12-22,0.49,-5.85,-5.85,0.75
2016-12-23,21.66,21.66,21.66,4.89
2016-12-27,-21.93,-21.93,-21.93,6.19
2016-12-28,2.19,2.19,16.5,0.21
2016-12-29,-0.82,0.6,0.6,-5.06
2016-12-30,-12.0,-12.0,-12.0,-0.99
2017-01-03,-2.53,-2.53,-2.53,3.3
2017-01-04,0.29,0.29,9.57,10.0
2017-01-05,-2.01,-10.06,-10.06,-0.24
2017-01-06,3.88,3.88,3.88,2.26
2017-01-09,-5.01,-5.01,-5.01,2.27
2017-01-10,4.21,4.21,4.21,-1.41
2017-01-11,-5.58,-5.58,5.89,-0.14
2017-01-12,5.26,-2.4,-2.4,-0.14
2017-01-13,5.91,5.91,5.91,8.16
2017-01-17,-4.59,-4.59,-4.59,-2.17
2017-01-18,-7.91,-7.91,2.98,2.78
2017-01-19,2.36,6.81,6.81,5.4
2017-01-20,-3.63,-3.63,-3.63,0.97
2017-01-23,-2.7,-2.7,-2.7,4.19
2017-01-24,-3.22,-3.22,-3.22,5.69
2017-01-25,-0.5,-0.5,-2.88,-0.14
2017-01-26,1.36,4.2,4.2,-1.96
2017-01-27,11.29,11.29,11.29,0.44
2017-01-30,-9.41,-9.41,-9.41,-2.32
2017-01-31,-3.99,-3.99,-3.99,1.3
2017-02-01,1.48,1.48,8.98,-2.69
2017-02-02,2.35,8.12,8.12,2.31
2017-02-03,-11.84,-11.84,-11.84,-0.22
2017-02-06,-9.9,-9.9,-9.9,6.44
2017-02-07,1.51,1.51,1.51,-0.29
2017-02-08,3.02,3.02,0.97,4.6
2017-02-09,-2.95,5.13,5.13,7.12
2017-02-10,-2.3,-2.3,-2.3,0.03
2017-02-13,-3.48,-3.48,-3.48,11.37
2017-02-14,-1.37,-1.37,-1.37,0.38
2017-02-15,-0.14,-0.14,12.44,-1.22
2017-02-16,-2.81,-5.67,-5.67,-10.81
2017-02-17,1.54,1.54,1.54,3.28
2017-02-21,-1.93,-1.93,-1.93,5.16
2017-02-22,-8.48,-8.48,0.57,-3.88
2017-02-23,0.06,-1.9,-1.9,-17.52
2017-02-24,0.39,0.39,0.39,1.01
2017-02-27,-0.39,-0.39,-0.39,-10.77
2017-02-28,1.08,1.08,1.08,3.76
2017-03-01,1.52,1.52,0.73,0.03
2017-03-02,-0.96,0.02,0.02,0.46
2017-03-03,3.14,3.14,3.14,1.09
2017-03-06,-4.08,-4.08,-4.08,-0.36
2017-03-07,-0.13,-0.13,-0.13,-2.62
2017-03-08,0.34,0.34,3.75,-1.72
2017-03-09,-0.57,-4.08,-4.08,-1.97
2017-03-10,1.68,1.68,1.68,-1.21
2017-03-13,1.27,1.27,1.27,2.48
2017-03-14,-1.82,-1.82,-1.82,11.83
2017-03-15,-0.14,-0.14,-1.86,-2.27
2017-03-16,2.33,-0.1,-0.1,6.32
2017-03-17,3.02,3.02,3.02,-0.55
2017-03-20,-2.4,-2.4,-2.4,0.42
2017-03-21,-0.1,-0.1,-0.1,-11.24
2017-03-22,1.62,1.62,-1.59,4.33
2017-03-23,0.69,-0.42,-0.42,-0.23
2017-03-24,-2.6,-2.6,-2.6,8.38
2017-03-27,4.45,4.45,4.45,7.06
2017-03-28,-0.15,-0.15,-0.15,7.23
2017-03-29,-0.03,-0.03,-0.67,-0.07
2017-03-30,1.41,4.57,4.57,0.54
2017-03-31,-4.16,-4.16,-4.16,0.38
2017-04-03,-1.25,-1.25,-1.25,20.22
2017-04-04,0.14,0.14,0.14,5.18
2017-04-05,-2.25,-2.25,2.58,-8.7
2017-04-06,-0.13,-1.59,-1.59,3.7
2017-04-07,1.3,1.3,1.3,3.84
2017-04-10,-1.94,-1.94,-1.94,9.85
2017-04-11,-1.51,-1.51,0.91,-3.68
2017-04-12,-0.76,0.47,0.47,-11.87
2017-04-13,-0.46,-0.46,-0.46,7.16
2017-04-17,0.94,0.94,0.94,-2.56
2017-04-18,-1.59,-1.59,-1.59,-1.19
2017-04-19,0.39,0.39,1.3,5.27
2017-04-20,-1.31,5.54,5.54,-3.01
2017-04-21,-6.77,-6.77,-6.77,3.09
2017-04-24,1.63,1.63,1.63,2.43
2017-04-25,0.28,0.28,0.28,5.76
2017-04-26,-2.16,-2.16,-2.16,-3.62
2017-04-27,0.82,0.82,0.82,-1.54
2017-04-28,0.61,0.61,0.61,5.44
