Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-2.26,-2.26,-2.26,-2.77
2016-11-03,5.7,5.7,5.7,-0.6
2016-11-04,-2.62,-2.62,-2.62,3.14
2016-11-07,7.64,-5.71,1.62,2.65
2016-11-08,-0.06,-0.06,-0.06,1.73
2016-11-09,-4.21,-4.21,-4.21,-4.88
2016-11-10,-0.63,-0.63,-0.63,-4.71
2016-11-11,5.6,5.6,5.6,3.21
2016-11-14,-4.55,-20.97,-8.39,-7.11
2016-11-15,0.73,0.73,0.73,2.32
2016-11-16,-3.11,-3.11,-3.11,0.16
2016-11-17,-0.78,-0.78,-0.78,4.73
2016-11-18,-1.92,-1.92,-1.92,-3.64
2016-11-21,3.93,-1.81,-1.35,-0.5
2016-11-22,2.38,2.38,2.38,6.65
2016-11-23,-5.13,-5.13,-5.13,1.97
2016-11-25,-1.05,-2.14,-1.6,3.51
2016-11-28,-1.61,-18.22,-8.11,-0.53
2016-11-29,5.77,5.77,5.77,-6.55
2016-11-30,0.81,0.81,0.81,-0.17
2016-12-01,-4.14,-4.14,-4.14,-7.52
2016-12-02,0.51,0.51,0.51,-0.41
2016-12-05,6.38,6.69,6.29,5.33
2016-12-06,-5.03,-5.03,-5.03,-0.95
2016-12-07,6.65,6.65,6.65,7.3
2016-12-08,-3.53,-3.53,-3.53,-0.86
2016-12-09,-1.42,-1.42,-1.42,-0.11
2016-12-12,4.57,0.08,0.23,0.25
2016-12-13,8.32,8.32,8.32,5.72
2016-12-14,-2.29,-2.29,-2.29,0.54
2016-12-15,-8.11,-8.11,-8.11,-1.11
2016-12-16,4.52,4.52,4.52,4.91
2016-12-19,4.87,12.61,4.1,0.24
2016-12-20,-7.23,-7.23,-7.23,6.06
2016-12-21,-5.25,-5.25,-5.25,-1.09
2016-12-22,2.8,2.8,2.8,0.75
2016-12-23,0.28,0.28,0.28,4.89
2016-12-27,-2.52,-14.22,-5.26,6.19
2016-12-28,1.23,1.23,1.23,0.21
2016-12-29,1.69,1.69,1.69,-5.06
2016-12-30,-5.3,-5.3,-5.3,-0.99
2017-01-03,2.77,-0.5,-4.16,3.3
2017-01-04,4.17,4.17,4.17,10.0
2017-01-05,-4.8,-4.8,-4.8,-0.24
2017-01-06,9.79,9.79,9.79,2.26
2017-01-09,-10.18,2.69,-4.1,2.27
2017-01-10,1.32,1.32,1.32,-1.41
2017-01-11,-0.97,-0.97,-0.97,-0.14
