Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-1.71,-1.71,-1.71,-77.46,0.24,-13.78
2016-11-03,1.19,1.19,1.19,-28.97,0.4,-9.28
2016-11-04,-3.8,-3.8,-3.8,-42.39,0.52,-3.48
2016-11-07,7.75,8.12,7.76,371.32,0.78,46.34
2016-11-08,-6.65,-6.65,-6.65,73.14,-0.08,8.04
2016-11-09,1.79,1.79,1.79,256.95,1.55,23.7
2016-11-10,1.55,1.55,1.55,218.19,0.17,4.22
2016-11-11,-1.57,-1.57,-1.57,39.78,-0.66,-3.03
2016-11-14,2.19,1.75,2.06,21.03,-1.71,-0.25
2016-11-15,0.56,0.56,0.56,54.37,-0.25,16.19
2016-11-16,-3.69,-3.69,-3.69,-54.92,0.23,-3.45
2016-11-17,3.9,3.9,3.9,35.68,0.15,10.18
2016-11-18,-2.97,-2.97,-2.97,-35.89,0.99,-5.22
2016-11-21,2.01,-0.9,-0.15,88.76,0.12,16.28
2016-11-22,0.58,0.58,0.58,67.18,-0.39,4.76
2016-11-23,-1.65,-1.65,-1.65,59.31,-0.24,1.78
2016-11-25,5.45,3.23,4.34,68.96,0.35,8.63
2016-11-28,-3.87,1.25,-2.72,-54.24,-1.11,-11.63
2016-11-29,-0.47,-0.47,-0.47,23.7,0.39,2.94
2016-11-30,-1.39,-1.39,-1.39,1.98,-0.88,-5.85
2016-12-01,-3.2,-3.2,-3.2,68.35,-0.54,-7.73
2016-12-02,0.59,0.59,0.59,-21.51,0.33,0.87
2016-12-05,4.66,-1.02,0.8,45.82,0.98,12.76
2016-12-06,0.32,0.32,0.32,35.54,1.66,7.52
2016-12-07,-3.11,-3.11,-3.11,297.84,1.09,29.12
2016-12-08,-0.07,-0.07,-0.07,65.19,0.16,4.84
2016-12-09,3.11,3.11,3.11,142.04,0.85,13.34
2016-12-12,-3.53,-7.15,-4.63,39.58,0.17,-2.57
2016-12-13,1.65,1.65,1.65,114.78,0.47,14.76
2016-12-14,-5.3,-5.3,-5.3,-118.68,-1.0,-18.44
2016-12-15,4.04,4.04,4.04,59.71,0.35,8.75
2016-12-16,1.93,1.93,1.93,-8.83,-0.55,-3.96
2016-12-19,0.42,-6.07,-3.33,39.65,-0.36,4.46
2016-12-20,0.13,0.13,0.13,91.56,0.31,8.23
2016-12-21,-0.71,-0.71,-0.71,-32.66,-0.52,-5.58
2016-12-22,1.61,1.61,1.61,-23.08,-0.28,-4.22
2016-12-23,1.16,1.16,1.16,14.93,-0.04,2.83
