Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-0.21,-0.21,-1.07,-0.07
2016-11-03,-2.42,-3.17,-3.17,-0.02
2016-11-04,10.81,10.81,10.81,-0.34
2016-11-07,-7.68,-7.68,-7.68,0.77
2016-11-08,-8.8,-8.8,-8.8,0.42
2016-11-09,14.05,14.05,9.17,-0.61
2016-11-10,-10.92,0.49,0.49,-1.33
2016-11-11,-5.37,-5.37,-5.37,0.09
2016-11-14,4.76,4.76,4.76,0.14
2016-11-15,-6.57,-6.57,-6.57,0.27
2016-11-16,-1.75,-1.75,0.96,-0.18
2016-11-17,1.24,20.0,20.0,-0.14
2016-11-18,-11.73,-11.73,-11.73,-0.21
2016-11-21,5.29,5.29,-10.05,0.45
2016-11-22,-10.05,-1.46,5.43,0.01
2016-11-23,-1.32,3.22,3.22,-0.25
2016-11-25,-2.95,-2.95,-2.95,0.41
2016-11-28,-2.76,-2.76,-2.76,0.22
2016-11-29,-2.94,-2.94,-2.94,-0.6
2016-11-30,6.1,6.1,2.2,-0.8
2016-12-01,-1.83,0.28,0.28,-0.18
2016-12-02,-6.81,-6.81,-6.81,0.19
2016-12-05,4.86,4.86,4.86,0.26
2016-12-06,12.76,12.76,12.76,-0.05
2016-12-07,-15.25,-15.25,-0.45,0.72
2016-12-08,-0.1,-2.25,-2.25,-0.31
2016-12-09,0.41,0.41,0.41,1.02
2016-12-12,-5.45,-5.45,-5.45,-0.1
2016-12-13,-3.74,-3.74,-3.74,-0.14
2016-12-14,6.32,6.32,4.59,-0.55
2016-12-15,4.78,0.47,0.47,0.34
2016-12-16,3.95,3.95,3.95,0.19
2016-12-19,-5.54,-5.54,-5.54,-0.07
2016-12-20,2.38,2.38,2.38,-0.01
2016-12-21,-11.77,-11.77,-0.28,-0.09
2016-12-22,8.33,-3.1,-3.1,-0.02
2016-12-23,5.57,5.57,5.57,0.05
2016-12-27,-7.73,-7.73,-7.73,0.01
2016-12-28,6.46,6.46,11.16,-0.22
2016-12-29,-8.01,1.18,1.18,0.21
2016-12-30,-11.74,-11.74,-11.74,-0.14
2017-01-03,2.77,2.77,2.77,0.34
2017-01-04,-3.08,-3.08,-15.6,-0.15
2017-01-05,9.38,9.77,9.77,0.1
2017-01-06,-4.2,-4.2,-4.2,-0.01
2017-01-09,-2.59,-2.59,-2.59,-0.42
2017-01-10,6.39,6.39,6.39,-0.28
2017-01-11,3.67,3.67,21.56,0.01
2017-01-12,-3.08,-7.33,-7.33,-0.1
2017-01-13,-5.01,-5.01,-5.01,-0.07
2017-01-17,6.26,6.26,6.26,0.34
2017-01-18,-5.96,-5.96,0.47,0.07
2017-01-19,7.75,16.53,16.53,-0.15
2017-01-20,-5.5,-5.5,-5.5,0.18
2017-01-23,-3.02,-3.02,-3.02,0.11
2017-01-24,5.52,5.52,5.52,0.47
2017-01-25,6.03,6.03,31.54,0.22
2017-01-26,-31.96,0.0,0.0,-0.31
2017-01-27,0.0,0.0,0.0,-0.36
2017-01-30,-7.0,-7.0,-7.0,-0.07
2017-01-31,0.19,0.19,0.19,0.19
2017-02-01,-3.38,-3.38,-1.91,-0.31
2017-02-02,-4.82,0.12,0.12,0.14
2017-02-03,8.04,8.04,8.04,0.14
2017-02-06,1.14,1.14,1.14,0.02
2017-02-07,4.33,4.33,4.33,0.34
2017-02-08,-6.8,-6.8,-4.63,0.12
2017-02-09,-4.03,7.95,7.95,-0.77
2017-02-10,11.13,11.13,11.13,-0.67
2017-02-13,-15.66,-15.66,-15.66,0.04
2017-02-14,12.43,12.43,12.43,-0.09
2017-02-15,2.05,2.05,15.32,-0.09
2017-02-16,-3.38,-2.64,-2.64,0.76
2017-02-17,-10.04,-10.04,-10.04,0.03
2017-02-21,0.94,0.94,0.94,0.23
2017-02-22,2.93,2.93,3.14,0.14
2017-02-23,5.72,-1.59,-1.59,0.06
2017-02-24,-7.96,-7.96,-7.96,0.12
2017-02-27,2.39,2.39,2.39,-0.11
2017-02-28,-1.47,-1.47,-1.47,0.29
2017-03-01,-4.69,-4.69,9.08,0.2
2017-03-02,7.79,3.52,3.52,0.31
2017-03-03,-12.96,-12.96,-12.96,0.01
2017-03-06,9.33,9.33,9.33,-0.3
2017-03-07,2.81,2.81,2.81,-0.19
2017-03-08,-7.93,-7.93,8.02,0.0
2017-03-09,8.86,1.23,1.23,0.04
2017-03-10,-7.51,-7.51,-7.51,0.26
2017-03-13,-11.29,-11.29,-11.29,-0.26
2017-03-14,4.46,4.46,4.46,-0.06
2017-03-15,-22.97,-22.97,17.09,0.15
2017-03-16,9.9,-9.62,-9.62,0.13
2017-03-17,-22.73,-22.73,-22.73,-0.22
2017-03-20,17.17,17.17,17.17,0.15
2017-03-21,14.61,14.61,14.61,0.32
2017-03-22,-1.46,-1.46,4.04,-0.12
2017-03-23,-5.44,-1.37,-1.37,-0.21
2017-03-24,-4.12,-4.12,-4.12,-0.05
2017-03-27,-2.97,-2.97,-2.97,0.2
2017-03-28,-16.67,-16.67,-16.67,0.11
2017-03-29,14.47,14.47,-20.57,-0.01
2017-03-30,5.7,13.45,13.45,0.18
2017-03-31,0.73,0.73,0.73,-0.16
2017-04-03,1.96,1.96,1.96,-0.03
