Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-1.97,-1.97,-1.97,-0.07
2016-11-03,1.55,1.55,1.55,-0.02
2016-11-04,-4.25,-4.25,-4.25,-0.34
2016-11-07,2.82,-6.35,-0.03,0.77
2016-11-08,-11.66,-11.66,-11.66,0.42
2016-11-09,14.95,14.95,14.95,-0.61
2016-11-10,-10.93,-10.93,-10.93,-1.33
2016-11-11,6.66,6.66,6.66,0.09
2016-11-14,3.88,3.47,2.48,0.14
2016-11-15,-6.52,-6.52,-6.52,0.27
2016-11-16,-1.12,-1.12,-1.12,-0.18
2016-11-17,1.15,1.15,1.15,-0.14
2016-11-18,-1.66,-1.66,-1.66,-0.21
2016-11-21,13.93,4.78,4.12,0.45
2016-11-22,-9.35,-9.35,-9.35,0.01
2016-11-23,-0.46,-0.46,-0.46,-0.25
2016-11-25,1.74,5.41,3.58,0.41
2016-11-28,-0.57,-2.0,-2.45,0.22
2016-11-29,-1.67,-1.67,-1.67,-0.6
2016-11-30,2.85,2.85,2.85,-0.8
2016-12-01,-0.68,-0.68,-0.68,-0.18
2016-12-02,3.27,3.27,3.27,0.19
2016-12-05,-3.58,2.93,-0.64,0.26
2016-12-06,13.49,13.49,13.49,-0.05
2016-12-07,-17.43,-17.43,-17.43,0.72
2016-12-08,3.81,3.81,3.81,-0.31
2016-12-09,-0.8,-0.8,-0.8,1.02
2016-12-12,-7.33,-3.99,-6.17,-0.1
2016-12-13,-1.97,-1.97,-1.97,-0.14
2016-12-14,7.29,7.29,7.29,-0.55
2016-12-15,-0.24,-0.24,-0.24,0.34
2016-12-16,1.04,1.04,1.04,0.19
2016-12-19,3.47,-1.81,1.72,-0.07
2016-12-20,3.58,3.58,3.58,-0.01
2016-12-21,-10.08,-10.08,-10.08,-0.09
2016-12-22,5.9,5.9,5.9,-0.02
2016-12-23,-2.04,-2.04,-2.04,0.05
2016-12-27,1.02,-5.33,0.16,0.01
2016-12-28,2.89,2.89,2.89,-0.22
2016-12-29,-8.67,-8.67,-8.67,0.21
2016-12-30,1.57,1.57,1.57,-0.14
2017-01-03,4.24,1.75,-1.28,0.34
2017-01-04,-3.69,-3.69,-3.69,-0.15
2017-01-05,8.6,8.6,8.6,0.1
