Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-0.8,-0.8,1.34,0.14
2016-11-03,-0.51,0.23,0.23,-0.67
2016-11-04,-1.81,-1.81,-1.81,-0.68
2016-11-07,0.83,0.83,0.83,1.78
2016-11-08,-0.32,-0.32,-0.32,1.29
2016-11-09,1.57,1.57,1.53,0.87
2016-11-10,-0.87,0.97,0.97,-0.47
2016-11-11,-2.49,-2.49,-2.49,-0.29
2016-11-14,1.7,1.7,1.7,3.64
2016-11-15,-0.96,-0.96,-0.96,0.46
2016-11-16,-0.4,-0.4,2.3,0.89
2016-11-17,-0.65,-0.59,-0.59,0.24
2016-11-18,-0.92,-0.92,-0.92,0.55
2016-11-21,-0.46,-0.46,-0.87,-0.5
2016-11-22,-0.87,0.85,2.73,0.19
2016-11-23,0.41,-2.74,-2.74,0.45
2016-11-25,-0.62,-0.62,-0.62,0.52
2016-11-28,1.33,1.33,1.33,1.16
2016-11-29,-4.86,-4.86,-4.86,-1.14
2016-11-30,0.76,0.76,3.77,-1.41
2016-12-01,1.34,-2.06,-2.06,-0.8
2016-12-02,-1.02,-1.02,-1.02,-0.23
2016-12-05,0.37,0.37,0.37,1.05
2016-12-06,0.93,0.93,0.93,-0.04
2016-12-07,0.13,0.13,1.06,0.67
2016-12-08,-0.67,-0.22,-0.22,0.53
2016-12-09,-0.73,-0.73,-0.73,0.81
2016-12-12,-3.13,-3.13,-3.13,0.48
2016-12-13,5.86,5.86,5.86,0.94
2016-12-14,-1.64,-1.64,-1.54,0.16
2016-12-15,1.44,-0.05,-0.05,-0.48
2016-12-16,0.31,0.31,0.31,0.88
2016-12-19,0.13,0.13,0.13,-0.25
2016-12-20,-1.64,-1.64,-1.64,0.34
2016-12-21,1.03,1.03,0.91,-0.15
2016-12-22,1.52,-1.42,-1.42,0.54
2016-12-23,-1.24,-1.24,-1.24,-0.58
2016-12-27,-1.17,-1.17,-1.17,-0.07
2016-12-28,2.19,2.19,0.73,-0.39
2016-12-29,1.58,0.38,0.38,0.11
2016-12-30,-0.95,-0.95,-0.95,-1.07
2017-01-03,0.61,0.61,0.61,-2.1
2017-01-04,-1.23,-1.23,2.64,-0.14
2017-01-05,-1.27,-1.22,-1.22,0.22
2017-01-06,-0.05,-0.05,-0.05,1.06
2017-01-09,2.44,2.44,2.44,-0.33
2017-01-10,-0.62,-0.62,-0.62,-0.18
2017-01-11,-1.54,-1.54,-5.26,0.63
2017-01-12,0.52,2.31,2.31,1.22
2017-01-13,-0.92,-0.92,-0.92,-0.6
2017-01-17,1.7,1.7,1.7,1.25
2017-01-18,-0.13,-0.13,2.37,-0.04
2017-01-19,-2.17,18.36,18.36,-0.53
2017-01-20,-14.17,-14.17,-14.17,0.08
2017-01-23,-6.6,-6.6,-6.6,-0.88
2017-01-24,-6.15,-6.15,-6.15,-0.33
2017-01-25,9.31,9.31,-8.34,0.74
2017-01-26,11.86,0.0,0.0,0.09
2017-01-27,0.0,0.0,0.0,0.98
2017-01-30,9.59,9.59,9.59,0.16
2017-01-31,4.6,4.6,4.6,-0.45
2017-02-01,-6.52,-6.52,3.18,-0.15
2017-02-02,-3.57,-2.31,-2.31,0.8
2017-02-03,2.93,2.93,2.93,1.02
2017-02-06,4.33,4.33,4.33,0.21
2017-02-07,-2.43,-2.43,-2.43,0.14
2017-02-08,3.19,3.19,2.07,0.08
2017-02-09,0.54,-6.94,-6.94,-0.19
2017-02-10,-0.37,-0.37,-0.37,1.34
2017-02-13,-7.34,-7.34,-7.34,-0.28
2017-02-14,-11.99,-11.99,-11.99,0.27
2017-02-15,-7.44,-7.44,-15.41,0.67
2017-02-16,33.42,5.3,5.3,0.22
2017-02-17,6.42,6.42,6.42,1.1
2017-02-21,-6.4,-6.4,-6.4,0.24
2017-02-22,3.35,3.35,-4.7,-0.19
2017-02-23,5.42,-0.64,-0.64,0.42
2017-02-24,-2.92,-2.92,-2.92,0.38
2017-02-27,-2.6,-2.6,-2.6,-1.66
2017-02-28,5.55,5.55,5.55,0.66
2017-03-01,-0.51,-0.51,4.62,1.4
2017-03-02,1.35,-3.06,-3.06,-0.82
2017-03-03,-0.51,-0.51,-0.51,-0.33
2017-03-06,2.65,2.65,2.65,0.13
2017-03-07,-3.83,-3.83,-3.83,0.04
2017-03-08,-11.08,-11.08,2.8,0.02
2017-03-09,3.22,-2.41,-2.41,0.05
2017-03-10,13.25,13.25,13.25,-0.16
2017-03-13,2.0,2.0,2.0,-0.37
2017-03-14,-8.84,-8.84,-8.84,0.19
2017-03-15,6.72,6.72,-0.65,0.08
2017-03-16,-11.13,8.51,8.51,0.1
2017-03-17,-1.28,-1.28,-1.28,0.66
2017-03-20,4.64,4.64,4.64,0.14
2017-03-21,-7.34,-7.34,-7.34,-0.26
2017-03-22,6.08,6.08,2.32,0.58
2017-03-23,0.47,2.68,2.68,-0.1
2017-03-24,-2.98,-2.98,-2.98,0.34
2017-03-27,-7.95,-7.95,-7.95,0.15
2017-03-28,11.42,11.42,11.42,-0.04
2017-03-29,0.42,0.42,-0.95,-0.61
2017-03-30,-2.03,-10.07,-10.07,0.48
2017-03-31,9.9,9.9,9.9,0.29
2017-04-03,-9.26,-9.26,-9.26,0.0
2017-04-04,4.16,4.16,4.16,-0.32
2017-04-05,1.99,1.99,-4.31,1.12
2017-04-06,-1.97,-2.77,-2.77,-0.26
2017-04-07,-0.48,-0.48,-0.48,-0.19
2017-04-10,9.62,9.62,9.62,0.02
2017-04-11,0.41,0.41,-3.35,1.22
2017-04-12,-3.68,-5.06,-5.06,0.06
2017-04-13,4.48,4.48,4.48,-0.5
2017-04-17,-26.91,-26.91,-26.91,0.59
2017-04-18,4.27,4.27,4.27,0.95
2017-04-19,-31.12,-31.12,34.22,0.34
2017-04-20,14.08,-0.53,-0.53,0.63
2017-04-21,-1.84,-1.84,-1.84,0.14
2017-04-24,0.33,0.33,0.33,0.82
2017-04-25,-9.46,-9.46,-9.46,7.47
2017-04-26,2.16,2.16,2.16,-0.86
2017-04-27,8.18,8.18,8.18,0.03
2017-04-28,-7.73,-7.73,-7.73,-0.94
