Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-0.55,-0.55,-0.55,0.14
2016-11-03,0.11,0.11,0.11,-0.67
2016-11-04,1.11,1.11,1.11,-0.68
2016-11-07,-0.67,1.53,-0.53,1.78
2016-11-08,-1.41,-1.41,-1.41,1.29
2016-11-09,2.32,2.32,2.32,0.87
2016-11-10,0.51,0.51,0.51,-0.47
2016-11-11,0.37,0.37,0.37,-0.29
2016-11-14,0.1,1.95,0.23,3.64
2016-11-15,-0.91,-0.91,-0.91,0.46
2016-11-16,0.41,0.41,0.41,0.89
2016-11-17,-2.63,-2.63,-2.63,0.24
2016-11-18,3.29,3.29,3.29,0.55
2016-11-21,-1.47,-0.83,-1.09,-0.5
2016-11-22,-0.62,-0.62,-0.62,0.19
2016-11-23,0.22,0.22,0.22,0.45
2016-11-25,3.37,3.06,3.21,0.52
2016-11-28,-2.96,0.22,-1.17,1.16
2016-11-29,-5.22,-5.22,-5.22,-1.14
2016-11-30,1.06,1.06,1.06,-1.41
2016-12-01,2.34,2.34,2.34,-0.8
2016-12-02,4.05,4.05,4.05,-0.23
2016-12-05,-3.04,0.02,-0.95,1.05
2016-12-06,1.21,1.21,1.21,-0.04
2016-12-07,0.47,0.47,0.47,0.67
2016-12-08,-2.71,-2.71,-2.71,0.53
2016-12-09,3.37,3.37,3.37,0.81
2016-12-12,-4.74,-4.14,-4.33,0.48
2016-12-13,7.26,7.26,7.26,0.94
2016-12-14,-3.27,-3.27,-3.27,0.16
2016-12-15,1.59,1.59,1.59,-0.48
2016-12-16,-0.75,-0.75,-0.75,0.88
2016-12-19,0.84,1.79,1.52,-0.25
2016-12-20,-4.85,-4.85,-4.85,0.34
2016-12-21,3.44,3.44,3.44,-0.15
2016-12-22,1.26,1.26,1.26,0.54
2016-12-23,-2.02,-2.02,-2.02,-0.58
2016-12-27,-3.72,-0.54,-2.65,-0.07
2016-12-28,2.86,2.86,2.86,-0.39
2016-12-29,2.89,2.89,2.89,0.11
2016-12-30,-2.85,-2.85,-2.85,-1.07
2017-01-03,-0.04,-1.25,-1.15,-2.1
2017-01-04,-0.04,-0.04,-0.04,-0.14
