Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,6.07,6.07,-2.97,-0.37
2016-11-03,-3.61,-1.39,-1.39,-0.22
2016-11-04,0.38,0.38,0.38,-0.5
2016-11-07,-1.6,-1.6,-1.6,1.71
2016-11-08,2.4,2.4,2.4,0.05
2016-11-09,-1.03,-1.03,5.46,-0.3
2016-11-10,2.39,-5.7,-5.7,-1.47
2016-11-11,3.32,3.32,3.32,0.32
2016-11-14,-1.54,-1.54,-1.54,-0.9
2016-11-15,0.03,0.03,0.03,0.75
2016-11-16,7.71,7.71,6.32,0.78
2016-11-17,-10.09,-6.73,-6.73,0.99
2016-11-18,-3.1,-3.1,-3.1,-0.29
2016-11-21,1.73,1.73,1.25,0.51
2016-11-22,1.25,-5.03,-1.1,0.26
2016-11-23,7.99,1.12,1.12,-0.72
2016-11-25,-2.11,-2.11,-2.11,0.13
2016-11-28,2.38,2.38,2.38,0.08
2016-11-29,7.08,7.08,7.08,0.48
2016-11-30,6.14,6.14,-1.46,-0.83
2016-12-01,-15.13,4.12,4.12,-1.06
2016-12-02,-6.57,-6.57,-6.57,0.05
2016-12-05,5.01,5.01,5.01,0.97
2016-12-06,8.69,8.69,8.69,-0.27
2016-12-07,-11.17,-11.17,0.69,1.42
2016-12-08,5.0,-4.54,-4.54,-0.36
2016-12-09,-8.35,-8.35,-8.35,0.96
2016-12-12,14.82,14.82,14.82,0.2
2016-12-13,-9.01,-9.01,-9.01,0.81
2016-12-14,0.55,0.55,15.93,-0.3
2016-12-15,2.99,-13.46,-13.46,-0.1
2016-12-16,12.42,12.42,12.42,-0.28
2016-12-19,-9.73,-9.73,-9.73,1.32
2016-12-20,0.28,0.28,0.28,-0.08
2016-12-21,4.9,4.9,0.26,0.0
2016-12-22,1.17,1.95,1.95,0.01
2016-12-23,4.13,4.13,4.13,-0.31
2016-12-27,-0.07,-0.07,-0.07,0.04
2016-12-28,-0.66,-0.66,1.99,-0.29
2016-12-29,2.36,-0.15,-0.15,-0.09
2016-12-30,-3.28,-3.28,-3.28,-0.76
2017-01-03,-16.29,-16.29,-16.29,0.44
2017-01-04,-5.58,-5.58,-1.67,-0.28
2017-01-05,10.68,-6.91,-6.91,0.0
2017-01-06,1.72,1.72,1.72,0.54
2017-01-09,-19.85,-19.85,-19.85,-0.2
2017-01-10,30.21,30.21,30.21,-0.02
2017-01-11,-13.81,-13.81,-4.45,0.57
2017-01-12,-2.47,-1.72,-1.72,-0.58
2017-01-13,1.21,1.21,1.21,0.09
2017-01-17,3.64,3.64,3.64,-0.17
2017-01-18,1.12,1.12,8.99,-0.03
2017-01-19,1.36,14.81,14.81,-0.2
2017-01-20,-0.81,-0.81,-0.81,0.44
2017-01-23,0.62,0.62,0.62,0.22
2017-01-24,-0.99,-0.99,-0.99,0.56
2017-01-25,1.11,1.11,0.9,0.16
2017-01-26,-0.71,0.0,0.0,0.59
2017-01-27,0.0,0.0,0.0,1.51
2017-01-30,0.0,0.0,0.0,-0.65
2017-01-31,1.64,1.64,1.64,-0.48
2017-02-01,-0.68,-0.68,-1.94,-1.07
2017-02-02,0.65,-1.79,-1.79,-0.41
2017-02-03,1.52,1.52,1.52,0.51
2017-02-06,1.64,1.64,1.64,-0.04
2017-02-07,0.14,0.14,0.14,-0.21
2017-02-08,0.31,0.31,-1.26,-0.09
2017-02-09,-0.25,0.11,0.11,0.72
2017-02-10,-0.75,-0.75,-0.75,-0.06
2017-02-13,1.52,1.52,1.52,0.72
2017-02-14,-2.0,-2.0,-2.0,-0.15
2017-02-15,-1.75,-1.75,-4.14,-0.04
2017-02-16,-1.46,-3.45,-3.45,-0.01
2017-02-17,5.76,5.76,5.76,0.1
2017-02-21,-1.54,-1.54,-1.54,-0.13
2017-02-22,2.05,2.05,-1.8,-0.13
2017-02-23,-2.11,4.23,4.23,0.26
2017-02-24,-3.34,-3.34,-3.34,0.0
2017-02-27,1.06,1.06,1.06,-0.39
2017-02-28,2.68,2.68,2.68,-0.25
2017-03-01,-0.87,-0.87,-0.8,0.96
2017-03-02,0.02,0.33,0.33,-0.93
2017-03-03,-4.09,-4.09,-4.09,0.24
2017-03-06,1.7,1.7,1.7,0.02
2017-03-07,-1.62,-1.62,-1.62,0.13
2017-03-08,1.21,1.21,0.13,0.59
2017-03-09,2.24,1.52,1.52,-0.26
2017-03-10,0.89,0.89,0.89,0.2
2017-03-13,-1.95,-1.95,-1.95,-0.22
2017-03-14,0.66,0.66,0.66,-0.3
2017-03-15,-0.05,-0.05,0.67,0.34
2017-03-16,-0.33,0.94,0.94,-0.11
2017-03-17,-3.01,-3.01,-3.01,0.23
2017-03-20,0.33,0.33,0.33,0.06
2017-03-21,-6.71,-6.71,-6.71,-0.72
2017-03-22,8.28,8.28,0.99,0.82
2017-03-23,0.51,-1.34,-1.34,-0.16
2017-03-24,-1.94,-1.94,-1.94,0.11
2017-03-27,-4.63,-4.63,-4.63,0.12
2017-03-28,5.23,5.23,5.23,0.19
2017-03-29,0.87,0.87,-0.79,0.18
2017-03-30,1.67,-0.58,-0.58,0.24
2017-03-31,0.18,0.18,0.18,0.15
2017-04-03,1.3,1.3,1.3,-0.31
2017-04-04,0.42,0.42,0.42,0.18
2017-04-05,0.82,0.82,0.45,-0.17
2017-04-06,-3.61,-0.4,-0.4,0.17
2017-04-07,0.16,0.16,0.16,-0.05
2017-04-10,0.75,0.75,0.75,-0.15
2017-04-11,-3.15,-3.15,-28.51,-0.05
2017-04-12,2.44,32.28,32.28,-0.25
2017-04-13,-1.39,-1.39,-1.39,-0.28
2017-04-17,-1.46,-1.46,-1.46,0.53
2017-04-18,6.52,6.52,6.52,-0.09
2017-04-19,0.88,0.88,-2.05,-0.35
2017-04-20,0.88,-1.29,-1.29,0.46
2017-04-21,-0.59,-0.59,-0.59,0.9
2017-04-24,5.32,5.32,5.32,1.13
2017-04-25,-0.42,-0.42,-0.42,0.39
2017-04-26,-0.11,-0.11,-0.11,-0.09
2017-04-27,-4.73,-4.73,-4.73,0.44
2017-04-28,-0.31,-0.31,-0.31,0.19
