Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-1.23,-1.23,3.69,-0.96
2016-11-03,-1.42,1.54,1.54,-0.2
2016-11-04,0.28,0.28,0.28,-0.11
2016-11-07,-3.38,-3.38,-3.38,2.55
2016-11-08,2.09,2.09,2.09,-0.24
2016-11-09,-0.53,-0.53,-2.28,-2.15
2016-11-10,2.17,2.54,2.54,-6.77
2016-11-11,0.23,0.23,0.23,-0.64
2016-11-14,-3.46,-3.46,-3.46,-1.4
2016-11-15,-1.26,-1.26,-1.26,0.21
2016-11-16,3.8,3.8,-0.41,1.6
2016-11-17,-3.04,1.72,1.72,-0.16
2016-11-18,0.6,0.6,0.6,0.18
2016-11-21,-0.09,-0.09,-1.19,2.75
2016-11-22,-1.19,-0.96,-1.98,0.08
2016-11-23,2.6,0.65,0.65,-0.35
2016-11-25,-0.93,-0.93,-0.93,-0.28
2016-11-28,-2.14,-2.14,-2.14,-0.48
2016-11-29,0.42,0.42,0.42,0.58
2016-11-30,5.75,5.75,-0.7,-0.51
2016-12-01,-0.41,-1.32,-1.32,0.22
2016-12-02,1.09,1.09,1.09,3.59
2016-12-05,-1.41,-1.41,-1.41,-1.65
2016-12-06,-0.65,-0.65,-0.65,5.41
2016-12-07,-0.47,-0.47,4.5,0.82
2016-12-08,0.1,-2.55,-2.55,-2.15
2016-12-09,-0.12,-0.12,-0.12,-0.36
2016-12-12,-1.09,-1.09,-1.09,-0.05
2016-12-13,-1.38,-1.38,-1.38,0.95
2016-12-14,1.37,1.37,1.98,-0.34
2016-12-15,-0.88,1.16,1.16,1.56
2016-12-16,1.1,1.1,1.1,-0.78
2016-12-19,-2.81,-2.81,-2.81,1.23
2016-12-20,-1.19,-1.19,-1.19,-0.33
2016-12-21,0.39,0.39,-0.18,1.38
2016-12-22,-0.26,3.17,3.17,-0.92
2016-12-23,0.56,0.56,0.56,0.01
2016-12-27,-0.79,-0.79,-0.79,2.76
2016-12-28,-0.59,-0.59,2.76,-2.46
2016-12-29,-0.87,2.26,2.26,-0.56
2016-12-30,-2.31,-2.31,-2.31,-1.53
2017-01-03,0.87,0.87,0.87,3.69
2017-01-04,-3.2,-3.2,0.91,1.92
2017-01-05,-0.89,1.73,1.73,2.4
2017-01-06,-3.11,-3.11,-3.11,-0.74
2017-01-09,-0.33,-0.33,-0.33,-0.12
2017-01-10,-0.73,-0.73,-0.73,-1.06
2017-01-11,1.28,1.28,7.88,0.61
2017-01-12,-3.02,1.21,1.21,-1.32
2017-01-13,-0.33,-0.33,-0.33,4.52
2017-01-17,-0.65,-0.65,-0.65,-0.81
2017-01-18,0.99,0.99,0.9,0.37
2017-01-19,-0.46,12.71,12.71,5.15
2017-01-20,-21.16,-21.16,-21.16,0.19
2017-01-23,16.53,16.53,16.53,-1.21
2017-01-24,11.11,11.11,11.11,2.72
2017-01-25,-14.19,-14.19,3.07,-0.59
2017-01-26,7.82,0.0,0.0,-0.56
2017-01-27,0.0,0.0,0.0,3.49
2017-01-30,0.43,0.43,0.43,-1.23
2017-01-31,-2.42,-2.42,-2.42,-0.51
2017-02-01,4.1,4.1,-4.66,0.07
2017-02-02,5.5,-0.83,-0.83,-1.58
2017-02-03,-0.47,-0.47,-0.47,1.05
2017-02-06,0.78,0.78,0.78,0.72
2017-02-07,9.5,9.5,9.5,3.03
2017-02-08,-13.94,-13.94,-1.44,0.74
2017-02-09,2.0,2.39,2.39,-0.6
2017-02-10,-0.49,-0.49,-0.49,0.68
2017-02-13,3.22,3.22,3.22,-1.62
2017-02-14,0.08,0.08,0.08,-2.38
2017-02-15,-3.41,-3.41,3.71,1.45
2017-02-16,0.14,3.52,3.52,-0.26
2017-02-17,3.64,3.64,3.64,0.21
2017-02-21,-3.74,-3.74,-3.74,0.38
2017-02-22,-5.11,-5.11,-7.86,1.26
2017-02-23,6.97,5.75,5.75,-1.08
2017-02-24,6.92,6.92,6.92,0.47
2017-02-27,-8.18,-8.18,-8.18,0.16
2017-02-28,-0.49,-0.49,-0.49,-1.28
2017-03-01,-2.13,-2.13,-5.22,0.52
2017-03-02,7.65,-0.95,-0.95,-3.12
2017-03-03,-2.28,-2.28,-2.28,-0.39
2017-03-06,3.67,3.67,3.67,2.8
2017-03-07,-5.33,-5.33,-5.33,-0.51
2017-03-08,2.6,2.6,0.76,-1.11
2017-03-09,2.41,-3.65,-3.65,0.21
2017-03-10,-2.97,-2.97,-2.97,0.36
2017-03-13,-0.36,-0.36,-0.36,2.63
2017-03-14,5.66,5.66,5.66,-0.33
2017-03-15,0.94,0.94,0.33,2.06
2017-03-16,-2.79,-7.83,-7.83,-0.86
2017-03-17,0.73,0.73,0.73,0.72
2017-03-20,6.29,6.29,6.29,0.72
2017-03-21,-5.83,-5.83,-5.83,-3.41
2017-03-22,-6.82,-6.82,3.21,0.23
2017-03-23,-2.09,6.17,6.17,-0.81
2017-03-24,-21.1,-21.1,-21.1,0.18
2017-03-27,16.76,16.76,16.76,2.04
2017-03-28,5.57,5.57,5.57,1.11
2017-03-29,-0.19,-0.19,3.02,1.3
2017-03-30,-4.46,-9.49,-9.49,1.59
2017-03-31,7.02,7.02,7.02,-0.25
2017-04-03,0.48,0.48,0.48,-0.89
2017-04-04,-2.1,-2.1,-2.1,-1.42
2017-04-05,-0.14,-0.14,7.51,-1.88
2017-04-06,-4.7,0.05,0.05,0.12
2017-04-07,-4.75,-4.75,-4.75,-0.63
2017-04-10,8.82,8.82,8.82,0.74
2017-04-11,4.92,4.92,-8.38,0.5
2017-04-12,-6.54,-0.2,-0.2,-0.52
2017-04-13,-0.05,-0.05,-0.05,-0.91
2017-04-17,-2.05,-2.05,-2.05,4.33
2017-04-18,-3.25,-3.25,-3.25,-3.89
2017-04-19,5.85,5.85,9.33,-3.6
2017-04-20,-3.1,-13.12,-13.12,1.42
2017-04-21,5.22,5.22,5.22,1.69
2017-04-24,6.09,6.09,6.09,0.96
2017-04-25,-1.38,-1.38,-1.38,8.33
2017-04-26,-4.94,-4.94,-4.94,-1.99
2017-04-27,2.95,2.95,2.95,2.91
2017-04-28,2.26,2.26,2.26,-0.88
