Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-8.61,-8.61,-8.61,0.1
2016-11-03,-1.62,-1.62,-1.62,0.01
2016-11-04,4.31,4.31,4.31,0.23
2016-11-07,-1.19,4.04,0.72,0.95
2016-11-08,3.44,3.44,3.44,0.17
2016-11-09,0.59,0.59,0.59,0.04
2016-11-10,-4.49,-4.49,-4.49,-0.73
2016-11-11,1.86,1.86,1.86,0.38
2016-11-14,-4.08,-2.83,-3.38,-0.56
2016-11-15,2.89,2.89,2.89,-0.08
2016-11-16,-3.33,-3.33,-3.33,0.55
2016-11-17,1.85,1.85,1.85,0.91
2016-11-18,-0.23,-0.23,-0.23,-0.49
2016-11-21,1.0,2.08,-0.9,0.18
2016-11-22,0.34,0.34,0.34,0.43
2016-11-23,1.63,1.63,1.63,-0.37
2016-11-25,-3.58,-10.74,-7.16,0.18
2016-11-28,0.28,-3.64,-2.03,-0.51
2016-11-29,-1.78,-1.78,-1.78,-0.38
2016-11-30,6.04,6.04,6.04,-0.56
2016-12-01,-4.32,-4.32,-4.32,0.58
2016-12-02,-1.1,-1.1,-1.1,-0.19
2016-12-05,1.8,3.29,1.99,1.39
2016-12-06,1.52,1.52,1.52,-1.28
2016-12-07,1.25,1.25,1.25,1.53
2016-12-08,-2.08,-2.08,-2.08,-0.55
2016-12-09,1.64,1.64,1.64,0.17
2016-12-12,-3.82,-0.86,-0.66,-0.18
2016-12-13,2.45,2.45,2.45,0.76
2016-12-14,-1.25,-1.25,-1.25,-0.51
2016-12-15,1.92,1.92,1.92,-0.5
2016-12-16,8.17,8.17,8.17,-0.37
2016-12-19,-1.3,-8.48,-0.34,-0.07
2016-12-20,-6.06,-6.06,-6.06,0.94
2016-12-21,-0.96,-0.96,-0.96,0.51
2016-12-22,7.94,7.94,7.94,-0.16
2016-12-23,-0.42,-0.42,-0.42,-0.23
2016-12-27,-4.92,-1.02,-2.92,-0.62
2016-12-28,0.41,0.41,0.41,-0.27
2016-12-29,-3.32,-3.32,-3.32,0.04
2016-12-30,4.48,4.48,4.48,-0.23
2017-01-03,-2.07,1.65,-2.34,1.15
2017-01-04,-5.7,-5.7,-5.7,1.09
2017-01-05,8.16,8.16,8.16,-0.01
2017-01-06,-3.63,-3.63,-3.63,0.85
2017-01-09,5.51,3.44,4.82,-0.53
2017-01-10,-3.55,-3.55,-3.55,-0.27
2017-01-11,-0.87,-0.87,-0.87,-0.42
2017-01-12,-3.95,-3.95,-3.95,-0.29
2017-01-13,3.47,3.47,3.47,0.52
2017-01-17,3.8,5.85,3.38,0.73
2017-01-18,-2.12,-2.12,-2.12,-0.38
2017-01-19,-4.82,-4.82,-4.82,-0.34
2017-01-20,0.32,0.32,0.32,0.27
2017-01-23,27.2,5.4,11.77,0.04
2017-01-24,-4.47,-4.47,-4.47,0.21
2017-01-25,1.85,1.85,1.85,0.41
2017-01-26,2.86,2.86,2.86,-0.21
2017-01-27,-1.34,-1.34,-1.34,-0.46
2017-01-30,-1.28,-1.28,-1.28,-0.11
2017-01-31,0.34,0.34,0.34,-0.18
2017-02-01,0.82,0.82,0.82,0.12
2017-02-02,-1.68,-1.68,-1.68,-0.22
2017-02-03,-3.38,-3.38,-3.38,-0.44
2017-02-06,0.39,-6.3,-3.35,0.44
2017-02-07,0.35,0.35,0.35,0.01
2017-02-08,2.33,2.33,2.33,1.07
2017-02-09,-5.32,-5.32,-5.32,1.43
2017-02-10,4.33,4.33,4.33,0.91
2017-02-13,3.3,-4.2,1.4,-0.13
2017-02-14,-1.51,-1.51,-1.51,0.36
2017-02-15,0.71,0.71,0.71,0.19
2017-02-16,-3.26,-3.26,-3.26,-0.35
2017-02-17,0.34,0.34,0.34,0.46
2017-02-21,2.61,-2.95,-2.01,0.61
2017-02-22,-0.19,-0.19,-0.19,0.88
2017-02-23,-3.05,-3.05,-3.05,-0.85
2017-02-24,2.52,2.52,2.52,0.47
2017-02-27,-2.25,-0.07,-1.02,-0.17
2017-02-28,-0.59,-0.59,-0.59,-0.53
2017-03-01,-2.92,-2.92,-2.92,0.79
2017-03-02,4.69,4.69,4.69,-0.15
2017-03-03,0.89,0.89,0.89,-1.1
2017-03-06,-0.85,-0.49,2.41,0.07
2017-03-07,9.69,9.69,9.69,-0.22
2017-03-08,-2.89,-2.89,-2.89,-0.04
2017-03-09,-5.87,-5.87,-5.87,-0.15
2017-03-10,-4.45,-4.45,-4.45,0.07
2017-03-13,3.61,0.4,2.89,0.24
2017-03-14,-0.09,-0.09,-0.09,0.61
2017-03-15,-1.38,-1.38,-1.38,0.38
2017-03-16,-1.87,-1.87,-1.87,-0.06
2017-03-17,5.16,5.16,5.16,0.2
2017-03-20,0.33,1.05,2.0,0.88
2017-03-21,-1.63,-1.63,-1.63,-0.67
2017-03-22,-0.07,-0.07,-0.07,-4.09
2017-03-23,0.61,0.61,0.61,1.45
2017-03-24,-0.01,-0.01,-0.01,0.99
2017-03-27,-2.3,-2.42,-2.03,-0.43
2017-03-28,2.61,2.61,2.61,0.69
2017-03-29,-3.21,-3.21,-3.21,0.06
2017-03-30,-2.23,-2.23,-2.23,-0.64
2017-03-31,1.37,1.37,1.37,-0.31
2017-04-03,3.19,1.94,3.93,-0.17
2017-04-04,-1.53,-1.53,-1.53,-0.52
2017-04-05,-2.81,-2.81,-2.81,-0.06
2017-04-06,2.2,2.2,2.2,0.16
2017-04-07,0.74,0.74,0.74,-0.03
2017-04-10,-0.39,-2.56,-1.23,-0.21
2017-04-11,-6.42,-6.42,-6.42,0.02
2017-04-12,3.28,3.28,3.28,0.65
2017-04-13,-5.54,-5.54,-5.54,-0.23
2017-04-17,6.55,9.83,3.41,0.9
2017-04-18,1.04,1.04,1.04,-0.13
2017-04-19,3.13,3.13,3.13,-0.25
2017-04-20,-10.53,-10.53,-10.53,0.54
2017-04-21,8.2,8.2,8.2,-0.55
2017-04-24,-0.18,1.21,0.88,-0.38
2017-04-25,0.5,0.5,0.5,-0.02
2017-04-26,2.04,2.04,2.04,-0.29
2017-04-27,-0.64,-0.64,-0.64,0.31
2017-04-28,-14.33,-14.33,-14.33,-0.06
