Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,-3.23,-3.23,-6.08,-9000.0
2016-11-03,1.31,0.62,0.62,-27000.0
2016-11-04,3.88,3.88,3.88,11000.0
2016-11-07,-1.85,-1.85,-1.85,13000.0
2016-11-08,-11.75,-11.75,-11.75,4000.0
2016-11-09,9.96,9.96,-3.73,-48000.0
2016-11-10,8.24,1.48,1.48,53000.0
2016-11-11,-4.21,-4.21,-4.21,-51000.0
2016-11-14,10.02,10.02,10.02,-45000.0
2016-11-15,-5.77,-5.77,-5.77,-14000.0
2016-11-16,-0.7,-0.7,-0.82,19000.0
2016-11-17,-4.09,7.3,7.3,10000.0
2016-11-18,-3.14,-3.14,-3.14,18000.0
2016-11-21,0.39,0.39,0.39,7000.0
2016-11-22,3.14,3.14,3.14,47000.0
2016-11-23,-1.91,-1.91,-4.52,9000.0
2016-11-24,4.38,-0.87,-0.87,1000.0
2016-11-25,-3.05,-3.05,-3.05,0.0
2016-11-28,0.29,0.29,0.29,27000.0
2016-11-29,2.33,2.33,2.33,0.0
2016-11-30,-2.87,-2.87,-6.95,69000.0
2016-12-01,3.96,3.78,3.78,3000.0
2016-12-02,-0.16,-0.16,-0.16,-22000.0
2016-12-05,-1.85,-1.85,-1.85,-9000.0
2016-12-06,-1.7,-1.7,-1.7,30000.0
2016-12-07,3.11,3.11,-9.78,24000.0
2016-12-08,4.2,3.89,3.89,18000.0
2016-12-09,5.69,5.69,5.69,-10000.0
2016-12-12,0.62,0.62,0.62,-28000.0
2016-12-13,-0.85,-0.85,-0.85,14000.0
2016-12-14,-3.8,-3.8,9.87,11000.0
2016-12-15,0.62,-20.92,-20.92,-18000.0
2016-12-16,26.99,26.99,26.99,34000.0
2016-12-19,-4.84,-4.84,-4.84,2000.0
2016-12-20,-12.94,-12.94,-12.94,17000.0
2016-12-21,2.26,2.26,1.54,-7000.0
2016-12-22,12.73,1.02,1.02,4000.0
2016-12-23,-4.94,-4.94,-4.94,-27000.0
2016-12-26,-9.39,-9.39,-9.39,16000.0
2016-12-27,14.93,14.93,14.93,1000.0
2016-12-28,-1.0,-1.0,1.88,-11000.0
2016-12-29,-0.92,-0.76,-0.76,14000.0
2016-12-30,2.58,2.58,2.58,0.0
