Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,-2.64,-2.64,-2.64,-9000.0
2016-11-03,0.19,0.19,0.19,-27000.0
2016-11-04,-6.0,-6.0,-6.0,11000.0
2016-11-07,3.47,-3.02,1.16,13000.0
2016-11-08,-13.51,-13.51,-13.51,4000.0
2016-11-09,10.96,10.96,10.96,-48000.0
2016-11-10,6.99,6.99,6.99,53000.0
2016-11-11,-2.42,-2.42,-2.42,-51000.0
2016-11-14,6.42,9.69,7.12,-45000.0
2016-11-15,-5.13,-5.13,-5.13,-14000.0
2016-11-16,-0.06,-0.06,-0.06,19000.0
2016-11-17,-4.83,-4.83,-4.83,10000.0
2016-11-18,0.66,0.66,0.66,18000.0
2016-11-21,2.41,-0.49,-0.37,7000.0
2016-11-22,5.01,5.01,5.01,47000.0
2016-11-23,-2.88,-2.88,-2.88,9000.0
2016-11-24,4.93,4.93,4.93,1000.0
2016-11-25,-4.64,-4.64,-4.64,0.0
2016-11-28,-3.97,0.56,-2.09,27000.0
2016-11-29,2.15,2.15,2.15,0.0
2016-11-30,-3.28,-3.28,-3.28,69000.0
2016-12-01,3.13,3.13,3.13,3000.0
2016-12-02,-7.06,-7.06,-7.06,-22000.0
2016-12-05,3.91,-1.36,0.47,-9000.0
2016-12-06,-1.98,-1.98,-1.98,30000.0
2016-12-07,1.99,1.99,1.99,24000.0
2016-12-08,2.1,2.1,2.1,18000.0
2016-12-09,-8.83,-8.83,-8.83,-10000.0
2016-12-12,11.61,2.61,7.05,-28000.0
2016-12-13,-6.95,-6.95,-6.95,14000.0
2016-12-14,3.58,3.58,3.58,11000.0
2016-12-15,2.55,2.55,2.55,-18000.0
2016-12-16,14.04,14.04,14.04,34000.0
2016-12-19,-2.29,-5.76,6.37,2000.0
2016-12-20,-19.31,-19.31,-19.31,17000.0
2016-12-21,6.82,6.82,6.82,-7000.0
2016-12-22,11.91,11.91,11.91,4000.0
2016-12-23,5.1,5.1,5.1,-27000.0
2016-12-26,-16.35,-10.09,-14.33,16000.0
2016-12-27,16.28,16.28,16.28,1000.0
2016-12-28,-1.02,-1.02,-1.02,-11000.0
2016-12-29,-1.69,-1.69,-1.69,14000.0
2016-12-30,1.51,1.51,1.51,0.0
2017-01-02,-1.63,-4.19,-2.13,3000.0
2017-01-03,-13.49,-13.49,-13.49,19000.0
2017-01-04,7.99,7.99,7.99,-16000.0
2017-01-05,-9.53,-9.53,-9.53,-30000.0
2017-01-06,6.06,6.06,6.06,32000.0
2017-01-09,4.69,9.96,7.61,51000.0
2017-01-10,2.9,2.9,2.9,1000.0
2017-01-11,-12.14,-12.14,-12.14,52000.0
2017-01-12,-7.13,-7.13,-7.13,26000.0
2017-01-13,11.97,11.97,11.97,-67000.0
2017-01-16,3.11,7.81,6.25,-40000.0
2017-01-17,-7.29,-7.29,-7.29,15000.0
2017-01-18,-1.33,-1.33,-1.33,-1000.0
2017-01-19,9.53,9.53,9.53,27000.0
2017-01-20,-2.66,-2.66,-2.66,-14000.0
2017-01-23,2.58,-20.19,-10.47,43000.0
2017-01-24,15.77,15.77,15.77,5000.0
2017-01-25,2.23,2.23,2.23,62000.0
2017-01-26,-2.32,-2.32,-2.32,25000.0
2017-01-27,2.76,2.76,2.76,0.0
2017-01-30,-6.41,-6.41,-6.41,0.0
2017-01-31,3.19,3.19,3.19,-22000.0
2017-02-01,-0.33,-0.33,-0.33,-17000.0
2017-02-02,5.78,5.78,5.78,12000.0
2017-02-03,0.01,0.01,0.01,5000.0
2017-02-06,-1.32,1.69,1.2,5000.0
2017-02-07,-3.64,-3.64,-3.64,-37000.0
2017-02-08,-2.76,-2.76,-2.76,-21000.0
2017-02-09,-4.14,-4.14,-4.14,0.0
2017-02-10,4.93,4.93,4.93,-2000.0
2017-02-13,6.09,0.83,3.58,-20000.0
2017-02-14,2.78,2.78,2.78,-19000.0
2017-02-15,-1.97,-1.97,-1.97,7000.0
2017-02-16,-0.04,-0.04,-0.04,15000.0
2017-02-17,-3.27,-3.27,-3.27,-8000.0
2017-02-20,-3.71,-5.45,-5.17,40000.0
2017-02-21,1.52,1.52,1.52,14000.0
2017-02-22,2.68,2.68,2.68,18000.0
2017-02-23,3.14,3.14,3.14,-6000.0
2017-02-24,2.3,2.3,2.3,-48000.0
2017-02-27,1.14,2.45,2.48,-8000.0
2017-02-28,-1.37,-1.37,-1.37,19000.0
2017-03-01,-1.66,-1.66,-1.66,0.0
2017-03-02,-3.87,-3.87,-3.87,64000.0
2017-03-03,1.44,1.44,1.44,-5000.0
2017-03-06,0.67,5.52,3.65,23000.0
2017-03-07,-4.39,-4.39,-4.39,6000.0
2017-03-08,4.64,4.64,4.64,0.0
2017-03-09,-7.73,-7.73,-7.73,0.0
2017-03-10,-8.66,-8.66,-8.66,-1000.0
2017-03-13,10.59,-1.23,4.17,21000.0
2017-03-14,0.85,0.85,0.85,38000.0
2017-03-15,1.55,1.55,1.55,2000.0
2017-03-16,4.91,4.91,4.91,22000.0
2017-03-17,2.26,2.26,2.26,28000.0
2017-03-20,0.82,-2.54,0.04,-25000.0
2017-03-21,-4.11,-4.11,-4.11,33000.0
2017-03-22,3.66,3.66,3.66,-5000.0
2017-03-23,-3.98,-3.98,-3.98,-33000.0
2017-03-24,-0.4,-0.4,-0.4,-15000.0
2017-03-27,-2.37,-0.25,-1.08,-15000.0
2017-03-28,-1.14,-1.14,-1.14,14000.0
2017-03-29,-1.21,-1.21,-1.21,15000.0
2017-03-30,7.29,7.29,7.29,10000.0
2017-03-31,2.49,2.49,2.49,-39000.0
2017-04-03,-4.93,-0.83,-1.73,12000.0
2017-04-04,-2.55,-2.55,-2.55,32000.0
2017-04-05,1.55,1.55,1.55,3000.0
2017-04-06,3.21,3.21,3.21,-15000.0
2017-04-07,-2.34,-2.34,-2.34,-12000.0
2017-04-10,2.88,3.49,4.43,17000.0
2017-04-11,-4.08,-4.08,-4.08,-17000.0
2017-04-12,-6.87,-6.87,-6.87,15000.0
2017-04-13,7.92,7.92,7.92,26000.0
2017-04-14,1.65,1.65,1.65,-20000.0
2017-04-17,-4.28,-11.71,-6.17,-23000.0
2017-04-18,0.05,0.05,0.05,-3000.0
2017-04-19,5.28,5.28,5.28,-30000.0
2017-04-20,0.17,0.17,0.17,-31000.0
2017-04-21,1.42,1.42,1.42,24000.0
2017-04-24,0.48,-3.65,-1.63,24000.0
2017-04-25,2.54,2.54,2.54,73000.0
2017-04-26,-0.63,-0.63,-0.63,5000.0
2017-04-27,-3.35,-3.35,-3.35,52000.0
2017-04-28,-4.9,-4.9,-4.9,39000.0
