Date,Natural1,Natural2,Natural3,Stock
2016-11-01,,,,
2016-11-02,10.49,10.49,-7.66,-2.77
2016-11-03,1.06,0.17,0.17,-0.6
2016-11-04,-7.23,-7.23,-7.23,3.14
2016-11-07,1.26,1.26,1.26,2.65
2016-11-08,3.65,3.65,3.65,1.73
2016-11-09,-6.6,-6.6,1.61,-4.88
2016-11-10,-2.36,2.12,2.12,-4.71
2016-11-11,1.09,1.09,1.09,3.21
2016-11-14,1.23,1.23,1.23,-7.11
2016-11-15,-2.07,-2.07,-2.07,2.32
2016-11-16,2.94,2.94,-16.48,0.16
2016-11-17,16.09,-4.23,-4.23,4.73
2016-11-18,-0.01,-0.01,-0.01,-3.64
2016-11-21,-0.15,-0.15,0.87,-0.5
2016-11-22,0.87,-1.62,8.36,6.65
2016-11-23,1.1,-6.1,-6.1,1.97
2016-11-25,1.87,1.87,1.87,3.51
2016-11-28,3.71,3.71,3.71,-0.53
2016-11-29,14.89,14.89,14.89,-6.55
2016-11-30,1.74,1.74,-10.43,-0.17
2016-12-01,-12.0,0.03,0.03,-7.52
2016-12-02,4.11,4.11,4.11,-0.41
2016-12-05,-3.88,-3.88,-3.88,5.33
2016-12-06,1.28,1.28,1.28,-0.95
2016-12-07,-6.27,-6.27,6.92,7.3
2016-12-08,-2.03,3.77,3.77,-0.86
2016-12-09,0.1,0.1,0.1,-0.11
2016-12-12,-6.39,-6.39,-6.39,0.25
2016-12-13,1.84,1.84,1.84,5.72
2016-12-14,2.56,2.56,3.39,0.54
2016-12-15,-6.01,0.48,0.48,-1.11
2016-12-16,3.9,3.9,3.9,4.91
2016-12-19,-7.79,-7.79,-7.79,0.24
2016-12-20,-6.65,-6.65,-6.65,6.06
2016-12-21,14.51,14.51,0.02,-1.09
2016-12-22,-4.19,-1.54,-1.54,0.75
2016-12-23,3.5,3.5,3.5,4.89
2016-12-27,6.32,6.32,6.32,6.19
2016-12-28,-10.07,-10.07,6.33,0.21
2016-12-29,-4.7,2.85,2.85,-5.06
2016-12-30,-2.78,-2.78,-2.78,-0.99
2017-01-03,-2.74,-2.74,-2.74,3.3
2017-01-04,-1.44,-1.44,-1.08,10.0
2017-01-05,5.94,-5.91,-5.91,-0.24
2017-01-06,-2.94,-2.94,-2.94,2.26
2017-01-09,3.98,3.98,3.98,2.27
2017-01-10,-0.34,-0.34,-0.34,-1.41
2017-01-11,2.49,2.49,-7.29,-0.14
2017-01-12,-6.47,2.24,2.24,-0.14
2017-01-13,-2.93,-2.93,-2.93,8.16
2017-01-17,2.98,2.98,2.98,-2.17
2017-01-18,-1.36,-1.36,14.4,2.78
2017-01-19,-16.18,26.61,26.61,5.4
2017-01-20,-4.71,-4.71,-4.71,0.97
2017-01-23,6.83,6.83,6.83,4.19
2017-01-24,4.02,4.02,4.02,5.69
2017-01-25,-12.77,-12.77,13.02,-0.14
2017-01-26,6.2,0.0,0.0,-1.96
2017-01-27,0.0,0.0,0.0,0.44
2017-01-30,-10.51,-10.51,-10.51,-2.32
2017-01-31,-3.65,-3.65,-3.65,1.3
2017-02-01,1.57,1.57,6.73,-2.69
2017-02-02,-12.62,8.47,8.47,2.31
2017-02-03,1.16,1.16,1.16,-0.22
2017-02-06,4.35,4.35,4.35,6.44
2017-02-07,5.55,5.55,5.55,-0.29
2017-02-08,-10.18,-10.18,-3.26,4.6
2017-02-09,4.21,2.43,2.43,7.12
2017-02-10,-4.7,-4.7,-4.7,0.03
2017-02-13,4.2,4.2,4.2,11.37
2017-02-14,1.18,1.18,1.18,0.38
2017-02-15,4.62,4.62,-5.22,-1.22
2017-02-16,-6.49,5.24,5.24,-10.81
2017-02-17,-0.06,-0.06,-0.06,3.28
2017-02-21,-3.75,-3.75,-3.75,5.16
2017-02-22,-0.16,-0.16,0.33,-3.88
2017-02-23,1.83,1.49,1.49,-17.52
2017-02-24,-2.93,-2.93,-2.93,1.01
2017-02-27,3.09,3.09,3.09,-10.77
2017-02-28,-7.12,-7.12,-7.12,3.76
2017-03-01,4.93,4.93,-17.49,0.03
2017-03-02,2.49,10.7,10.7,0.46
2017-03-03,7.13,7.13,7.13,1.09
2017-03-06,-1.54,-1.54,-1.54,-0.36
2017-03-07,-6.05,-6.05,-6.05,-2.62
2017-03-08,6.13,6.13,8.78,-1.72
2017-03-09,-3.6,2.17,2.17,-1.97
2017-03-10,-7.13,-7.13,-7.13,-1.21
2017-03-13,-2.4,-2.4,-2.4,2.48
2017-03-14,-0.08,-0.08,-0.08,11.83
2017-03-15,7.94,7.94,2.33,-2.27
2017-03-16,-5.8,-9.33,-9.33,6.32
2017-03-17,7.45,7.45,7.45,-0.55
2017-03-20,4.11,4.11,4.11,0.42
2017-03-21,-2.28,-2.28,-2.28,-11.24
2017-03-22,0.02,0.02,4.44,4.33
2017-03-23,-0.45,1.99,1.99,-0.23
2017-03-24,-6.08,-6.08,-6.08,8.38
2017-03-27,1.84,1.84,1.84,7.06
2017-03-28,-4.4,-4.4,-4.4,7.23
2017-03-29,3.28,3.28,-4.73,-0.07
2017-03-30,0.94,2.68,2.68,0.54
2017-03-31,3.12,3.12,3.12,0.38
2017-04-03,-2.35,-2.35,-2.35,20.22
2017-04-04,0.49,0.49,0.49,5.18
2017-04-05,-1.12,-1.12,-0.1,-8.7
2017-04-06,-4.07,1.63,1.63,3.7
2017-04-07,1.53,1.53,1.53,3.84
2017-04-10,6.92,6.92,6.92,9.85
2017-04-11,-6.83,-6.83,-7.1,-3.68
2017-04-12,0.46,-5.43,-5.43,-11.87
2017-04-13,-1.38,-1.38,-1.38,7.16
2017-04-17,4.76,4.76,4.76,-2.56
2017-04-18,-0.97,-0.97,-0.97,-1.19
2017-04-19,-2.36,-2.36,-1.5,5.27
2017-04-20,4.03,-4.48,-4.48,-3.01
2017-04-21,4.1,4.1,4.1,3.09
2017-04-24,-0.91,-0.91,-0.91,2.43
2017-04-25,-0.77,-0.77,-0.77,5.76
2017-04-26,-6.9,-6.9,-6.9,-3.62
2017-04-27,-14.35,-14.35,-14.35,-1.54
2017-04-28,22.86,22.86,22.86,5.44
