Date,Friday,Sunday,Weekend,Stock
2016-11-01,,,,
2016-11-02,8.94,8.94,8.94,-2.77
2016-11-03,2.7,2.7,2.7,-0.6
2016-11-04,-8.52,-8.52,-8.52,3.14
2016-11-07,-4.67,1.5,-2.9,2.65
2016-11-08,0.15,0.15,0.15,1.73
2016-11-09,-2.64,-2.64,-2.64,-4.88
2016-11-10,-4.5,-4.5,-4.5,-4.71
2016-11-11,4.09,4.09,4.09,3.21
2016-11-14,3.19,0.44,1.66,-7.11
2016-11-15,-0.57,-0.57,-0.57,2.32
2016-11-16,2.07,2.07,2.07,0.16
2016-11-17,13.77,13.77,13.77,4.73
2016-11-18,-13.94,-13.94,-13.94,-3.64
2016-11-21,-4.6,0.48,-1.55,-0.5
2016-11-22,0.5,0.5,0.5,6.65
2016-11-23,-0.96,-0.96,-0.96,1.97
2016-11-25,8.18,8.3,8.24,3.51
2016-11-28,-0.61,3.19,2.13,-0.53
2016-11-29,14.02,14.02,14.02,-6.55
2016-11-30,0.98,0.98,0.98,-0.17
2016-12-01,-9.99,-9.99,-9.99,-7.52
2016-12-02,-8.53,-8.53,-8.53,-0.41
2016-12-05,-1.26,-3.04,-0.41,5.33
2016-12-06,0.25,0.25,0.25,-0.95
2016-12-07,-4.77,-4.77,-4.77,7.3
2016-12-08,-1.03,-1.03,-1.03,-0.86
2016-12-09,2.66,2.66,2.66,-0.11
2016-12-12,1.07,-5.72,-3.34,0.25
2016-12-13,-0.32,-0.32,-0.32,5.72
2016-12-14,3.41,3.41,3.41,0.54
2016-12-15,-7.18,-7.18,-7.18,-1.11
2016-12-16,4.68,4.68,4.68,4.91
2016-12-19,-1.68,-4.49,-2.37,0.24
2016-12-20,-4.11,-4.11,-4.11,6.06
2016-12-21,11.17,11.17,11.17,-1.09
2016-12-22,-4.88,-4.88,-4.88,0.75
2016-12-23,3.59,3.59,3.59,4.89
2016-12-27,5.96,6.3,7.42,6.19
2016-12-28,-9.26,-9.26,-9.26,0.21
2016-12-29,-3.05,-3.05,-3.05,-5.06
2016-12-30,0.25,0.25,0.25,-0.99
2017-01-03,3.96,0.21,0.38,3.3
2017-01-04,-2.38,-2.38,-2.38,10.0
2017-01-05,4.97,4.97,4.97,-0.24
2017-01-06,0.05,0.05,0.05,2.26
2017-01-09,-4.52,4.0,0.55,2.27
2017-01-10,-1.29,-1.29,-1.29,-1.41
2017-01-11,4.37,4.37,4.37,-0.14
2017-01-12,-5.29,-5.29,-5.29,-0.14
2017-01-13,3.81,3.81,3.81,8.16
2017-01-17,-4.3,1.94,-0.34,-2.17
2017-01-18,0.53,0.53,0.53,2.78
2017-01-19,-16.49,-16.49,-16.49,5.4
2017-01-20,15.31,15.31,15.31,0.97
2017-01-23,24.28,5.21,9.82,4.19
2017-01-24,4.66,4.66,4.66,5.69
2017-01-25,-12.6,-12.6,-12.6,-0.14
2017-01-26,4.5,4.5,4.5,-1.96
2017-01-27,15.14,15.14,15.14,0.44
2017-01-30,-11.27,-11.27,-11.27,-2.32
2017-01-31,-3.35,-3.35,-3.35,1.3
2017-02-01,1.15,1.15,1.15,-2.69
2017-02-02,-12.33,-12.33,-12.33,2.31
2017-02-03,7.01,7.01,7.01,-0.22
2017-02-06,12.73,4.72,7.12,6.44
2017-02-07,6.92,6.92,6.92,-0.29
2017-02-08,-10.53,-10.53,-10.53,4.6
2017-02-09,4.18,4.18,4.18,7.12
2017-02-10,-3.72,-3.72,-3.72,0.03
2017-02-13,1.88,4.01,1.66,11.37
2017-02-14,2.51,2.51,2.51,0.38
2017-02-15,5.74,5.74,5.74,-1.22
2017-02-16,-3.38,-3.38,-3.38,-10.81
2017-02-17,-3.68,-3.68,-3.68,3.28
2017-02-21,-6.62,-3.11,1.09,5.16
2017-02-22,-1.41,-1.41,-1.41,-3.88
2017-02-23,1.39,1.39,1.39,-17.52
2017-02-24,3.49,3.49,3.49,1.01
2017-02-27,1.13,2.35,2.86,-10.77
2017-02-28,-10.38,-10.38,-10.38,3.76
2017-03-01,5.92,5.92,5.92,0.03
2017-03-02,5.0,5.0,5.0,0.46
2017-03-03,-14.91,-14.91,-14.91,1.09
2017-03-06,13.26,-3.15,4.36,-0.36
2017-03-07,-5.06,-5.06,-5.06,-2.62
2017-03-08,5.02,5.02,5.02,-1.72
2017-03-09,-4.38,-4.38,-4.38,-1.97
2017-03-10,10.17,10.17,10.17,-1.21
2017-03-13,-7.66,-2.19,-5.65,2.48
2017-03-14,0.1,0.1,0.1,11.83
2017-03-15,2.27,2.27,2.27,-2.27
2017-03-16,-1.76,-1.76,-1.76,6.32
2017-03-17,0.28,0.28,0.28,-0.55
2017-03-20,3.79,4.33,6.69,0.42
2017-03-21,-2.3,-2.3,-2.3,-11.24
2017-03-22,0.46,0.46,0.46,4.33
2017-03-23,-0.85,-0.85,-0.85,-0.23
2017-03-24,6.03,6.03,6.03,8.38
2017-03-27,-3.45,1.04,-2.25,7.06
2017-03-28,-3.01,-3.01,-3.01,7.23
2017-03-29,3.64,3.64,3.64,-0.07
2017-03-30,2.94,2.94,2.94,0.54
2017-03-31,-6.38,-6.38,-6.38,0.38
2017-04-03,0.93,-5.27,-1.68,20.22
2017-04-04,2.71,2.71,2.71,5.18
2017-04-05,-2.2,-2.2,-2.2,-8.7
2017-04-06,-4.61,-4.61,-4.61,3.7
2017-04-07,1.7,1.7,1.7,3.84
2017-04-10,9.53,6.39,7.66,9.85
2017-04-11,-7.11,-7.11,-7.11,-3.68
2017-04-12,-0.78,-0.78,-0.78,-11.87
2017-04-13,10.99,10.99,10.99,7.16
2017-04-17,-9.7,4.45,0.19,-2.56
2017-04-18,-1.43,-1.43,-1.43,-1.19
2017-04-19,0.21,0.21,0.21,5.27
2017-04-20,-0.63,-0.63,-0.63,-3.01
2017-04-21,-3.14,-3.14,-3.14,3.09
2017-04-24,3.12,1.18,3.75,2.43
2017-04-25,-2.24,-2.24,-2.24,5.76
2017-04-26,-6.63,-6.63,-6.63,-3.62
2017-04-27,-11.56,-11.56,-11.56,-1.54
2017-04-28,21.86,21.86,21.86,5.44
