Date,Natural1,Natural2,Natural3,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-0.37,-0.37,3.75,-77.46,0.24,-13.78
2016-11-03,-0.31,-1.42,-1.42,-28.97,0.4,-9.28
2016-11-04,-3.95,-3.95,-3.95,-42.39,0.52,-3.48
2016-11-07,-2.11,-2.11,-2.11,371.32,0.78,46.34
2016-11-08,2.61,2.61,2.61,73.14,-0.08,8.04
2016-11-09,-2.51,-2.51,1.97,256.95,1.55,23.7
2016-11-10,3.05,2.43,2.43,218.19,0.17,4.22
2016-11-11,-2.48,-2.48,-2.48,39.78,-0.66,-3.03
2016-11-14,-1.38,-1.38,-1.38,21.03,-1.71,-0.25
2016-11-15,-1.81,-1.81,-1.81,54.37,-0.25,16.19
2016-11-16,2.62,2.62,2.87,-54.92,0.23,-3.45
2016-11-17,0.29,-1.83,-1.83,35.68,0.15,10.18
2016-11-18,-0.86,-0.86,-0.86,-35.89,0.99,-5.22
2016-11-21,0.04,0.04,0.24,88.76,0.12,16.28
2016-11-22,0.24,-2.17,-2.65,67.18,-0.39,4.76
2016-11-23,5.6,2.45,2.45,59.31,-0.24,1.78
2016-11-25,-5.32,-5.32,-5.32,68.96,0.35,8.63
2016-11-28,-0.22,-0.22,-0.22,-54.24,-1.11,-11.63
2016-11-29,0.08,0.08,0.08,23.7,0.39,2.94
2016-11-30,-1.97,-1.97,1.44,1.98,-0.88,-5.85
2016-12-01,2.12,0.31,0.31,68.35,-0.54,-7.73
2016-12-02,0.12,0.12,0.12,-21.51,0.33,0.87
2016-12-05,-2.54,-2.54,-2.54,45.82,0.98,12.76
2016-12-06,-1.33,-1.33,-1.33,35.54,1.66,7.52
2016-12-07,3.4,3.4,0.49,297.84,1.09,29.12
2016-12-08,-2.04,3.65,3.65,65.19,0.16,4.84
2016-12-09,-3.38,-3.38,-3.38,142.04,0.85,13.34
2016-12-12,-1.42,-1.42,-1.42,39.58,0.17,-2.57
2016-12-13,3.09,3.09,3.09,114.78,0.47,14.76
2016-12-14,-5.58,-5.58,-3.34,-118.68,-1.0,-18.44
2016-12-15,5.53,3.91,3.91,59.71,0.35,8.75
2016-12-16,-5.87,-5.87,-5.87,-8.83,-0.55,-3.96
2016-12-19,2.65,2.65,2.65,39.65,-0.36,4.46
2016-12-20,3.67,3.67,3.67,91.56,0.31,8.23
2016-12-21,-2.41,-2.41,0.1,-32.66,-0.52,-5.58
2016-12-22,1.64,-0.41,-0.41,-23.08,-0.28,-4.22
2016-12-23,-0.99,-0.99,-0.99,14.93,-0.04,2.83
2016-12-27,0.07,0.07,0.07,11.23,0.36,5.09
2016-12-28,0.67,0.67,13.1,-111.36,-0.19,-18.96
2016-12-29,0.0,-9.27,-9.27,-13.9,-0.33,-0.66
2016-12-30,-4.76,-4.76,-4.76,-57.18,0.11,-10.43
2017-01-03,-0.57,-0.57,-0.57,119.16,-0.44,19.0
