Date,Friday,Sunday,Weekend,djia,nasdaq,snp
2016-11-01,,,,,,
2016-11-02,-0.26,-0.26,-0.26,-77.46,0.24,-13.78
2016-11-03,0.18,0.18,0.18,-28.97,0.4,-9.28
2016-11-04,2.14,2.14,2.14,-42.39,0.52,-3.48
2016-11-07,-6.8,-2.16,-4.98,371.32,0.78,46.34
2016-11-08,3.52,3.52,3.52,73.14,-0.08,8.04
2016-11-09,-2.71,-2.71,-2.71,256.95,1.55,23.7
2016-11-10,2.62,2.62,2.62,218.19,0.17,4.22
2016-11-11,2.15,2.15,2.15,39.78,-0.66,-3.03
2016-11-14,-1.92,-1.05,-2.24,21.03,-1.71,-0.25
2016-11-15,-0.55,-0.55,-0.55,54.37,-0.25,16.19
2016-11-16,2.07,2.07,2.07,-54.92,0.23,-3.45
2016-11-17,0.29,0.29,0.29,35.68,0.15,10.18
2016-11-18,3.11,3.11,3.11,-35.89,0.99,-5.22
2016-11-21,-2.96,0.22,-0.71,88.76,0.12,16.28
2016-11-22,-1.09,-1.09,-1.09,67.18,-0.39,4.76
2016-11-23,-0.89,-0.89,-0.89,59.31,-0.24,1.78
2016-11-25,2.46,-3.42,-0.48,68.96,0.35,8.63
2016-11-28,-2.94,-0.21,-2.99,-54.24,-1.11,-11.63
2016-11-29,0.75,0.75,0.75,23.7,0.39,2.94
2016-11-30,-2.14,-2.14,-2.14,1.98,-0.88,-5.85
2016-12-01,3.11,3.11,3.11,68.35,-0.54,-7.73
2016-12-02,-0.84,-0.84,-0.84,-21.51,0.33,0.87
2016-12-05,-0.56,-2.36,-1.89,45.82,0.98,12.76
2016-12-06,-1.68,-1.68,-1.68,35.54,1.66,7.52
2016-12-07,3.08,3.08,3.08,297.84,1.09,29.12
2016-12-08,-1.87,-1.87,-1.87,65.19,0.16,4.84
2016-12-09,0.29,0.29,0.29,142.04,0.85,13.34
2016-12-12,-0.05,0.04,-1.44,39.58,0.17,-2.57
2016-12-13,0.94,0.94,0.94,114.78,0.47,14.76
2016-12-14,-3.58,-3.58,-3.58,-118.68,-1.0,-18.44
2016-12-15,5.3,5.3,5.3,59.71,0.35,8.75
2016-12-16,-3.93,-3.93,-3.93,-8.83,-0.55,-3.96
2016-12-19,1.32,2.55,0.39,39.65,-0.36,4.46
2016-12-20,2.86,2.86,2.86,91.56,0.31,8.23
2016-12-21,-2.1,-2.1,-2.1,-32.66,-0.52,-5.58
2016-12-22,1.25,1.25,1.25,-23.08,-0.28,-4.22
2016-12-23,0.22,0.22,0.22,14.93,-0.04,2.83
2016-12-27,-0.14,0.72,-0.08,11.23,0.36,5.09
2016-12-28,0.33,0.33,0.33,-111.36,-0.19,-18.96
2016-12-29,-0.95,-0.95,-0.95,-13.9,-0.33,-0.66
2016-12-30,-0.68,-0.68,-0.68,-57.18,0.11,-10.43
2017-01-03,-1.77,-0.41,-5.55,119.16,-0.44,19.0
2017-01-04,-0.57,-0.57,-0.57,60.4,1.04,12.92
2017-01-05,3.87,3.87,3.87,-42.87,-0.08,-1.75
2017-01-06,-0.69,-0.69,-0.69,64.51,0.82,7.98
2017-01-09,-1.35,-0.55,-0.24,-76.42,-0.69,-8.08
2017-01-10,-1.56,-1.56,-1.56,-31.85,-0.57,0.0
2017-01-11,1.05,1.05,1.05,98.75,0.52,6.42
2017-01-12,3.41,3.41,3.41,-63.28,-0.32,-4.88
2017-01-13,-1.85,-1.85,-1.85,-5.27,0.31,4.2
2017-01-17,-2.09,-2.67,-2.84,-58.96,-0.72,-6.75
2017-01-18,1.12,1.12,1.12,-22.05,0.26,4.0
2017-01-19,0.92,0.92,0.92,-72.32,-0.19,-8.2
2017-01-20,0.31,0.31,0.31,94.85,0.3,7.62
2017-01-23,13.75,-0.96,3.43,-27.4,-0.04,-6.11
2017-01-24,1.07,1.07,1.07,112.86,0.63,14.87
2017-01-25,-0.53,-0.53,-0.53,155.8,0.39,18.3
2017-01-26,-0.26,-0.26,-0.26,32.4,0.49,-1.69
2017-01-27,-0.45,-0.45,-0.45,-7.13,-0.47,-1.99
2017-01-30,0.71,0.71,0.71,-122.65,-0.18,-13.79
2017-01-31,0.75,0.75,0.75,-107.04,2.36,-2.03
2017-02-01,0.91,0.91,0.91,26.85,0.21,0.68
2017-02-02,-1.47,-1.47,-1.47,-6.03,-0.08,1.3
2017-02-03,1.89,1.89,1.89,186.55,-0.33,16.57
2017-02-06,-1.8,-2.84,-1.62,-19.04,-0.6,-4.86
2017-02-07,0.37,0.37,0.37,37.87,-0.38,0.52
2017-02-08,-0.46,-0.46,-0.46,-35.95,-0.48,1.59
2017-02-09,-0.73,-0.73,-0.73,118.06,0.22,13.2
2017-02-10,1.31,1.31,1.31,96.97,0.67,8.23
2017-02-13,0.99,-1.08,0.01,142.79,0.93,12.15
2017-02-14,1.17,1.17,1.17,92.25,0.08,9.33
2017-02-15,-2.99,-2.99,-2.99,107.45,0.47,11.67
2017-02-16,0.38,0.38,0.38,7.91,0.09,-2.03
2017-02-17,1.34,1.34,1.34,4.28,0.17,3.94
2017-02-21,-0.89,1.5,0.28,118.95,-0.14,14.22
2017-02-22,1.11,1.11,1.11,32.6,-0.13,-2.56
2017-02-23,-1.41,-1.41,-1.41,34.72,0.21,0.99
2017-02-24,0.3,0.3,0.3,11.44,0.0,3.53
2017-02-27,0.59,-1.49,-0.67,15.68,-0.3,2.39
