Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,39.00,100,41.18,85,41.89,74
2016-11-02,47.79,113,52.75,91,53.33,75
2016-11-03,37.01,127,43.00,100,45.88,85
2016-11-04,41.75,103,43.68,87,41.43,70
2016-11-05,48.57,70,50.88,57,50.98,51
2016-11-06,48.15,27,43.48,23,50.00,18
2016-11-07,41.05,95,47.95,73,51.72,58
2016-11-08,45.38,130,50.47,107,54.44,90
2016-11-09,42.97,128,44.66,103,45.35,86
2016-11-10,47.75,111,49.46,93,52.56,78
2016-11-11,37.25,102,40.45,89,44.59,74
2016-11-12,43.33,30,50.00,24,50.00,20
2016-11-13,59.38,32,62.96,27,60.00,25
2016-11-14,37.04,108,40.23,87,43.04,79
2016-11-15,46.20,158,46.15,130,48.54,103
2016-11-16,52.82,142,54.47,123,56.19,105
2016-11-17,38.33,120,39.36,94,38.16,76
2016-11-18,40.88,159,44.70,132,48.28,116
2016-11-19,51.25,80,55.56,63,57.14,56
2016-11-20,54.32,81,54.41,68,53.57,56
2016-11-21,52.54,118,51.61,93,49.40,83
2016-11-22,56.69,127,54.90,102,58.06,93
2016-11-23,62.07,58,61.54,52,62.75,51
2016-11-24,56.45,62,52.73,55,54.55,44
2016-11-25,43.10,58,39.53,43,38.46,39
2016-11-26,63.64,55,65.91,44,64.10,39
2016-11-27,49.32,73,48.33,60,47.06,51
2016-11-28,58.68,167,58.57,140,55.83,120
2016-11-29,55.32,141,53.91,115,51.58,95
2016-11-30,50.46,109,46.84,79,41.43,70
2016-12-01,54.29,175,57.34,143,56.92,130
2016-12-02,53.87,284,53.47,245,53.55,211
2016-12-03,57.45,94,59.49,79,59.42,69
2016-12-04,70.83,48,71.11,45,68.42,38
2016-12-05,51.77,226,53.40,191,50.96,157
2016-12-06,51.31,191,52.80,161,52.86,140
2016-12-07,48.70,154,46.97,132,45.22,115
2016-12-08,64.71,17,66.67,15,64.29,14
2016-12-09,50.62,160,51.41,142,51.67,120
2016-12-10,54.00,50,55.32,47,48.78,41
2016-12-11,63.41,41,59.46,37,61.29,31
2016-12-12,55.62,178,54.49,156,54.62,130
2016-12-13,55.71,280,58.44,243,57.55,212
2016-12-14,48.24,199,50.92,163,48.97,145
