Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,47.62,84,45.95,74,50.00,50
2016-11-02,58.97,39,59.38,32,61.54,26
2016-11-03,41.03,39,45.45,33,59.09,22
2016-11-04,45.16,31,50.00,24,47.06,17
2016-11-05,40.32,62,37.74,53,36.59,41
2016-11-06,60.61,33,60.00,30,77.27,22
2016-11-07,53.62,69,56.14,57,58.70,46
2016-11-08,58.11,74,61.29,62,58.00,50
2016-11-09,56.92,130,58.00,100,67.12,73
2016-11-10,44.44,9,50.00,8,33.33,6
2016-11-11,55.26,152,54.84,124,58.24,91
2016-11-12,54.20,131,52.73,110,56.32,87
2016-11-13,62.30,122,66.04,106,70.45,88
2016-11-14,56.15,260,55.88,204,62.89,159
2016-11-15,48.81,168,49.61,127,54.90,102
2016-11-16,59.00,200,61.45,166,67.69,130
2016-11-17,49.52,210,47.85,163,55.64,133
2016-11-18,41.12,304,46.38,207,50.63,158
2016-11-19,52.14,140,55.86,111,60.42,96
2016-11-20,60.25,161,59.42,138,62.81,121
2016-11-21,52.08,144,52.54,118,48.94,94
2016-11-22,45.66,173,46.21,132,45.63,103
2016-11-23,51.64,122,54.46,101,58.23,79
2016-11-24,52.78,144,57.14,119,58.33,96
2016-11-25,49.73,183,53.15,143,58.47,118
2016-11-26,42.26,168,42.36,144,47.37,114
2016-11-27,41.88,117,45.36,97,46.05,76
2016-11-28,45.95,37,45.45,33,46.15,26
2016-11-29,50.00,126,52.68,112,58.51,94
2016-11-30,49.51,204,49.40,168,50.00,128
2016-12-01,45.32,203,49.69,159,50.00,124
2016-12-02,50.47,214,52.87,174,58.09,136
2016-12-03,50.65,77,52.38,63,53.85,52
2016-12-04,44.68,47,48.39,31,46.43,28
2016-12-05,39.18,97,37.31,67,33.93,56
2016-12-06,36.90,84,38.81,67,36.54,52
2016-12-07,43.69,325,45.80,262,48.31,207
2016-12-08,51.06,235,52.82,195,60.81,148
2016-12-09,50.74,270,54.13,218,57.30,178
2016-12-10,46.88,128,48.39,93,54.17,72
2016-12-11,48.39,124,48.11,106,51.28,78
2016-12-12,53.40,397,56.05,339,60.43,278
2016-12-13,48.24,340,50.71,280,53.48,230
2016-12-14,52.54,354,51.97,279,53.74,227
2016-12-15,53.65,192,59.87,152,61.74,115
2016-12-16,47.47,297,49.00,251,54.23,201
2016-12-17,45.66,173,46.81,141,49.57,115
2016-12-18,44.15,188,42.76,145,52.29,109
2016-12-19,50.91,220,51.11,180,52.99,134
2016-12-20,48.07,181,51.45,138,56.76,111
2016-12-21,55.97,243,61.00,200,69.03,155
2016-12-22,41.67,60,44.68,47,54.84,31
2016-12-23,49.48,194,46.75,154,50.38,131
2016-12-24,48.12,160,47.45,137,51.33,113
2016-12-25,41.72,151,38.14,118,43.43,99
2016-12-26,50.26,189,51.90,158,59.17,120
2016-12-27,56.64,286,60.41,245,62.44,197
2016-12-28,62.50,16,64.29,14,66.67,12
2016-12-29,60.82,268,65.12,215,67.82,174
2016-12-30,62.11,351,61.82,296,66.39,238
2016-12-31,50.42,119,51.49,101,54.22,83
2017-01-01,54.33,335,55.15,272,57.75,213
2017-01-02,44.69,273,44.66,206,48.78,164
2017-01-03,53.65,274,54.30,221,58.38,173
2017-01-04,53.33,330,57.69,260,62.20,209
2017-01-05,57.33,232,58.29,187,62.91,151
2017-01-06,45.28,318,44.91,265,47.95,219
2017-01-07,61.82,296,63.45,249,70.56,197
2017-01-08,61.01,277,63.00,227,68.72,179
2017-01-09,47.45,314,50.76,262,56.00,200
2017-01-10,55.12,303,57.20,243,62.63,190
2017-01-11,47.38,363,48.10,289,51.29,232
2017-01-12,47.19,267,49.34,227,53.65,192
2017-01-13,43.15,336,42.76,290,45.95,222
2017-01-14,44.10,288,43.29,231,49.12,171
2017-01-15,40.86,186,40.94,149,43.70,119
2017-01-16,40.41,344,40.67,300,44.54,238
2017-01-17,45.95,346,50.18,273,52.70,241
2017-01-18,50.00,310,50.20,253,52.91,206
2017-01-19,48.16,326,47.62,273,52.49,221
2017-01-20,41.54,337,41.34,283,44.84,223
2017-01-21,39.09,307,38.28,256,42.36,203
2017-01-22,43.42,304,44.22,251,47.39,211
2017-01-23,27.73,220,25.27,186,25.68,148
2017-01-24,45.72,304,45.70,256,52.24,201
2017-01-25,46.58,307,47.91,263,53.06,196
2017-01-26,42.97,370,42.57,303,45.23,241
2017-01-27,44.90,363,43.19,301,48.75,240
2017-01-28,43.01,286,43.15,248,45.18,197
2017-01-29,45.52,134,48.57,105,50.00,80
2017-01-30,49.21,317,50.95,263,57.98,188
2017-01-31,49.35,306,49.81,257,54.50,211
2017-02-01,49.15,352,50.72,276,55.50,218
2017-02-02,53.78,370,57.33,300,66.23,231
2017-02-03,50.15,325,49.63,272,56.94,209
2017-02-04,43.06,288,44.78,230,52.15,186
2017-02-05,52.19,297,52.26,243,56.70,194
2017-02-06,55.56,18,60.00,15,66.67,12
2017-02-07,48.93,280,47.58,227,54.59,185
2017-02-08,47.21,358,48.63,292,53.68,231
2017-02-09,49.35,306,50.37,272,56.31,222
2017-02-10,52.14,397,51.54,324,56.69,254
2017-02-11,47.70,283,50.00,228,55.00,180
2017-02-12,53.50,200,55.81,172,61.70,141
2017-02-13,52.68,298,54.05,259,56.78,199
2017-02-14,41.80,244,43.50,200,47.20,161
2017-02-15,57.08,226,60.43,187,65.81,155
2017-02-16,49.72,356,47.08,291,52.08,240
2017-02-17,40.56,323,39.85,266,42.04,226
2017-02-18,44.44,342,45.36,280,46.98,232
2017-02-19,40.53,264,39.90,203,42.77,159
2017-02-20,47.56,328,49.43,265,52.09,215
2017-02-21,44.62,325,46.86,271,48.64,220
2017-02-22,44.63,298,43.93,239,45.77,201
2017-02-23,52.55,314,54.03,248,61.96,184
2017-02-24,48.25,315,48.00,250,54.31,197
2017-02-25,50.00,328,50.19,267,55.61,214
2017-02-26,48.89,407,52.05,342,54.15,277
2017-02-27,45.77,319,47.76,245,49.49,196
2017-02-28,42.56,289,42.08,240,43.78,185
2017-03-01,44.16,308,45.10,255,48.45,194
2017-03-02,45.23,199,47.88,165,47.06,136
2017-03-03,49.54,438,49.14,350,51.20,291
2017-03-04,44.79,384,44.76,315,47.41,251
2017-03-05,41.61,286,41.59,226,43.09,188
2017-03-06,54.15,325,48.99,247,57.75,187
2017-03-07,52.11,380,50.79,317,57.68,241
2017-03-08,42.81,327,43.23,266,46.48,213
2017-03-09,49.47,380,48.57,315,51.22,246
2017-03-10,47.92,313,50.62,243,54.79,188
2017-03-11,50.31,318,52.78,252,57.92,202
2017-03-12,47.41,251,47.47,198,50.00,164
2017-03-13,38.32,107,39.76,83,41.82,55
2017-03-14,56.14,171,57.34,143,64.86,111
2017-03-15,53.04,362,55.67,291,60.34,237
2017-03-16,48.82,170,50.37,135,56.73,104
2017-03-17,52.97,370,52.51,299,57.26,248
