Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,56.12,196,59.51,163,58.78,131
2016-11-02,53.85,13,50.00,12,50.00,12
2016-11-03,65.67,134,69.23,104,65.52,87
2016-11-04,68.82,93,68.29,82,66.22,74
2016-11-05,67.74,31,68.00,25,66.67,21
2016-11-06,54.95,111,55.56,90,52.05,73
2016-11-07,60.00,145,61.11,126,59.43,106
2016-11-08,57.35,136,60.68,117,58.06,93
2016-11-09,60.54,147,61.16,121,55.17,87
2016-11-10,64.62,130,71.03,107,66.67,84
2016-11-11,52.81,231,54.74,190,53.21,156
2016-11-12,64.86,74,68.97,58,64.29,42
2016-11-13,70.97,31,71.43,28,68.18,22
2016-11-14,52.54,177,54.55,154,51.18,127
2016-11-15,54.05,222,53.80,184,53.29,152
2016-11-16,65.61,189,66.45,152,64.46,121
2016-11-17,57.14,112,57.84,102,56.79,81
2016-11-18,60.64,188,59.87,152,57.98,119
2016-11-19,71.05,38,69.70,33,66.67,27
2016-11-20,63.64,44,71.05,38,63.33,30
2016-11-21,70.30,101,70.45,88,69.01,71
2016-11-22,58.78,148,58.33,120,56.57,99
2016-11-23,67.96,103,71.11,90,71.01,69
2016-11-24,63.95,147,64.12,131,64.55,110
2016-11-25,59.03,144,59.66,119,58.16,98
2016-11-26,53.49,86,51.35,74,50.79,63
2016-11-27,58.44,77,58.73,63,60.00,55
2016-11-28,59.61,203,56.28,183,54.36,149
2016-11-29,62.77,188,58.97,156,59.52,126
2016-11-30,60.00,120,59.05,105,55.13,78
2016-12-01,58.33,300,58.69,259,58.60,215
2016-12-02,58.16,196,59.26,162,60.74,135
2016-12-03,63.81,105,67.42,89,67.11,76
2016-12-04,50.00,56,54.17,48,52.50,40
2016-12-05,61.54,78,62.90,62,63.83,47
2016-12-06,59.39,330,60.15,271,57.53,219
2016-12-07,57.34,218,58.66,179,56.95,151
2016-12-08,59.01,283,58.70,230,59.26,189
2016-12-09,55.34,253,56.40,211,57.31,171
2016-12-10,58.00,100,60.71,84,70.00,70
2016-12-11,60.00,140,63.72,113,64.77,88
2016-12-12,59.71,206,61.71,175,60.81,148
2016-12-13,56.12,237,57.36,197,57.65,170
2016-12-14,49.01,202,48.30,176,46.45,155
2016-12-15,57.60,217,58.82,187,58.86,158
2016-12-16,55.85,188,56.86,153,55.81,129
2016-12-17,62.50,104,62.50,88,61.97,71
2016-12-18,54.26,129,52.43,103,52.27,88
2016-12-19,60.24,332,61.43,280,62.18,238
2016-12-20,55.94,345,56.75,289,55.73,253
2016-12-21,54.15,301,54.07,246,54.40,193
2016-12-22,52.51,179,52.98,151,52.89,121
2016-12-23,52.36,275,52.40,229,50.25,197
2016-12-24,59.42,138,62.61,115,64.58,96
2016-12-25,49.43,87,45.07,71,48.44,64
2016-12-26,64.10,234,62.56,195,60.26,156
2016-12-27,58.00,250,59.91,212,60.56,180
2016-12-28,55.87,281,54.39,228,52.58,194
2016-12-29,59.50,279,58.53,217,60.77,181
2016-12-30,54.94,324,58.49,265,59.03,227
2016-12-31,57.14,7,57.14,7,57.14,7
2017-01-01,43.87,310,44.62,260,42.15,223
2017-01-02,55.99,309,57.89,247,58.88,214
2017-01-03,50.00,360,51.32,304,52.24,245
2017-01-04,53.97,441,54.10,366,54.97,322
2017-01-05,58.31,451,56.15,374,60.13,306
2017-01-06,56.72,67,49.09,55,50.00,50
2017-01-07,59.24,211,56.47,170,57.45,141
2017-01-08,55.56,198,54.88,164,59.71,139
2017-01-09,55.74,305,55.77,260,56.64,226
2017-01-10,53.29,319,53.61,263,56.56,221
2017-01-11,51.87,374,55.70,316,55.73,262
2017-01-12,54.52,321,53.05,262,55.02,229
2017-01-13,49.86,367,49.36,314,50.55,271
2017-01-14,51.46,206,53.45,174,56.94,144
2017-01-15,61.69,308,61.42,267,59.39,229
2017-01-16,58.62,261,60.00,215,62.69,193
2017-01-17,52.16,301,54.44,248,54.72,212
2017-01-18,56.74,319,57.93,271,60.58,241
2017-01-19,80.00,5,80.00,5,75.00,4
2017-01-20,44.38,356,41.10,292,43.10,232
2017-01-21,58.12,234,56.28,183,60.67,150
2017-01-22,48.99,247,48.79,207,50.00,176
2017-01-23,56.52,322,56.65,263,58.04,224
2017-01-24,53.48,316,55.43,276,57.71,227
2017-01-25,57.14,21,55.56,18,56.25,16
2017-01-26,52.84,299,52.89,242,51.46,206
2017-01-27,36.56,331,35.79,285,36.48,233
2017-01-28,50.25,197,49.41,170,50.00,148
2017-01-29,49.21,126,50.48,105,50.00,80
2017-01-30,43.68,87,43.84,73,44.44,63
2017-01-31,53.25,338,50.00,278,51.06,235
2017-02-01,45.83,432,44.78,364,47.60,292
2017-02-02,48.29,381,48.10,316,49.44,267
2017-02-03,53.10,258,50.90,222,49.43,176
2017-02-04,47.22,144,45.16,124,41.41,99
2017-02-05,50.34,145,48.36,122,46.32,95
2017-02-06,53.87,284,55.74,235,56.99,193
2017-02-07,54.05,333,54.14,290,56.97,244
2017-02-08,49.00,500,47.87,422,48.88,356
2017-02-09,53.16,506,54.21,439,54.55,374
2017-02-10,41.88,468,43.07,411,41.29,356
2017-02-11,46.51,387,47.49,339,47.30,296
2017-02-12,50.44,226,48.73,197,48.88,178
2017-02-13,52.33,279,50.62,241,53.30,212
2017-02-14,53.00,300,55.37,242,55.83,206
2017-02-15,49.20,376,49.35,306,50.58,259
2017-02-16,48.52,237,49.51,206,49.19,185
2017-02-17,51.01,149,52.85,123,56.57,99
2017-02-18,51.68,298,54.12,255,53.52,213
2017-02-19,56.82,176,59.48,153,59.85,132
2017-02-20,60.98,305,64.40,250,64.76,210
2017-02-21,56.43,420,55.65,363,57.05,298
2017-02-22,54.36,447,52.24,379,52.16,324
2017-02-23,53.85,416,52.59,348,53.67,300
2017-02-24,54.94,435,53.41,352,53.16,301
2017-02-25,54.66,322,54.51,266,52.89,225
2017-02-26,54.20,238,54.85,206,53.63,179
2017-02-27,48.30,412,47.85,349,47.65,298
2017-02-28,55.42,83,51.32,76,53.12,64
2017-03-01,49.28,416,47.97,344,47.90,309
2017-03-02,55.68,361,54.84,310,55.35,271
2017-03-03,53.85,377,54.63,324,52.65,264
2017-03-04,55.85,265,58.22,225,55.80,181
2017-03-05,56.28,199,55.36,168,51.39,144
2017-03-06,53.10,226,54.12,194,53.57,168
2017-03-07,55.78,294,55.73,253,55.77,208
2017-03-08,56.19,226,56.41,195,55.62,169
2017-03-09,56.00,325,56.68,277,57.26,234
2017-03-10,60.13,306,61.48,257,65.07,229
2017-03-11,60.68,234,61.73,196,63.64,165
2017-03-12,56.64,113,57.61,92,60.26,78
2017-03-13,62.64,265,62.50,216,63.98,186
2017-03-14,55.13,341,53.90,282,53.47,245
2017-03-15,55.62,347,58.59,297,58.78,262
2017-03-16,55.32,479,55.91,406,55.74,357
2017-03-17,56.76,414,58.63,336,58.66,283
2017-03-18,57.98,307,60.61,264,64.52,217
2017-03-19,62.79,172,65.79,152,69.17,133
2017-03-20,61.38,189,61.45,166,63.51,148
2017-03-21,54.20,238,55.34,206,56.35,181
2017-03-22,50.58,259,52.65,226,54.87,195
2017-03-23,56.71,298,58.54,246,58.45,207
2017-03-24,63.19,345,64.26,291,64.58,240
2017-03-25,60.35,285,62.76,239,63.27,196
2017-03-26,64.93,211,64.33,171,65.96,141
2017-03-27,59.44,355,61.29,310,61.94,268
2017-03-28,47.96,465,46.80,391,45.65,333
2017-03-29,53.40,397,53.47,346,53.50,314
2017-03-30,54.84,279,53.74,227,52.38,189
2017-03-31,57.32,246,56.74,215,58.42,190
2017-04-01,63.12,141,63.71,124,66.98,106
2017-04-02,67.61,71,74.58,59,72.00,50
2017-04-03,48.39,93,50.00,74,49.15,59
2017-04-04,53.68,272,53.22,233,52.58,194
2017-04-05,57.34,293,56.49,239,58.71,201
2017-04-06,57.08,219,58.10,179,57.96,157
2017-04-07,52.27,264,56.02,216,54.69,192
2017-04-08,61.11,162,61.94,134,63.48,115
2017-04-09,64.88,168,65.69,137,63.93,122
2017-04-10,53.85,208,53.45,174,56.46,147
2017-04-11,53.61,291,53.23,248,53.99,213
2017-04-12,57.45,188,57.23,159,54.14,133
2017-04-13,60.71,84,62.16,74,64.52,62
2017-04-14,61.81,254,63.16,209,62.72,169
2017-04-15,52.07,217,52.41,187,52.07,169
2017-04-16,60.19,211,61.50,187,59.76,164
2017-04-17,60.81,74,61.29,62,63.46,52
2017-04-18,58.38,173,58.33,144,58.33,120
2017-04-19,43.11,167,46.31,149,45.31,128
2017-04-20,46.88,128,45.54,112,43.62,94
2017-04-21,49.23,323,49.64,278,50.00,234
2017-04-22,52.65,245,53.74,214,55.32,188
2017-04-23,58.41,113,61.22,98,61.18,85
2017-04-24,54.29,326,54.81,270,55.02,229
2017-04-25,55.40,287,57.03,249,57.47,221
2017-04-26,52.86,140,53.72,121,52.94,102
2017-04-27,57.92,202,59.52,168,61.33,150
2017-04-28,53.76,93,57.69,78,57.81,64
2017-04-29,51.27,197,50.00,174,50.35,141
2017-04-30,60.00,225,60.32,189,61.11,162
2017-05-01,56.57,251,62.32,207,62.09,182
2017-05-02,47.00,200,46.63,163,45.26,137
2017-05-03,50.41,121,51.52,99,53.01,83
2017-05-04,41.18,34,36.00,25,33.33,24
