Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,21.69,83,16.42,67,12.28,57,7.14,14
2016-11-02,16.30,92,8.64,81,6.58,76,6.67,15
2016-11-03,20.83,96,16.05,81,10.61,66,33.33,9
2016-11-04,25.61,82,20.00,65,12.07,58,31.25,16
2016-11-05,39.39,33,37.93,29,29.17,24,0.00,1
2016-11-06,20.59,34,30.43,23,16.67,18,20.00,5
2016-11-07,31.01,129,25.00,104,16.25,80,33.33,18
2016-11-08,32.05,78,25.86,58,21.57,51,30.00,10
2016-11-09,32.01,378,26.65,319,19.69,254,39.66,58
2016-11-10,38.66,194,35.37,147,29.73,111,52.17,23
2016-11-11,32.14,84,26.09,69,17.54,57,33.33,12
2016-11-12,38.71,31,27.27,22,29.41,17,0.00,1
2016-11-13,36.00,25,35.00,20,27.78,18,100.00,4
2016-11-14,47.66,107,43.90,82,37.70,61,69.57,23
2016-11-15,46.91,81,42.11,57,35.56,45,55.56,9
2016-11-16,27.69,65,19.64,56,15.91,44,71.43,7
2016-11-17,26.32,76,24.62,65,20.00,50,57.14,7
2016-11-18,23.73,59,18.00,50,15.91,44,27.27,11
2016-11-19,38.46,13,25.00,8,14.29,7,0.00,2
2016-11-20,35.71,28,33.33,24,23.81,21,75.00,4
2016-11-21,31.46,89,29.58,71,22.41,58,53.85,13
2016-11-22,41.27,126,40.00,105,34.07,91,70.37,27
2016-11-23,34.86,109,36.05,86,33.33,72,56.00,25
2016-11-24,28.57,28,21.74,23,20.00,20,50.00,4
2016-11-25,28.81,59,23.08,52,12.50,40,20.00,10
2016-11-26,26.09,23,16.67,18,14.29,14,0.00,3
2016-11-27,33.33,12,33.33,12,22.22,9,40.00,5
2016-11-28,24.05,79,16.42,67,9.09,55,28.57,7
2016-11-29,37.88,66,32.76,58,25.00,48,60.00,10
2016-11-30,32.14,84,25.76,66,19.64,56,35.71,14
2016-12-01,32.61,92,26.92,78,20.00,60,47.06,17
2016-12-02,22.73,66,20.37,54,15.22,46,50.00,10
2016-12-03,40.91,22,35.29,17,33.33,15,0.00,2
2016-12-04,9.68,31,7.14,28,7.69,26,14.29,7
2016-12-05,37.97,79,34.43,61,27.66,47,62.50,8
2016-12-06,25.97,77,19.05,63,16.67,54,31.25,16
2016-12-07,42.68,157,41.27,126,42.31,104,72.97,37
2016-12-08,30.89,123,26.26,99,25.61,82,60.00,25
2016-12-09,26.09,138,18.69,107,13.64,88,30.00,30
2016-12-10,16.95,59,16.98,53,17.02,47,42.86,14
2016-12-11,32.69,52,35.71,42,29.03,31,75.00,8
2016-12-12,33.66,101,31.58,76,20.75,53,44.44,9
2016-12-13,36.68,199,32.91,158,25.86,116,44.44,36
2016-12-14,28.68,265,24.76,206,21.25,160,47.06,51
2016-12-15,28.00,150,23.81,126,20.19,104,42.86,35
2016-12-16,35.00,100,31.33,83,30.00,60,54.55,22
2016-12-17,35.90,39,32.35,34,22.22,27,14.29,7
2016-12-18,28.00,25,23.81,21,11.76,17,20.00,5
