Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,77.08,48,82.93,41,84.85,33,71.43,7
2016-11-02,78.26,69,80.33,61,78.43,51,60.00,15
2016-11-03,70.42,71,72.73,66,71.93,57,75.00,8
2016-11-04,74.58,59,80.39,51,86.36,44,90.91,11
2016-11-05,85.19,27,90.91,22,94.44,18,-1,0
2016-11-06,75.86,29,80.77,26,100.00,18,100.00,5
2016-11-07,86.15,65,89.09,55,88.10,42,100.00,12
2016-11-08,84.31,51,85.42,48,87.18,39,62.50,8
2016-11-09,82.09,67,90.91,55,93.02,43,72.73,11
2016-11-10,81.44,97,82.93,82,81.54,65,66.67,18
2016-11-11,81.82,55,78.72,47,78.38,37,66.67,9
2016-11-12,81.25,16,84.62,13,90.00,10,100.00,2
2016-11-13,87.50,24,85.71,21,88.89,18,100.00,4
2016-11-14,80.00,70,81.03,58,80.00,50,76.47,17
2016-11-15,85.06,87,89.04,73,89.66,58,100.00,13
2016-11-16,86.81,91,88.24,85,86.84,76,94.12,17
2016-11-17,78.38,111,82.80,93,87.50,72,90.48,21
2016-11-18,89.19,74,92.19,64,94.64,56,100.00,18
2016-11-19,95.24,21,95.24,21,94.74,19,100.00,6
2016-11-20,95.24,21,94.44,18,100.00,14,100.00,2
2016-11-21,93.94,66,100.00,57,100.00,51,100.00,14
2016-11-22,81.94,72,86.36,66,88.24,51,92.31,13
2016-11-23,92.06,63,94.23,52,93.18,44,92.86,14
2016-11-24,87.50,24,86.96,23,94.12,17,100.00,3
2016-11-25,77.50,40,81.08,37,90.00,30,75.00,4
2016-11-26,79.17,24,82.61,23,87.50,16,100.00,2
2016-11-27,65.00,20,72.22,18,85.71,14,-1,0
2016-11-28,88.37,86,89.04,73,90.00,60,80.00,15
2016-11-29,89.29,84,89.47,76,92.06,63,92.00,25
2016-11-30,80.00,90,84.42,77,84.85,66,80.00,20
2016-12-01,92.00,100,92.13,89,92.41,79,92.00,25
2016-12-02,94.34,53,93.75,48,97.78,45,100.00,12
2016-12-03,86.36,22,95.00,20,94.12,17,100.00,2
2016-12-04,90.00,20,90.00,20,86.67,15,75.00,4
2016-12-05,82.22,90,83.75,80,83.08,65,88.89,18
2016-12-06,84.88,86,87.01,77,89.83,59,100.00,15
2016-12-07,91.11,90,91.57,83,97.01,67,95.83,24
2016-12-08,90.32,93,93.98,83,96.00,75,89.66,29
2016-12-09,86.54,104,88.30,94,89.16,83,83.33,36
