Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,27.27,33,25.00,32,17.86,28,0.00,3
2016-11-02,28.85,52,21.62,37,13.79,29,0.00,2
2016-11-03,34.62,52,23.08,39,20.00,25,0.00,2
2016-11-04,22.50,40,17.24,29,16.00,25,40.00,5
2016-11-05,27.27,11,25.00,8,20.00,5,-1,0
2016-11-06,50.00,2,50.00,2,50.00,2,-1,0
2016-11-07,29.79,47,18.92,37,11.11,27,50.00,2
2016-11-08,25.00,44,25.00,40,19.35,31,50.00,8
2016-11-09,24.69,81,15.38,65,15.79,57,100.00,3
2016-11-10,26.42,53,23.40,47,9.09,33,66.67,3
2016-11-11,47.37,38,40.62,32,30.43,23,75.00,4
2016-11-12,20.00,5,20.00,5,20.00,5,100.00,1
2016-11-13,37.50,8,28.57,7,28.57,7,100.00,2
2016-11-14,54.55,22,47.06,17,25.00,12,40.00,5
2016-11-15,61.29,31,60.00,25,52.63,19,100.00,4
2016-11-16,34.62,26,28.57,21,25.00,16,100.00,1
2016-11-17,24.24,33,21.74,23,16.67,12,100.00,2
2016-11-18,48.65,37,46.43,28,43.48,23,83.33,6
2016-11-19,100.00,3,100.00,3,100.00,2,100.00,2
2016-11-20,22.22,9,14.29,7,0.00,6,-1,0
2016-11-21,51.22,41,50.00,34,40.00,20,75.00,4
2016-11-22,35.71,42,37.50,32,30.43,23,66.67,6
2016-11-23,45.83,24,41.18,17,37.50,16,100.00,4
2016-11-24,25.00,12,25.00,12,11.11,9,-1,0
2016-11-25,43.75,16,30.77,13,27.27,11,100.00,2
2016-11-26,-1,0,-1,0,-1,0,-1,0
2016-11-27,100.00,4,100.00,4,100.00,4,100.00,4
2016-11-28,38.10,21,38.10,21,26.67,15,100.00,2
2016-11-29,32.00,25,40.00,20,36.84,19,100.00,6
2016-11-30,25.71,35,24.14,29,23.08,26,50.00,6
2016-12-01,16.22,37,9.38,32,3.70,27,16.67,6
2016-12-02,28.57,21,20.00,15,15.38,13,33.33,6
2016-12-03,16.67,6,20.00,5,20.00,5,50.00,2
2016-12-04,40.00,5,25.00,4,0.00,3,-1,0
2016-12-05,26.47,34,23.08,26,21.05,19,0.00,1
2016-12-06,35.29,17,31.25,16,20.00,10,-1,0
2016-12-07,25.71,35,19.23,26,22.73,22,50.00,4
2016-12-08,29.17,24,23.53,17,23.08,13,50.00,2
2016-12-09,27.59,29,20.00,20,26.67,15,66.67,3
2016-12-10,50.00,2,50.00,2,50.00,2,100.00,1
2016-12-11,50.00,12,45.45,11,37.50,8,100.00,1
