Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,50.00,110,47.78,90,48.10,79,76.92,39
2016-11-02,46.88,64,47.46,59,53.19,47,70.00,20
2016-11-03,45.00,60,40.00,45,43.90,41,87.50,8
2016-11-04,48.39,31,40.00,25,38.10,21,66.67,6
2016-11-05,57.14,14,66.67,12,70.00,10,75.00,4
2016-11-06,57.14,7,57.14,7,80.00,5,100.00,1
2016-11-07,73.53,34,70.00,30,65.22,23,100.00,7
2016-11-08,52.94,17,45.45,11,40.00,10,0.00,1
2016-11-09,52.17,23,55.00,20,54.55,11,50.00,4
2016-11-10,40.91,22,37.50,16,35.71,14,66.67,3
2016-11-11,59.38,32,61.54,26,75.00,16,100.00,5
2016-11-12,100.00,8,100.00,5,100.00,5,-1,0
2016-11-13,87.50,8,83.33,6,100.00,5,100.00,1
2016-11-14,51.85,27,43.48,23,42.86,21,50.00,4
2016-11-15,59.18,49,61.54,39,58.62,29,70.00,10
2016-11-16,51.43,35,44.00,25,47.37,19,100.00,1
2016-11-17,63.27,49,69.05,42,66.67,33,70.00,10
2016-11-18,57.14,63,51.06,47,47.37,38,76.92,13
2016-11-19,55.56,9,50.00,8,66.67,6,50.00,2
2016-11-20,53.85,13,53.85,13,53.85,13,0.00,1
2016-11-21,63.89,36,65.62,32,59.09,22,72.73,11
2016-11-22,65.71,35,72.00,25,70.00,20,83.33,6
2016-11-23,84.21,19,76.92,13,75.00,12,100.00,5
2016-11-24,75.00,8,71.43,7,71.43,7,100.00,1
2016-11-25,70.37,27,71.43,21,76.47,17,100.00,5
2016-11-26,62.50,8,57.14,7,50.00,6,-1,0
2016-11-27,93.33,15,90.00,10,87.50,8,100.00,1
2016-11-28,54.76,42,48.15,27,43.48,23,62.50,8
2016-11-29,37.78,45,33.33,39,35.48,31,23.08,13
2016-11-30,56.60,53,61.36,44,61.76,34,63.16,19
2016-12-01,46.15,65,43.64,55,41.46,41,62.50,16
2016-12-02,52.63,38,51.43,35,52.00,25,66.67,6
2016-12-03,33.33,15,28.57,14,40.00,10,0.00,1
2016-12-04,66.67,12,87.50,8,83.33,6,-1,0
2016-12-05,61.96,163,60.74,135,57.58,99,93.75,32
2016-12-06,53.80,158,50.79,126,56.12,98,81.58,38
2016-12-07,54.55,88,54.29,70,51.79,56,83.33,24
2016-12-08,56.06,66,59.62,52,59.57,47,100.00,23
